"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT88	RCONMT89	RCONMT90	RCONMT91	RCONMT92	RCONMT93	RCONMT94	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	Fully insured, affiliate sweep depos	Fully insured, affiliate, retail swe	Not fully insured, affiliate sweep d	Not fully insured, affiliate, retail	Fully insured, non-affiliate sweep d	Fully insured, non-affiliate, retail	Not fully insured, non-affiliate swe	Not fully insured, non-affiliate, re	Designated exception sweep deposit	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	10648	0	8731	22487	0	34680	0	0	0	0	36135	0	425		14043	1972	2614	25949	35710	0	0	979	0	0	5326	11092	4047	798	16418	809	408	300	735	7220	2252	0	0	1217	1	0		0		0		0		0	true							
242	7742	0	1109	12604	0	21059	0	0	0	0	27915	0	5183		6151	6761	1511	19950	22732	0	0	106	0	0	2195	3831	2279	578	6026	262	3676	591	0	2732	4529	0	0	3938	0	0		0		0		0		0	true							
279	43289	0	4847	55158	0	117702	0	0	22100	0	227506	0	5922		56999	44936	15244	112855	221584	0	0	8541	22100	4100	18677	54925	12169	18884	73602	6879	24345	3401	0	47657	34625	0	0	31223	0	0		0		0		0		0	true							
354	2368	0	237	31850	0	32126	0	0	11156	0	58894	0	1209		1965	12954	305	31889	34094	0	23591	210	11156	1730	2590	9957	14007	14062	12547	1643	1313	0	0	38651	2956	0	0	2956	23591	0		0		0		0		0	true							
457	7804	0	404	11250	0	13622	0	0	0	0	54740	0	7646		10938	18627	3440	13218	45855	0	1239	1835	0	0	6957	14247	695	307	21203	3579	2525	0	0	11267	6104	0	0	6104	1239	0		0		0		0		0	true							
505	94769	3	34974	148968	0	244908	0	0	60218	0	468949	0	55044		26241	239693	2870	209931	413905	0	0	633	0	0	14428	27670	7839	97	42098	28034	34760	21659	0	23793	84453	60690	60218	24235	0	0		0		57221		0		57221	false							
1155	630	2	49959	134121	0	360907	0	0	0	0	133106	0	12475		34294	40366	9104	308511	120631	2435	0	2881	0	0	29094	28103	4494	646	55726	12906	16004	863	0	28043	29773	60463	0	28484	0	0		0		53283		0		53283	true							
1351	10124	0	10821	31107	0	53984	0	0	0	0	141236	0	10566		34950	33337	10708	43163	130670	0	0	5604	0	0	9980	36339	24901	0	46319	2092	17497	6965	0	36271	26554	0	0	19589	0	0		0		0		0		0	false							
1454	1068	0	74442	290079	0	545579	0	0	0	0	372347	878	41510		36173	250004	35022	467577	329959	3560	0	17163	0	0	34401	26436	4325	2730	51827	37112	14358	593	1321	31719	53384	99879	0	24842	0	0		0		89611		0		89611	true							
