"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL ROU)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ACL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL ROU)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ACL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	
37																																							14306	1528	45623	0	0	289	0	2725	82892	70815	191	71006	0	816	0	0	11886	1200	82892	0	0	12703	0	0	3500	0	22487	48328			0	19237	18421	-5517	0	0	0	0	11886	0	0	
242																																							1590	1424	18988	0	0	482	0	587	56675	48974	94	52018	0	183	2950	0	4657	120	56675	0	0	5872	0	0	120	0	12781	36193			0	31384	31201	-1455	2368	0	0	0	4657	35	0	
279																																							17311	4906	73188	0	291	12059	428	14124	443000	345208	2906	397350	0	3227	49236	0	45650	1	443000	0	0	32857	0	0	16950	0	55158	290050			0	297248	294021	-4158	6378	0	0	0	45650	0	20294	
354																																							828	1025	2217	0	0	4857	0	2426	101574	91020	941	91961	0	677	0	0	9613	100	101574	0	0	-2297	0	0	11817	5793	32126	58894			0	65830	65153	-7	19275	0	0	0	9613	0	0	
457																																							2265	594	486	0	0	759	0	1167	82436	68361	285	74646	0	1022	6000	0	7790	60	82436	0	0	3808	0	0	3940	0	11250	57111			0	78173	77151	-18	0	0	0	0	7790	14	0	
505																																							17475	6163	76801	0	1638	10646	0	27164	912610	713857	6893	835150	52	8488	114300	0	77408	6480	912610	0	0	52459	0	0	18403	0	148968	564889			0	781211	772723	66	0	0	100	0	77460	0	0	
1155																																							16333	11476	77763	0	9178	6785	0	14091	551383	494012	3257	497269	0	6918	0	0	54114	1600	551383	0	0	33757	0	0	23696	524	66598	427414			0	422151	415233	-4939	0	0	0	0	54114	0	0	
1351																																							3151	5012	6840	0	0	3991	235	2842	228887	195220	1411	196631	0	1354	0	0	32256	240	228887	0	0	31773	0	0	530	0	31107	164113			0	140892	139538	-287	0	0	0	0	32256	0	67278	
1454																																							9786	22861	379162	0	0	3347	0	18550	1004767	917926	6231	924157	0	7267	0	0	80610	1000	1004767	0	0	130115	0	0	1214	366	290079	627847			0	577795	570528	-51719	0	0	0	0	80610	167	0	
1669																																							39820	2129	68150	0	0	3315	0	22187	467463	413180	2245	415425	0	5464	0	0	52038	800	467463	0	0	53740	0	0	800	0	77989	335191			0	321830	316366	-3302	0	0	0	0	52038	0	15496	
1856																																							5392	845	7983	0	98	424	0	1002	47330	38519	215	40734	0	418	2000	0	6596	500	47330	0	0	482	0	0	5732	0	4085	34434			0	31004	30586	-118	0	0	0	0	6596	0	1000	
2161																																							4053	5302	82175	0	0	19517	0	19272	371072	322136	7780	342416	0	3031	12500	0	28656	1000	371072	0	0	17762	0	0	20476	0	71134	251002			0	238835	235804	-10582	4949	0	0	0	28656	0	0	
2732																																							88249	9591	37039	0	1112	2551	0	7065	711671	584891	6529	591420	0	5508	0	0	120251	0	711671	0	0	114565	0	0	5789	0	129409	455482			0	571572	566064	-103	0	0	0	0	120251	0	0	
2750																																							1549	878	14091	0	0	209	0	4605	71005	59896	939	63055	0	524	2220	0	7950	111	71005	0	0	812	0	0	8000	0	6809	53087			0	50125	49601	-973	0	0	0	0	7950	72	0	
3252																																							0	9140	227322	0	0	1995	0	6719	374926	329359	995	330354	0	3424	0	0	44572	200	374926	0	0	46290	0	0	300	0	67888	261471			0	109674	106250	-2218	23500	0	0	0	44572	0	0	
