"IDRSSD"	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD4266	RIAD4267	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4655	RIAD4662	RIAD4665	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	RIADC880	RIADC891	RIADC892	RIADC893	RIADC894	RIADC895	RIADC896	RIADC897	RIADC898	RIADF185	RIADF187	RIADF188	RIADK129	RIADK133	RIADK205	RIADK206	
	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHARGE-OFFS ON LOANS TO FARMERS	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOVERIES ON LOANS TO FARMERS	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	UNCOLLBLE CRED CRD FEE&FIN CHGS	CHARGE-OFFS ALL OTHR LEASE FNC RECVB	1-4 FAM RES CNSTRTN LN CHARGE-OFFS	1-4 FAM RES CNSTRTN LN RECOVERIES	OTHR CNSTRCTN LN & LAND DEV CHARGE-O	OTHR CNSTRCTN LN & LAND DEV RECOVERI	LN SCD BY OWNER-OCCPD NONFARM CHARGE	LN SCD BY OWNER-OCCPD NONFARM RECOVE	LN SCD BY OTHR NONFARM NONRES CHARGE	LN SCD BY OTHR NONFARM NONRES RECOVE	CHG-OFF LEASE TO IND FOR HOME & FAM 	LEASE TO IND FOR HOUSE & OTHR EXP RE	RECOVERIES ALL OTHR LEASE FNC RCVBL	CHRG OFF AUTO LN	RCVRY AUTO LN	CHARGE-OFFS ALL OTHER	RECOVERIES ALL OTHER	
37	0	0	0	0	0	0	1	0				0	7	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				3	0	4	1	
242	0	0	0	0	0	0	29	0				0	28	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				28	28	0	1	
279	0	0	0	0	0	0	3	0				3	25	0		22				0		0	0	0	0	0			0	0	0	0	3	0			0	0	0	0	0	0	0	0				0	0	0	0	
354	0	0	0	0	0	0	20	0				0	935	886		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	2	49	18	
457	22	0	0	0	0	0	2	0				0	37	0		0				0		0	0	0	0	0			0	0	0	0	11	4			0	0	0	0	0	0	0	0				0	0	0	2	
505	0	0	0	0	0	0	9	0				0	367	201		0				0		0	0	0	0	0			0	0	0	0	63	0			0	0	0	0	0	0	0	0				49	8	54	1	
1155	0	0	0	0	0	0	7	0				3	16	1		8				0		0	0	0	0	0			1	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	6	4	
1351	0	0	0	0	0	0	114	99				0	130	14		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	1	0	0				61	8	55	6	
1454	0	0	0	0	0	0	33	0				7	70	0		28				0		0	0	0	21	1			0	0	0	0	0	0			0	0	0	0	0	0	0	0				15	25	6	0	
1669	0	0	0	0	0	0	84	50				29	406	320		42				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				18	0	26	5	
1856	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
2161	0	0	0	0	0	0	12	12				0	24	0		0				0		0	0	0	0	0			24	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
2732	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
2750	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
3252	0	0	0	0	0	0	152	32				31	458	219		64				64		31	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	4	0				41	15	130	74	
3458	0	0	0	0	0	0	27	0				19	14	9		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				4	7	1	1	
3720	0	0	0	0	0	0	5	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	5	
3971	0	0	0	0	0	0	382	141				2	1709	1086		0				0		2	0	0	0	2			0	0	8	1	0	0			0	0	0	0	0	0	0	0				0	0	623	228	
4231	0	0	0	0	0	0	10	1				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	9	
5069	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
5135	319	0	0	0	0	0	1	1				0	534	23		159				159		0	0	0	0	0			9	0	0	0	1	0			0	0	0	0	8	0	8	0				0	0	7	0	
5210	0	0	0	0	0	0	40	10				30	171	14		94				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				7	0	56	0	
5461	0	0	0	0	0	0	18	0				0	3	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	18				0	0	3	0	
5751	0	0	0	0	0	0	1	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	1	0	0	
6039	0	0	0	0	0	0	25	21		0		0	35	4		0		0	0	0	0	0	0	0	0	0			2	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		19	1	10	3	
6329	0	12	0	0	0	0	4782	235		0		0	16244	670		0		0	0	0	0	0	0	0	0	0			0	0	31	0	13	0			0	0	0	0	0	0	0	0	0	0		13202	4213	2359	291	
7009	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
7045	0	0	0	0	0	0	3	0				0	12	0		0							0	0	0	0			7	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	5	3	
7072	0	0	0	0	0	0	45	3				0	165	150		0				0		0	0	3	0	0			0	0	42	0	0	0			0	0	0	0	0	0	0	0				0	0	15	0	
7456	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
7634	0	0	0	0	0	0	47	43				0	32	5		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	27	4	
8462	0	0	0	0	0	0	18	0				0	121	88		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				30	17	3	1	
8631	0	0	0	0	0	0	0	0				0	1	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	1	0	
9357	0	0	0	0	7	0	56	56				0	223	216		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
9553	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
9807	0	0	0	39	0	0	322	204		0		0	1	0		1		0	0	0	0	0	0	0	0	0			0	0	56	0	0	0			0	0	0	0	0	1	0	22	0	0		0	0	0	0	
9955	0	0	0	0	0	0	1	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	1	
10250	0	0	0	0	0	0	23	8				6	167	33		26				0		0	0	0	0	0			0	0	0	1	0	0			0	0	0	0	0	0	0	0				19	1	89	7	
10849	0	0	0	0	0	0	11	11				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
11145	0	0	0	0	0	0	2431	0		0		0	112	0		0		0	0	0	0	0	0	0	0	0			0	0	66	0	0	0			0	0	0	0	0	46	0	0	0	0		0	0	112	2319	
11640	0	0	0	0	0	0	17	0				16	59	31		28				0		8	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	1	
11837	0	0	0	0	0	0	0	0				0	55	54		0							0	0	0	0			1	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
12030	0	839	0	0	0	0	2836	348				52	1583	219		20				0		7	0	0	0	0			449	2	746	0	324	0			0	0	3	17	221	361	26	169				180	195	141	107	
12142	0	0	0	0	0	0	4	0				4	110	88		10				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	12	0	
12311	0	0	1644	204			91576		38099	0	0	3392	244370		0	6147	111000	0	0	115	0	60	5	21	3210	2485	0	0	21694	4355	1441	591	1735	121	0	7575	0	23	262	1539	1243	829	5	8774	0	0	1342	36984	16794	52635	11648	
12647	0	0	0	0	0	0	2	0				0	5	0		0				0		0	0	0	0	0			5	0	2	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
12946	0	0	0	0	0	0	282	66				11	1048	253		2				2		10	0	0	0	0			123	0	6	0	135	0			0	0	0	2	0	0	0	0				14	8	521	189	
13103	0	0	0	0	0	0	81	5		0		0	213	42		0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		121	48	50	28	
13251	0	0	0	0	0	0	3	3				0	14	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				3	0	11	0	
