"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
37	0	0					58	0	45623					0	0	0			0	36522	0	0										0		
242	0	3926					204	0	18988					2950	0	0			0	9028	0	0										35		
279	0	0					2708	20294	73188					49236	0	0			1565	13305	0	0										0		
354	0	598					424	0	2217					0	0	0			0	0	0	0										0		
457	0	486					367	0	486					6000	0	0			0	0	0	0										14		
505	0	4900					9503	0	76801					114300	0	0			0	13156	0	0										0		
1155	0	4940					1065	0	77763					0	0	0			0	50836	0	0										0		
1351	0	0					134	67278	6840					0	0	0			9781	0	0	0										0		
1454	0	10601					815	0	379162					0	0	0			0	109261	0	0										167		
1669	0	46265					1172	15496	68150					0	0	0			15496	0	0	0										0		
1856	0	0					220	1000	7983					2000	0	0			0	0	0	0										0		
2161	0	0					2597	0	82175					12500	0	0			0	32643	0	0										0		
2732	0	20743					1538	0	37039					0	0	0			0	14014	0	0										0		
2750	0	0					310	0	14091					2220	0	0			0	7763	0	0										72		
3252	0	49709					439	0	227322					0	0	0			0	53388	0	0										0		
3458	0	93					218	792	16962					500	0	0			792	8173	0	500										0		
3720	0	16030					331	39389	104531					0	0	0			31642	4421	0	0										0		
3971	0	59206					2520	0	202879					35500	0	0			0	10045	0	0										898		
4231	0	3999					0	1000	70958					0	0	0			0	21469	0	0										0		
5069	0	1913					0	0	5570					0	0	0			0	1682	0	0										1101		
5135	0	59691					998	0	100518					11088	0	0			0	2007	0	0										0		
5210	0	0					13533	64505	455317					260000	0	0			63100	0	0	16379										936		
5461	3955	0					4516	223312	40090					17458	0	0			93756	2603	0	0										0		
5751	0	1878					835	6250	103635					14141	0	0			0	32094	0	0										0		
6039	0	39881					423	2977	52484					0	0	0			0	1225	0	0										0		
6329	0	0					1386	0	168315					0	0	0			0	12315	0	0										0		
7009	0	331127					0	0	374759					0	0	0			0	43632	0	0										920		
7045	0	0					669	274	142800					0	0	0			274	58664	0	0										0		
7072	0	2959					2823	38748	41476					13000	0	0			7802	2796	0	0										0		
7456	0	0					579	0	27138					2725	0	0			0	24272	0	0										70		
7634	0	248					101	0	11498					0	0	0			0	5492	0	0										0		
8462	0	975					21	0	85596					0	0	0			0	23052	0	0										0		
8631	0	0					345	0	16306					0	0	0			0	728	0	0										0		
9357	0	3843					319	0	48209					0	0	0			0	0	0	0										884		
9553	0	3448					2833	31966	33867					58549	0	0			31966	10973	0	0										0		
9807	0	30111					6430	143120	294059					0	0	0			78582	157666	0	40720										1132		
9955	0	1854					3391	0	49297					16859	0	0			0	25698	10155	0										0		
10250	0	7271					2338	67521	183451					0	0	0			67521	53569	0	0										0		
10849	0	16037					714	0	67191					0	0	0			0	20730	0	0										0		
11145	0	0					1590	0	120754					19474	0	0			0	53689	0	0										0		
11640	0	0					2214	0	107336					0	0	0			0	68245	0	0										0		
11837	0	5985					157	0	49552					0	0	0			0	3269	0	0										0		
12030	0	72640					45425	77	74873					0	0	0			0	0	0	0										0		
12142	0	0					797	49981	70841					0	0	0			0	41456	0	0										0		
12311	2329391	7384102	0	0	0	197191	822866	15965303	28329628	287258	206358172	0	185428902	12772608	184330	362032	60785	117494	1426	4091376	0	130764	8155411	9939127	5418290	6185203	0	405135	0	10000	0	1943	1039534	
12647	0	0					578	62754	0					8850	0	0			31658	0	0	0										0		
12946	0	0					7327	0	464301					4	0	0			0	260611	0	0										4957		
13103	0	1871					1948	24858	282534					11290	0	0			0	15151	0	0										23555		
