"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1545	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDJ451	RCFDJ454	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCFDPV05	RCFDPV06	RCFDPV07	RCFDPV08	RCFDPV09	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLE75	RCONLG24	RCONLG25	RCONPR04	RCONPR05	RCONPR06	RCONPV05	RCONPV06	RCONPV07	RCONPV08	RCONPV09	RIADG377	
	REAL ESTATE LOANS, TOTAL	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	LOANS FOR PURCHASING SECURITIES	LOANS TO FINANCE AGRICULTURAL PROD	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	REVOLVING, OPEN-END LNS SECD BY 1-4F	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LNS TO U.S. BRNCHES&AGNCIES FRGN BKS	LNS TO OTHER COMMRCL BKS IN THE U.S.	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LNS TO FRGN BRNCHES OF OTH U.S. BNKS	LNS TO OTH BNKS IN FOREIGN COUNTRIES	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	LN SECURED BY 1-4 FAM RES CONSTRUCTI	LN SECURED BY OTHR CNSTRCTN LN & LA 	LN SECURED BY OWNER OCCPD NONFARM NO	LN SECURED BY OTHR NONFARM NONRES PR	LEASE TO INDVDL FOR HSEHLD, FMLY & P	ALL OTHR LEASE FINANCING RECEIVABLES	FV LN LEASE ACQUISITION LN SCTY BY R	GROSS CONTRACT RCVBL LN SCTY BY RE	BEST EST AT ACQUISITION DT LN SCTY B	FV LN LEASE ACQUISITION CMRL AND IND	GROSS CONTRACT RCVBL CMRL AND IND LN	BEST EST AT ACQUISITION DT CMRL IND 	FV LN LEASE ACQUISITION LN TO IND HH	GROSS CONTRACT RCVBL LN TO IND HH FM	BEST EST AT ACQUISITION DT LN TO IND	FV LN LEASE ACQUISITION ALL OTHR	GROSS CONTRACT RCVBL ALL OTHR LN LEA	BEST EST AT ACQUISITION DT ALL OTHR 	PLDG LN AND LEASE	TOTAL LN MOD FIN DFCLTY	ALL OTHR LN (EXCLUDE CONSUMER LN)	LN NDEP FNCL INST	LN MOD FIN DFCLTY HOUSE FAMILY CREDI	LN TO IND HH OTHR AUTO LN	LN MOD FIN DFCLTY CMRL US ADR	LN MOD FIN DFCLTY CMRL NONUS ADR	LN MOD FIN DFCLTY ALL OTHR LN	ITEMIZE LN MOD FIN DFCLTY LN FI AGRI	LN MOD FIN DFCLTY HOUSE FAMILY AUTO 	LN MOD FIN DFCLTY HOUSE FAMILY OTHR 	LN TO IND HH OTHR AUTO LN	Loans to mortgage credit intermediar	Loans to business credit intermediar	Loans to private equity funds -- Con	Loans to consumer credit intermediar	Other loans to nondepository financi	LOANS TO DI'S & ACCEPT OTHR	R.E. LOANS-FARMLAND	R.E. LOANS MULTI-FAMILY	LOANS FOR PURCHASING SECURITIES	LOANS TO FINANCE AGRICULTURAL PROD	C&I LOANS, U.S. ADDRESSEES	C&I LOANS, NON-U.S. ADDRESSEES	C&I LOANS	REVOLVING, OPEN-END LNS SECD BY 1-4F	LNS TO FGN GOVTS & OFFICIAL INST	OBLGS OF ST&POLITICAL SUBDVS IN U.S.	TOT LNS&LEASE LESS UNEARN INC ON LNS	UNEARNED INCOME ON LOANS	LEASE FINANCING RECEIVABLES	LNS TO FINC COMMCL RE,CONSTRC&LD DEV	ALL OTH LNS SECD BY 1-4FMLY-1ST LIEN	ALL OTH LNS SECD BY 1-4FMLY-JR LIENS	ADJTBL RATE CLOSED-END LNS SECD BY 1	FXD&FLTG RT LNS&LEASES MAT 1 YR OR L	CLSD-END LNS SECD 1ST LIENS 3 MOS LE	CLSD-END LNS SECD 1ST LIENS OV3-12 M	CLSD-END LNS SECD 1ST LIENS OV 1-3 Y	CLSD-END LNS SECD 1ST LIENS OV 3-5 Y	CLSD-END LNS SECD 1ST LIENS OVR 15 Y	LOANS SECD BY RE MAT OVER 15 YEARS	OTHER LNS&LEASES MAT 3 MONTHS OR LES	OTHER LNS&LEASES MAT OVER 3-12 MONTH	OTHER LNS&LEASES MAT OVR 1 - 3 YRS	OTHER LNS&LEASES MAT OVR 3 - 5 YRS	OTHER LNS&LEASES MAT OVR 5 - 15 YRS	OTHER LNS&LEASES MATURITY OVER 15 YR	LOANS TO COM BANKS IN THE U.S.-DERV	LNS TO OTH DEPSTRY INSTITNS IN U.S.	LOANS TO BNKS IN FGN COUN - DERIVED	CREDIT CARDS LOANS	OTHER REVOLVING CREDIT PLAN LOANS	LNS SEC BY REAL ESTATE NON-US	OTSTDNG CRED CD FEES & FIN CHGS	LN SECURED BY 1-4 FAM RES CONSTRUCTI	LN SECURED BY OTHR CNSTRCTN LN & LA 	LN SECURED BY OWNER OCCPD NONFARM NO	LN SECURED BY OTHR NONFARM NONRES PR	LEASE TO INDVDL FOR HSEHLD, FMLY & P	ALL OTHR LEASE FINANCING RECEIVABLES	TOTAL CARRY AMT OF CLS-END LN NEG AM	TOTAL MAX REMAINING NEG AMRTZ PERMIT	TOTAL AMT NEG AMRTZ ON CLS-END LN IN	LN MOD FIN DFCLTY SEC 1-4 RES PROP I	LN SEC 1-4 RES PROP IN PROC OF FCLS	FV LN LEASE ACQUISITION LN SCTY BY R	GROSS CONTRACT RCVBL LN SCTY BY RE	BEST EST AT ACQUISITION DT LN SCTY B	FV LN LEASE ACQUISITION CMRL AND IND	GROSS CONTRACT RCVBL CMRL AND IND LN	BEST EST AT ACQUISITION DT CMRL IND 	FV LN LEASE ACQUISITION LN TO IND HH	GROSS CONTRACT RCVBL LN TO IND HH FM	BEST EST AT ACQUISITION DT LN TO IND	FV LN LEASE ACQUISITION ALL OTHR	GROSS CONTRACT RCVBL ALL OTHR LN LEA	BEST EST AT ACQUISITION DT ALL OTHR 	CNSTRCTN DEV & OTHR AMT LN INT RSRV	PLDG LN AND LEASE	FV LN LEASE ACQUISITION	GROSS CONTRACT RCVBL	BEST EST AT ACQUISITION DT	TOTAL LN MOD FIN DFCLTY	ALL OTHR LN (EXCLUDE CONSUMER LN)	LN NDEP FNCL INST	OTHER LOANS	LN MOD FIN DFCLTY HOUSE FAMILY CREDI	LN TO IND HH OTHR AUTO LN	LN MOD FIN DFCLTY CNST LAND DEV 1-4 	LN MOD FIN DFCLTY CNST LAND DEV OTHR	LN MOD FIN DFCLTY CNST LAND DEV MULT	LN MOD FIN DFCLTY LAND DEV NFARM NRE	LN MOD FIN DFCLTY LAND DEV NFARM NRE	LN MOD FIN DFCLTY CMRL US ADR	LN MOD FIN DFCLTY CMRL NONUS ADR	LN MOD FIN DFCLTY ALL OTHR LN	ITEMIZE LN MOD FIN DFCLTY LN SCD FAR	ITEMIZE LN MOD FIN DFCLTY LN FI AGRI	LN MOD FIN DFCLTY HOUSE FAMILY AUTO 	LN MOD FIN DFCLTY HOUSE FAMILY OTHR 	LN TO IND HH OTHR AUTO LN	LN MOD FIN DFCLTY CMRL	Revolving, open-end lines of credit	Number of outstanding Section 4013 l	Outstanding balance of Section 4013	Reverse mortgages outstanding that a	Estimated number of reverse mortgage	Principal amount of reverse mortgage	Loans to mortgage credit intermediar	Loans to business credit intermediar	Loans to private equity funds -- Con	Loans to consumer credit intermediar	Other loans to nondepository financi	CNSTRCTN DEV & OTHR AMT INT CAP	
37																																																																				0	1000	0		77			2252	41		2001	19237	0	0	0	7066	0	0	5559	393	887	2021	2435	1330	0	668	3715	3049	3806	859	0				0	0			0	414	505	14			0			0	0														0	0	0	0	0		0	104	0	1707	0	0	0	0	0			0	0		0	0	4056	0	0	CONF	CONF										
242																																																																				0	2748	0		1181			2472	25		842	31384	0	0	0	13282	274	104	13693	1161	953	4811	5008	1225	0	8139	3440	2296	2663	1046	422				0	0			0	0	0	6420			0			0	0														13282	0	0	0	0		0	15	0	2398	0	0	0	0	0			0	0		0	0	1727	0	0	CONF	CONF										
279																																																																				0	9803	11029		74			5379	546		13188	297248	0	1106	0	136196	5036	5902	35793	2758	487	4187	4070	21635	102809	55904	15931	13272	13002	22423	30121				0	0			17071	36924	24783	32752			0			114	0													0	49236	0	0	0	114		0	137	0	551	0	0	0	0	0			0	0	0	0	0	2673	0	0	CONF	CONF									0	
354																																																																				0	1826	1378		367			2964	973		0	71623	0	0	0	28927	6	391	11714	6198	439	2917	2001	2034	15338	10441	5725	6444	19238	848	0				1669	232			4848	801	2146	23674			0			0	0														68424	0	0	0	0		0	7	0	75	0	0	0	0	0			0	0		0	0	1730	0	0	CONF	CONF										
457																																																																				0	5608	1604		7043			8629	1191		1915	78173	0	0	0	27669	4949	0	22881	508	4420	11970	6409	3136	223	5999	14263	13182	10848	4407	699				0	0			915	3602	3124	6752			0			0	347														41777	0	0	0	0		0	71	0	2466	0	0	0	0	0			0	0	0	0	0	2635	0	0	CONF	CONF										
505																																																																				0	0	129010		0			25380	16004		14916	781211	335	0	6394	308451	3728	103761	34274	573	2694	6230	20917	128648	149020	75418	12581	89322	85227	160507	50040				0	246			4115	14410	61020	145743			0			693	172														445264	0	0	0	693		127	15	0	6776	0	0	0	0	0			0	0	0	0	0	51605	0	2709	CONF	CONF										
1155																																																																				0	30235	26828		15890			58075	6965		6672	422675	0	0	0	108215	11748	252	111172	3414	17633	33731	45649	4964	2653	58864	35249	94714	98947	25894	330				0	86			8218	38748	71806	24998			0			0	0														197388	0	0	0	0		0	9120	0	2122	0	0	0	0	0			0	0	0	0	0	2949	0	0	CONF	CONF										
1351																																																																				0	14271	0		9084			25793	0		0	140892	0	0	0	25562	0	24734	96738	2252	11761	3974	5688	1059	0	30116	52609	12456	13820	3580	401				0	0			909	598	44951	0			0			191	0														0	0	0	0	3657		0	1681	0	11663	0	0	0	1417	0			1635	953	499	132	51	6380	414	0	CONF	CONF										
1454																																																																				21250	14455	30546		3376			111129	16177		0	578161	2003	2361	12690	107429	4351	19406	83958	4453	111	578	15676	28256	58355	35770	64816	53878	142376	143697	32197				0	289			2744	87661	67908	95041			0			0	0														85173	0	0	0	713		0	1382	0	10692	0	0	0	0	631			0	0	0	0	0	3373	82	0	CONF	CONF										
