"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCFDLB56	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	RCONLB56	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37														191	0	93	0	0	0	0	0	98	0	0	0	0	0				
242														94	0	0	0	0	0	0	0	80	9	5	0	0	0				
279														2906	0	1537	0	80	309	177	0	502	706	161	161	0	549	ATM Settlement	ESOP Payable	Accounts Payable Loan Repurchase	
354														941	0	306	0	0	0	0	0	154	409	72	0	280	0				
457														285	0	13	0	0	0	0	0	167	105	0	0	0	0				
505														6893	0	4722	1264	0	3761	0	0	603	211	93	0	0	0	Deferred Service Fee - FCC			
1155														3257	0	2021	0	0	0	0	0	649	587	0	1662	0	0				
1351														1411	0	83	0	0	0	0	0	1021	307	0	0	0	0				
1454														6231	0	4964	0	0	2602	0	0	245	446	576	2200	0	0	FISERV SETTLEMENT ACCOUNT			
1669														2245	0	1439	0	0	0	0	0	771	35	0	109	0	0				
1856														215	0	148	0	0	0	0	0	49	18	0	0	0	0				
2161														7780	0	6306	0	0	2242	0	0	156	1045	273	1411	0	1024	SBA OVERAGE PAYMENT FROM PPP LOAN IN 2022			
2732														6529	0	2437	0	0	0	0	0	2645	1267	180	0	0	1708				
2750														939	118	612	0	0	50	0	0	119	198	10	444	0	0	PYMT DUE TO LOAN PARTICIPATION BANK			
3252														995	0	0	0	0	0	0	0	582	413	0	0	0	0				
3458														331	0	55	0	0	0	0	0	198	78	0	0	0	0				
3720														3206	0	1	0	0	0	0	0	346	2819	40	0	0	0				
3971														12371	0	5294	0	0	0	0	0	3593	3376	108	2899	0	2275		Deferred Compensation		
4231														644	0	0	0	0	0	0	0	382	182	80	0	0	0				
5069														9305	0	2465	0	1997	0	0	0	2155	4022	663	0	0	0				
5135														4343	0	1131	0	0	0	0	0	1227	1985	0	1131	0	0				
5210														38860	0	30153	0	0	0	0	0	756	6190	1761	0	0	0				
5461														7589	0	5857	0	0	0	0	0	135	1415	182	4023	0	1352				
5751														1993	0	1390	0	0	729	0	0	203	329	71	533	0	0	Post Retirement Benefits Payable			
6039														4920		1588	0					2682	603	47			101				
6329														12941		7083	0	961				2284	2132	1442	4383		962				
7009														15982		643	0	232	411	0	0	4303	11036	0				Collateral Received on Interest Rate Swap Exposure			
7045														1185		0	0					199	986	0							
7072														5184	0	3572	0	0	0	0	0	79	1494	39	2805	0	350				
7456														684	0	318	0	0	0	0	0	237	129	0	318	0	0				
7634														452	0	0	0	0	0	0	0	244	178	30	0	0	0				
8462														1618	0	55	0	0	0	0	0	1461	94	8	0	0	0				
8631														854	0	704	0	0	0	0	0	74	74	2	700	0	0				
9357														8160	0	5965	0	896	0	0	0	49	2039	107	2578	0	0				
9553														1795	0	0	0	0	0	0	0	305	1490	0	0	0	0				
9807														15190		5658	0					4487	4307	738			4107	0	0		
9955														632	0	7	0	0	0	0	0	144	481	0	0	0	0				
10250														4053	0	1408	0	0	0	0	0	1105	1256	284	1058	0	0				
10849														1217	0	213	0	82	0	0	0	280	489	235	0	0	0				
11145														4268		548	0		86	5		490	3230	0		457		Great Lakes Capital FUnd	Differed Revenue	Marble CLiff Capital	
11640														3701	0	1749	0	0	0	0	0	759	1193	0	1749	0	0				
11837														420	0	5	0	0	0	0	0	110	196	109	0	0	0				
12030														6624	0	3819	0	2823	0	0	0	1256	133	1416	996	0	0				
12142														2795	0	1377	0	0	757	0	0	1294	105	19	447	0	0	SERP Liability			
12311	3784520	0	2914852	7098	1319813	0	0	0	565498	184055	0	0	0									113017									
12647														450	0	0	0	0	0	0	0	322	128	0	0	0	0				
12946														25626	0	14602	0	0	0	0	0	1419	8543	1062	9819	0	0				
13103														27013		17226	0					3641	3353	2793		8798	5103				
13251														218	0	84	0	0	2	24	0	134	0	0	0	0	0	Deferred Gain on sale of ORE	Accrued Employee  B&P	Deferred PPP Income	
13457														484	0	0	66	0	0	0	0	257	161	0	0	0	0				
14155														2813	0	1204	0	0	465	0	0	992	597	20	691	0	39	Deferred Mastercard contract incentive			
14650														914	0	305	0	0	0	0	0	133	266	210	248	0	0				
14753														317	0	0	11	0	0	0	0	145	161	0	0	0	0				
14865														7552	0	4735	0	0	0	0	0	311	2481	25	2134	0	0				
14977														432		38	0	30				207	154	33							
16551														1323	0	128	0	0	0	0	0	622	354	219	0	0	0	Deferred PPP Loan Fees			
17110														22048		7832	0					641	13506	69			7697				
17147														280619		83735	0					7063	171821	18000		56552					
17259														1647	0	1290	0	0	0	0	0	132	225	0	1290	0	0				
17950														4045	0	2322	0	0	0	0	0	665	897	161	1557	0	0	ATM/EFT Settlement			
17978														889	0	214	456	95	119	0	0	15	204	0	0	0	0	Other Liabilities			
18050														5028	0	1753	0	147	0	0	0	1012	2083	180	859	0	0				
18827														24904	0	16245	0	0	0	0	0	2032	4503	2124	0	10226	0				
18836														2620	0	945	0	0	0	0	0	282	1393	0	787	0	0				
18854														10349		8342	0		2268			1028	515	464			2264	Dividends Payable			
19356														1318	0	775	0	0	0	0	0	238	201	104	620	0	0				
19936														4015	0	3215	0	0	0	0	0	399	1	400	1967	0	0				
19972														1451	0	1342	0	0	1013	302	0	2	59	48	0	0	0	Accrued Exp Life Insurance	Accrued life insurance expense- death benefit		
20053														648	0	0	0	0	0	0	0	412	215	21	0	0	0	Unrealized interest AR			
20633														2532	0	1265	0	0	0	0	0	356	852	59	853	0	0				
20857														3078	0	630	0	133	0	0	0	2045	175	228	497	0	0				
21256														13	0	9	0	0	0	0	0	4	0	0	0	0	0				
21359														314	0	198	0	0	0	0	0	65	51	0	198	0	0				
21658														1637		979	0					360	298	0	860						
22048														3515	0	1857	0	15	0	0	0	872	587	199	1840	0	0				
22543														2407	0	689	607	425	0	0	0	169	817	125	0	0	253				
22552														327	0	0	0	0	0	0	0	302	25	0	0	0	0				
22730														2101	0	662	0	0	201	330	0	956	410	73	0	0	0	ATM Suspense	Visa Drafts in Process		
23456														1985	0	111	0	0	0	0	0	1307	521	46	0	0	0	Fed Withholding			
23504														83212		53100	0					2715	24593	2804			47559				
23643														1236	0	73	0	0	0	0	0	794	261	108	0	0	0				
23755														2191	0	1072	0	0	0	0	0	279	840	0	937	0	0		0	0	
24006														19438	0	16148	0	0	0	0	0	1094	1763	433	0	0	12017				
24378														1058	0	822	0	0	718	0	0	27	209	0	0	0	0	Treasurer's checks issued but not cashed			
24659														450	0	279	0	0	270	0	0	21	150	0	0	0	0	AGBMP			
24949														4384	0	2967	0	0	0	0	0	750	627	40	2967	0	0				
