"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																			0	58	1905	2725	0	152	101	0	0	610	0	0	0	0	0	0	0	0	ATM SUSPENSE			
242																			0	204	0	587	0	7	0	0	0	376	0	0	0	0	0	0	0	0				
279																			0	2708	2089	14124	246	941	350	121	0	1933	0	0	187	0	0	6453	0	0	FISERV DEPOSIT	Brokered Deposit Fees		
354																			0	424	959	2426	0	695	0	0	0	348	451	0	0	0	0	0	0	0				
457																			0	367	0	1167	0	135	0	0	0	665	0	0	0	0	0	0	0	0				
505																			0	9503	2153	27164	0	6506	4347	0	0	3447	0	0	0	0	0	5555	0	0	Pension Asset			
1155																			0	1065	0	14091	760	858	0	0	0	3591	0	0	0	0	0	8577	0	0		NA		
1351																			109	134	0	2842	124	233	0	0	0	2475	0	0	0	0	0	0	0	0				
1454																			0	815	0	18550	1967	4132	0	0	0	4401	0	0	0	0	0	9202	0	0				
1669																			0	1172	2114	22187	360	383	0	0	0	2900	0	0	0	0	0	14761	0	857				
1856																			15	220	0	1002	236	351	0	0	0	431	0	0	0	0	0	0	0	0	0			
2161																			0	2597	3548	19272	1457	2302	0	0	0	1846	0	0	0	0	0	8979	0	0				
2732																			0	1538	1212	7065	0	1985	1616	0	0	2330	0	0	0	0	0	0	0	0	Right To Use - Lease			
2750																			0	310	0	4605	303	303	0	0	0	1236	0	0	0	0	0	2756	0	0				
3252																			0	439	0	6719	509	2025	1392	0	0	4255	0	0	0	0	0	0	0	0	NP DDA Debits			
3458																			0	218	420	2865	0	131	0	0	0	604	0	0	0	0	0	1492	0	0				
3720																			0	331	2218	15215	440	464	0	0	0	1520	0	0	0	0	0	7653	0	3029				
3971																			288	2520	4953	31985	1043	4297	0	0	0	4476	0	106	352	0	0	15739	0	0				
4231																			0	0	1423	7178	152	255	0	0	0	718	0	0	0	0	0	4782	0	0				
5069																			0	0	701	9482	1908	6579	0	0	0	2202	0	0	4671	0	0	0	0	0				
5135																			6	998	1831	20199	1046	1455	0	0	0	8254	0	0	0	0	0	7661	0	0				
5210																			0	13533	14428	173529	0	38287	16751	0	0	11177	0	0	0	0	0	82255	0	13849	Prepaid Pension			
5461																			0	4516	602	20502	1201	2260	850	0	0	3056	0	0	0	0	0	10068	0	0	CRA Investment			
5751																			0	835	278	10482	485	803	0	0	0	3323	0	0	0	0	0	3657	0	1586	Receivable from Bond Security			
6039																				423	912	8431	627	1309	547			3516					0	2271	0	0	Annuity Asset			
6329																			1102	1386	14285	65072	3164	21524	1716			9194		1670			0	15735	0	2948	Deposit on Assets			
7009																				0	875	15507	4533	11281	0	0	0	3351			4273		0	0	0	0				
7045																				669	3874	11816	320	480				1561					0	5232	0	0				
7072																			0	2823	2029	21281	558	4933	2805	650	0	2070	0	0	0	0	0	9426	0	0	Deferred Compensation	Deferred Commissions		
7456																			0	579	0	5636	0	316	226	0	0	2813	0	0	0	0	0	1928	0	0	Health Insurance			
7634																			0	101	0	985	131	296	165	0	0	588	0	0	0	0	0	0	0	0	Late fees receivable			
8462																			0	21	0	1781	0	27	0	0	0	1733	0	0	0	0	0	0	0	0				
8631																			0	345	519	3943	55	62	0	0	0	228	0	0	0	0	0	2789	0	0				
9357																			0	319	0	3670	896	1506	0	0	0	1845	0	0	0	0	0	0	0	0				
9553																			0	2833	0	10631	219	288	68	0	0	3259	0	0	0	0	0	3168	0	1083	Nebraska Fund XV Investment			
9807																				6430	0	164498	1006	2513				9159					0	40517	105879	0				
9955																			0	3391	30	4685	0	53	0	0	0	1211	0	0	0	0	0	0	0	0				
10250																			0	2338	0	6525	750	1035	0	0	0	2770	0	178	0	0	0	382	0	0				
10849																			0	714	1808	4676	488	553	0	0	0	1601	0	65	0	0	0	0	0	0				
11145																			14	1590	3905	19415	1369	3977	1666	928		1607					0	7181	0	1155	Marble Cliff Capital	Great Lakes Capital Fund		
11640																			0	2214	3830	24047	698	3726	0	0	0	3848	0	0	0	0	0	10429	0	0				
11837																			0	157	1777	2738	171	215	0	0	0	589	0	0	0	0	0	0	0	0				
12030																			0	45425	4369	57080	231	256	24	0	0	5445	0	0	0	0	0	1585	0	0	Securities Paydown Receivable	Prepaid Income Tax		
12142																			0	797	3266	14488	411	658	0	0	0	2386	0	43	0	0	0	4499	0	2882				
12311	0	822866	730262	7209971	0	2169832	594773	0	0	734309	0	0	0	0	0	732538	941081	1079083		822866																	~Income Tax Receivable			
12647																			0	578	0	6086	193	193	0	0	0	1131	0	0	0	0	0	4184	0	0		0		
12946																			0	7327	31995	99481	1240	2821	0	0	0	15427	0	216	809	0	0	4052	37859	0				
13103																				1948	14553	60498	3605	21832				8523	8798				0	13642	0	0				
13251																			0	781	0	1835	84	84	0	0	0	382	0	0	0	0	0	588	0	0				
13457																			0	0	0	1345	152	293	0	0	0	1052	0	0	0	0	0	0	0	0				
14155																			0	517	146	11524	440	501	0	0	0	4786	0	0	0	0	0	5574	0	0				
14650																			0	232	0	2532	121	207	0	0	0	617	0	0	0	0	0	1476	0	0				
14753																			0	160	0	1277	145	153	0	0	0	964	0	0	0	0	0	0	0	0				
14865																			0	715	3389	28918	1249	2099	0	0	0	10275	0	0	0	0	0	8513	1982	1945				
14977																				65	90	1162	132	189				818			6		0	0	0	0				
16551																			0	4140	0	11262	209	403	0	0	0	1883	0	21	0	0	0	4836	0	0				
17110																				219	0	3938	995	3461				258			2291		0	0	0	0				
17147																				47290	88013	704654	47645	171211				93253	57560				0	216581	69133	19173				
17259																			29	375	0	2825	144	197	0	0	0	494	0	0	0	0	0	1759	0	0		0		
17950																			0	1532	8081	17024	296	769	450	0	0	6302	0	0	0	0	0	0	0	340	DFB Travelers Expense	Other assets	0	
17978																			0	292	0	2273	261	450	27	100	0	1531	0	0	62	0	0	0	0	0	Accrued Late Charges Receivable	ATM Down Payments		
18050																			10	2744	0	22153	1671	4012	0	0	0	4209	0	92	0	0	0	11188	0	0				
18827																			0	12033	12086	103861	4695	15881	0	0	0	16703	10268	0	0	0	0	25394	0	21764				
18836																			0	502	980	8848	713	2038	882	0	0	679	0	0	0	0	0	4649	0	0	DEFERRED DIRECTOR FEES			
18854																				1182	5078	30894		15353	10817			9281					0	0	0	0	Oil & Gas Assets			
19356																			0	708	0	5391	540	540	0	0	0	1064	0	0	0	0	0	3079	0	0				
19936																			0	579	2595	12600	427	431	0	0	0	2227	0	0	0	0	0	6768	0	0				
19972																			0	39	619	7869	0	200	0	0	0	259	0	0	0	0	0	5249	0	1503				
20053																			0	484	594	4100	180	180	0	0	0	1449	0	0	0	0	0	1393	0	0				
20633																			0	1312	2277	13847	881	1360	0	0	0	1097	0	0	0	0	0	7801	0	0				
20857																			0	1410	0	10880	280	514	0	0	0	8771	0	0	227	0	0	185	0	0				
21256																			0	66	0	542	33	33	0	0	0	47	0	0	0	0	0	396	0	0				
21359																			0	363	0	1319	50	195	144	0	0	559	0	0	0	0	0	202	0	0	Farmer Mac			
21658																				1503	0	6874	142	148				1253					0	3347	0	623				
22048																			5	621	0	10145	390	3607	0	0	0	0	23	0	6	0	0	5917	0	0				
22543																			0	824	0	4073	1157	1967	0	0	0	1282	0	0	0	0	0	0	0	0				
22552																			0	1384	0	3386	0	151	0	0	0	1851	0	0	0	0	0	0	0	0				
22730																			0	422	3911	9760	587	708	0	0	0	1314	0	0	0	0	0	3405	0	0				
23456																			51	1748	0	8062	514	570	5	0	0	2448	0	0	0	0	0	3296	0	0	Stadium Builder			
23504																				67110	45197	598681	10119	37701				55328					0	347036	38201	8108				
23643																			0	1699	0	14268	293	458	0	0	0	1850	0	0	0	0	0	7405	0	2856				
23755																			0	1049	0	9031	337	557	0	0	0	1227	0	0	0	0	0	6198	0	0				
24006																			0	4880	11151	72313	6540	8491	0	0	0	9532	0	0	0	0	0	34415	0	3844	ACCOUNTS RECEIVABLE			
24378																			0	385	201	1157	0	261	0	0	0	310	0	0	0	0	0	0	0	0				
