"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
	Allowance for credit losses on other	Allowance for credit losses on other	ACL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ACL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW CR LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	Provisions for credit losses on off-	Estimated amount of expected recover	
37		0	816	0	1	0	822	7	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
242		0	183	0	29	0	182	28	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
279		0	3226	26	3	0	3222	25	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45		
354		0	677	880	20	0	712	935	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15		
457		0	1022	93	2	0	964	37	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
505		0	8488	300	9	0	8546	367	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1155		0	6918	0	7	0	6927	16	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1351		0	1354	120	114	0	1250	130	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1454		0	7267	1070	33	0	6234	70	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1669		0	5465	304	84	0	5483	406	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1856		0	417	30	0	0	387	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
2161		0	3031	370	12	0	2673	24	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
2732		0	5508	240	0	0	5268	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30		
2750		0	524	12	0	0	512	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3252		0	3424	250	152	0	3480	458	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3458		0	658	5	27	0	640	14	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3720		0	1865	50	5	0	1810	0	0				30	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0		
3971		0	12755	12	382	0	14070	1709	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
4231		0	984	30	10	0	944	0	0				10	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0		
5069		0	14086	146	0	0	13940	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-166		
5135		0	6434	0	1	0	6967	534	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
