"IDRSSD"	RCFA2170	RCFA3128	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAJJ30	RCFAJJ31	RCFAJJ32	RCFAKW00	RCFAKW03	RCFAKX77	RCFAKX78	RCFAKX79	RCFAKX80	RCFAKX81	RCFAKX82	RCFAKX83	RCFALB58	RCFALB59	RCFALB60	RCFALB61	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP852	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ258	RCFAS540	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP851	RCFWP852	RCFWP853	RCFWP854	RCFWP855	RCFWP856	RCFWP857	RCFWP858	RCFWP859	RCFWP870	RCOA2170	RCOA3128	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAJJ30	RCOAJJ31	RCOAJJ32	RCOAKW00	RCOAKW03	RCOAKX77	RCOAKX78	RCOAKX79	RCOAKX80	RCOAKX81	RCOAKX82	RCOAKX83	RCOALB58	RCOALB59	RCOALB60	RCOALB61	RCOALE74	RCOANC99	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP852	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ258	RCOAS540	RCOWH312	
593333																																																																																						13758	1060	1060	8.7380%	11.1475%	10.2886%	12698	123418	145319	-853	0			3.1475%			0				10268	145319								0	0	0		0		2430	10.2886%	1	0	11845	0	0	0	-853	0	0	0		0	12698	0	0	12698	0	0	0	0	0	0	0	0	0	1060	0	0	0			
593771																																																																																				13328	0				27.2684%			3423		12553	0	0						0	0	0	0	-5609	14029	0	0.0000%	0	0	0	0	0.0000%	0	0	0	0	1		10508		1	0	4899	0	0	1476	0	0	0	0		0	3423	0	0	3423	0	0	0	0	0	0						1476	0	0		
593940																																																																																				87151	0				13.8653%			12598		90860	-4432	0						0	0	0	0	11320	90944	0	0.0000%	3260	0	0	3260	3.7406%	0	0	0	0	1		1362		1	0	8250	0	0	84	-4432	0	0	0		0	12598	0	0	12598	0	0	0	0	0	0						84	0	0		
594433																																																																																				2812749	0				10.7530%			317409		2951814	-203184	0						0	0	0	0	217568	2978122	0	0.0000%	356723	0	56549	413272	14.6928%	0	0	0	0	1		126149		1	0	140533	25435	873	0	-203184	0	0	0		0	317409	0	0	317409	0	0	0	0	0	0						26308	0	43780		
594451																																																																																						124836	10304	10304	10.9664%	14.5969%	13.3921%	114532	855222	1044388	-5720	0			6.5969%			1				5615	1045164								0	0	0		0		109693	13.3921%	1	0	109588	755	21	0	-5477	0	0	-243		0	114532	0	0	114532	0	0	0	0	0	0	0	0	0	10304	0	776	0			
594853																																																																																						168582	12514	12514	9.8387%	14.6270%	13.5412%	156068	1152538	1586271	-28464	0			6.6270%			1				107636	1591562								0	0	0		0		53723	13.5412%	1	0	132895	5241	50	0	-28464	0	0	0		0	156068	0	0	156068	0	0	0	0	0	0	0	0	0	12514	0	5291	0			
594938																																																																																						62271	3603	3603	9.2608%	15.0203%	14.1512%	58668	414579	633507	-15130	0			7.0203%			0				53868	633507								0	0	0		0		4800	14.1512%	1	0	43538	0	0	0	-15130	0	0	0		0	58668	0	0	58668	0	0	0	0	0	0	0	0	0	3603	0	0	0			
594947																																																																																						450082	42647	42647	9.6569%	12.1882%	11.0333%	407435	3692774	4219126	-7727	0			4.1882%			1				196080	4412864								0	0	0		0		405093	11.0333%	1	0	593446	175106	18632	0	-7727	0	0	0		0	407435	0	0	407435	0	0	0	0	0	0	0	0	0	42647	0	193738	0			
595270																																																																																						3809295	244720	244720	8.8598%	18.9601%	17.7420%	3564575	20091130	40233335	61768	-11717			10.9601%			1				3458396	40306814								0	0	0		0		191375	17.7420%	1	0	3711539	70466	14563	167	-187306	260813	0	-11739		0	3564575	0	0	3564575	0	0	0	0	0	0	0	0	0	244720	0	85196	0			
595337																																																																																				149226	0				18.9635%			30349		160039	-3300	0						0	0	0	0	28239	160039	0	0.0000%	2953	0	4512	7465	5.0025%	0	0	0	0	1		2110		1	0	27049	0	0	0	-3300	0	0	0		0	30349	0	0	30349	0	0	0	0	0	0						0	0	0		
