"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37	9	40													11	3													true	true	
242	105	89													31	35													true	true	
573036			13	471	50	5754	125	54807	101	2461	38	3360	58	12758			3	72	2	308	5	977	1	11	0	0	0	0	false	false	
573335			40	1437	71	7425	72	24752	217	4838	47	4766	25	7072			22	817	30	2994	10	2543	15	409	7	617	4	1003	false	false	
574079			9	585	34	4574	54	22612	32	878	14	970	19	3709			0	0	2	302	3	709	0	0	0	0	0	0	false	false	
574949			22	845	33	4327	56	24163	122	2958	43	4948	56	19785			20	887	34	4061	22	5658	35	931	13	1873	7	1650	false	false	
574976			7	330	36	4852	92	34208	1204	41290	538	51544	104	20257			4	180	5	485	3	841	6	105	4	498	5	562	false	false	
575133			54	1495	13	1634	6	1381	75	1772	3	295	2	317			20	594	15	1659	11	2843	36	863	1	115	0	0	false	false	
575254			51	2210	129	16694	289	123230	754	19158	245	22029	251	72957			21	742	29	3852	33	8571	89	2070	44	4017	48	6180	false	false	
575348			2	81	8	1394	25	7682	39	1013	5	514	13	4296			15	621	7	819	1	195	11	190	2	253	0	0	false	false	
575375			4	181	11	1260	15	4501	14	531	3	427	4	2569															false	false	
575759			50	1808	45	5338	20	6673	167	4562	33	3356	9	1877			43	1662	47	5760	56	14966	262	8037	118	12646	64	14469	false	false	
575834			22	973	50	6540	101	40117	281	5821	88	8396	98	24417			4	190	3	378	2	276	0	0	0	0	1	201	false	false	
576354			14	559	19	2609	23	8526	42	1140	32	3060	22	7643			1	20	1	166	1	387	0	0	0	0	0	0	false	false	
576578			42	377	17	1966	31	12157	103	1000	18	941	8	2307			3	127	0	0	0	0	0	0	0	0	0	0	false	false	
576608			39	1274	102	11488	193	71023	297	7399	75	6467	69	13552			0	0	0	0	2	691	0	0	0	0	0	0	false	false	
576644			20	1423	59	10540	74	40124	170	8210	51	9518	75	39624			6	382	17	2983	10	3956	13	555	1	125	0	0	false	false	
576952			22	743	23	3139	38	14724	219	4912	62	477	41	10138			22	743	23	3139	38	14724	219	4912	62	4777	41	10138	false	false	
577128			317	10937	502	53620	712	246354	13595	112933	915	78796	857	216237			153	4929	125	12312	75	23505	144	2035	25	2392	28	10958	false	false	
577137			0	0	4	526	36	18296	2	31	3	351	6	1477															false	false	
577230			5	169	3	448	0	0	0	0	0	0	0	0			9	161	3	456	1	140	0	0	0	0	0	0	false	false	
578116			20	908	46	6197	70	24013	174	4961	41	4211	27	8459			4	118	3	429	5	1106	3	11	2	272	1	390	false	false	
578237			17	835	22	2577	15	6264	61	1826	24	2495	15	3432			1	15	1	84	2	333	0	0	0	0	0	0	false	false	
578255			71	2955	102	13020	156	58456	701	16056	169	14871	173	49237			54	2532	67	8911	56	14007	264	6681	93	7903	70	12461	false	false	
578554			43	1211	12	1113	0	0	114	1945	15	1014	9	2740			128	3424	94	10657	58	15935	184	3300	22	1226	13	2866	false	false	
578741			29	845	54	7857	115	46577	145	3522	61	5764	66	15079			0	0	5	320	2	453	1	74	0	0	0	0	false	false	
578862			1	95	3	409	2	1102	76	1491	13	994	9	3196			8	385	4	445	0	0	52	806	2	75	0	0	false	false	
579140			85	3911	69	7914	70	22131	284	6341	56	4779	41	10504			156	7416	205	24879	76	20813	599	14392	96	9151	28	8432	false	false	
579319			5	168	0	0	0	0	44	1355	9	798	1	385			7	159	16	1553	10	1683	28	644	2	113	2	467	false	false	
579364			13	678	29	3812	61	23657	70	2086	13	1546	25	6266			20	994	29	3744	12	3040	19	465	1	97	4	898	false	false	
579636			27	1091	29	4063	37	13967	128	2701	24	3047	15	4392			22	1089	7	822	2	684	3	156	1	128	0	0	false	false	
580155			32	1043	57	7613	102	44115	1753	55226	202	19927	82	26714			19	931	37	4734	28	8731	142	2862	31	2706	26	4646	false	false	
580548			99	4989	139	19640	207	77730	901	21779	150	14816	76	24076			15	638	24	3137	17	4471	71	2139	12	1615	5	787	false	false	
580847			32	1088	20	2546	18	8233	174	3800	12	1143	5	2175			40	1499	41	5045	19	4598	92	1797	13	1631	4	854	false	false	
580874			20	978	68	9064	83	32811	66	1682	25	2028	18	2944															false	false	
581237			0	0	3	452	13	4748	26	824	5	594	8	1657															false	false	
581358			4	273	9	1254	3	838	95	3086	33	3512	31	11721			2	86	15	2017	10	2179	20	569	8	551	13	1554	false	false	
582654			15	682	13	1427	5	2211	72	1803	5	666	6	2505			16	855	15	1971	10	2458	67	1850	30	3525	13	3849	false	false	
582878			26	828	2	256	3	1063	0	0	0	0	1	246															false	false	
582953			26	1490	43	5849	75	27812	342	7364	68	5852	32	9474			19	876	43	6192	39	10584	308	8208	84	8492	45	9006	false	false	
582971			54	2888	94	12935	171	70019	558	13676	76	10110	69	23937															false	false	
583071			7	267	14	1947	13	6454	25	362	5	618	2	687															false	false	
583268			15	487	30	3902	88	49995	75	2058	31	3182	20	13327			1	79	0	0	1	307	3	46	1	226	0	0	false	false	
583352			49	2289	66	8327	66	22979	333	8380	70	6267	28	8953			5	185	6	808	6	1577	101	2438	13	1371	3	425	false	false	
583754			2	145	13	1751	72	37970	44	1319	29	3167	35	10045			1	74	1	93	2	425	0	0	0	0	0	0	false	false	
583905			150	5740	140	20743	146	66954	275	9220	94	10852	58	17363															false	false	
584377			15	387	46	5947	144	65314	300	9102	244	27887	250	70235			0	0	0	0	0	0	6	181	0	0	0	0	false	false	
584724			41	1620	67	7212	89	32650	214	5161	88	6564	52	14184			0	0	1	16	1	260	0	0	0	0	0	0	false	false	
584920			170	6716	440	50875	979	361251	1052	17837	304	25022	333	68770			34	1474	46	5371	22	5065	35	895	4	357	2	306	false	false	
585749			153	6110	88	11036	49	17496	855	18758	119	15087	51	16494			135	6132	199	26557	182	55158	806	17626	109	13176	51	13085	false	false	
586027																													false	false	
586072			61	2521	155	19556	302	128303	252	4550	82	6794	41	8529			2	51	7	1003	4	377	14	295	5	376	4	1343	false	false	
586335			37	1343	24	2902	19	7999	149	3185	26	3010	23	6153			3	107	3	386	0	0	0	0	0	0	0	0	false	false	
586960			6	147	13	1767	23	7085	29	801	5	394	1	252			15	673	16	1891	4	1347	4	149	1	96	0	0	false	false	
