"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
2915461																																							73391	7533	4930	0	1659	36884	0	45770	1370265	1134779	15001	1249927	0	7828	100147	0	120338	8382	1370265	0	0	79765	0	0	32640	6582	380793	753986			0	1151943	1144115	-449	0	0	0	0	120338	0	49401	
2916534																																							22439	1669	78662	0	0	124	0	9864	395935	286358	4038	347411	0	2760	57015	0	48524	1	395935	0	0	-7568	0	0	55999	24413	66288	220070			0	261524	258764	92	0	0	0	0	48524	0	0	
2916963																																							841170	6466	0	0	16013	0	0	23094	886743	0	12171	12171	0	0	0	0	874572	1000	886743	0	0	407002	0	0	466570	0	0	0			0	0	0	0	0	0	0	0	874572	0	0	
2917184																																							6449	1997	23647	0	451	7007	0	4469	168067	151574	1078	152652	0	1125	0	0	15415	3000	168067	0	0	7228	0	0	6062	0	31275	120299			0	125172	124047	-875	0	0	0	0	15415	0	0	
2917317																																							2499867	150584	1177693	0	139924	275567	4383	750612	26345444	22618072	337988	23810872	0	260641	854812	0	2534572	12216	26345444	0	0	2080060	0	0	399455	11566	3424688	19193384			0	21595889	21335248	42841	0	0	0	0	2534572	0	0	
2919898																																							2716	9066	101025	0	0	15632	0	27620	890003	772607	6002	812609	0	6604	34000	0	77394	1200	890003	0	0	38336	0	0	43687	1390	98078	674529			0	699532	692928	-5829	37626	0	0	0	77394	0	2000	
2920287																																							4555	1837	52369	0	0	1714	0	3561	199398	181293	588	181919	0	1329	0	0	17479	2550	199398	0	0	10804	0	0	6135	0	30669	150624			0	136691	135362	-2010	0	0	38	0	17479	0	0	
2920773																																							60944	2186	66043	0	50	1210	242	36139	842660	722825	5595	758920	0	9194	30500	0	83740	1025	842660	0	0	58937	0	0	25550	3287	73587	649238			0	623596	614402	-1772	18	0	0	0	83740	0	58139	
2921622																																							2241	3123	14358	0	0	580	0	749	96142	80454	338	84444	0	746	0	0	11698	2150	96142	0	0	4360	0	0	5350	0	17490	62964			0	65427	64681	-162	10410	0	0	3652	11698	0	0	
2921659																																							46192	0	121453	0	0	15515	0	39906	223566	500	50186	50686	0	0	0	0	172880	5000	223566	0	0	157485	0	0	10299	0	0	500			0	0	0	96	0	0	0	0	172880	500	0	
