"IDRSSD"	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD4266	RIAD4267	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4655	RIAD4662	RIAD4665	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	RIADC880	RIADC891	RIADC892	RIADC893	RIADC894	RIADC895	RIADC896	RIADC897	RIADC898	RIADF185	RIADF187	RIADF188	RIADK129	RIADK133	RIADK205	RIADK206	
	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHARGE-OFFS ON LOANS TO FARMERS	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOVERIES ON LOANS TO FARMERS	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	UNCOLLBLE CRED CRD FEE&FIN CHGS	CHARGE-OFFS ALL OTHR LEASE FNC RECVB	1-4 FAM RES CNSTRTN LN CHARGE-OFFS	1-4 FAM RES CNSTRTN LN RECOVERIES	OTHR CNSTRCTN LN & LAND DEV CHARGE-O	OTHR CNSTRCTN LN & LAND DEV RECOVERI	LN SCD BY OWNER-OCCPD NONFARM CHARGE	LN SCD BY OWNER-OCCPD NONFARM RECOVE	LN SCD BY OTHR NONFARM NONRES CHARGE	LN SCD BY OTHR NONFARM NONRES RECOVE	CHG-OFF LEASE TO IND FOR HOME & FAM 	LEASE TO IND FOR HOUSE & OTHR EXP RE	RECOVERIES ALL OTHR LEASE FNC RCVBL	CHRG OFF AUTO LN	RCVRY AUTO LN	CHARGE-OFFS ALL OTHER	RECOVERIES ALL OTHER	
37	0	0	0	0	0	0	2	0				1	8	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				3	0	5	1	
242	0	0	0	0	0	0	32	0				0	28	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				28	30	0	2	
279	0	0	453	0	0	0	4	0				4	493	0		37				0		0	0	0	0	0			0	0	0	0	3	0			0	0	0	0	0	0	0	0				0	0	0	0	
354	0	0	0	0	0	0	21	0				0	937	886		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	3	51	18	
457	22	0	0	0	0	0	9	0				0	37	0		0				0		0	0	0	0	0			0	0	0	0	11	4			0	0	0	0	0	0	0	0				0	6	0	3	
505	0	0	0	0	0	0	12	0				0	392	201		0				0		0	0	0	0	0			0	0	0	0	63	0			0	0	0	0	0	0	0	0				73	10	55	2	
1155	0	0	0	0	0	0	12	1				6	180	160		13				0		0	0	0	0	0			1	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	6	5	
1351	0	0	0	0	0	0	126	99				0	151	22		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	1	0	0				74	17	55	9	
1454	0	0	0	0	0	0	90	32				12	101	0		37				0		0	0	0	21	21			0	0	0	0	0	0			0	0	0	0	0	0	0	0				37	25	6	0	
1669	0	0	0	0	0	0	89	50				29	525	354		42				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				65	2	64	8	
1856	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
2161	0	0	0	0	0	0	15	15				0	115	0		91				0		0	0	0	0	0			24	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
2732	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
2750	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
3252	0	0	0	0	0	0	376	212				46	568	228		67				67		46	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	4	0				72	18	197	100	
3458	0	0	0	0	0	0	41	4				29	29	9		4				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				13	7	3	1	
3720	0	0	0	0	0	0	5	0				0	5	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				3	0	2	5	
3971	0	0	0	0	0	0	547	235				4	2637	1591		0				0		4	0	0	0	3			0	0	8	1	0	0			0	0	0	0	0	0	0	0				0	0	1046	296	
4231	0	0	0	0	0	0	10	1				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	9	
5069	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
5135	319	0	0	0	0	0	4	1				0	641	71		183				183		0	0	0	0	0			10	1	0	0	1	0			0	0	0	0	8	0	8	0				0	0	41	2	
5210	0	0	0	0	0	0	64	11				51	304	14		157				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	32	0	0	0				7	0	94	2	
5461	0	0	0	0	0	0	29	0				0	4	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	29				0	0	4	0	
5751	0	0	0	0	0	0	4	3				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	1	0	0	
6039	0	0	0	0	0	0	27	23		0		0	42	4		0		0	0	0	0	0	0	0	0	0			2	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		19	1	17	3	
6329	0	12	0	0	0	0	10798	469		0		0	27180	1073		0		0	0	0	0	0	0	0	0	0			0	0	31	0	13	0			0	0	0	0	0	205	0	0	0	0		22620	9573	3474	508	
7009	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
7045	0	0	0	0	0	0	8	0				0	25	0		0							0	0	0	0			8	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	17	8	
7072	0	0	0	0	0	0	94	3				0	556	540		0				0		0	0	3	0	0			0	0	90	0	1	0			0	0	0	0	0	0	0	0				0	0	15	1	
7456	0	0	0	0	0	0	0	0				0	11	0		11				11		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
7634	0	0	0	0	0	0	61	47				0	47	5		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	42	14	
8462	0	0	0	0	0	0	20	0				0	159	88		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				66	17	5	3	
8631	0	0	0	0	0	0	0	0				0	3	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	3	0	
9357	0	0	0	0	7	0	119	119				0	355	348		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
9553	0	0	0	0	0	0	1	0				1	0	0		0				0		0	0	1	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
9807	0	0	0	58	0	0	547	299		0		0	2	0		2		0	0	0	0	0	0	0	0	0			0	0	128	0	0	0			0	0	0	0	0	1	0	61	0	0		0	0	0	0	
9955	0	0	0	0	0	0	2	0				0	2	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	2	2	
10250	0	0	0	0	0	0	44	17				16	246	75		42				0		0	0	0	0	0			0	0	0	2	0	0			0	0	0	0	0	0	0	0				27	1	102	8	
10849	0	0	0	0	0	0	13	13				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
11145	0	0	0	0	0	0	2436	0		0		0	139	0		0		0	0	0	0	0	0	0	0	0			0	0	66	0	0	0			0	0	0	0	0	46	0	0	0	0		7	0	132	2324	
11640	0	0	0	0	0	0	40	8				25	69	31		38				0		8	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	5	0	2	
11837	0	0	0	0	0	0	0	0				0	56	55		0							0	0	0	0			1	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
12030	2	873	0	0	0	0	4062	396				67	4383	368		35				8		8	0	0	0	0			459	4	1376	0	768	0			0	0	3	25	268	534	2023	283				200	301	257	203	
12142	0	0	0	0	0	0	7	2				5	121	88		16				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	17	0	
12311	0	0	9977	358			154079		47025	0	0	4021	381467		0	9375	166441	0	0	115	0	124	343	44	4664	3401	0	0	31800	6643	2332	838	2957	366	0	8986	0	29	262	1546	2421	1114	8965	42253	0	0	2117	55834	25251	79304	17027	
12647	0	0	0	0	0	0	7	0				0	8	0		0				0		0	0	0	0	0			8	0	7	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
12946	0	7	0	0	0	0	512	100				10	1668	345		3				3		10	0	0	0	0			230	0	26	2	159	0			0	0	0	3	0	0	0	0				14	19	917	345	
13103	0	0	0	0	0	0	673	19		0		0	276	42		0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	556	0	0	0	1	0	0		147	64	87	33	
13251	0	0	0	0	0	0	6	4				0	47	0		33				33		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				3	1	11	1	
13457	0	0	0	0	0	0	4	0				4	1	0		1				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
14155	0	0	0	0	0	0	1	1				0	19	14		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				5	0	0	0	
14650	0	0	0	0	0	0	48	1				0	37	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				14	1	23	46	
