"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT89	RCONMT91	RCONMT93	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	Fully insured, affiliate sweep depos	Not fully insured, affiliate sweep d	Fully insured, non-affiliate sweep d	Not fully insured, non-affiliate swe	Designated exception sweep deposit	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	10803	0	5975	20874	0	30635	0	0	0	0	36497	0	822		14102	2088		24660	35675	0	0	882	0	0	4625	9385	6954	638	14010	413	303	554	735	7500	2005	0	0	715	1													
242	7510	0	1061	12041	0	19460	0	0	0	0	26578	0	5068		6237	6006		18399	21510	0	0	107	0	0	2218	3413	2462	665	5631	279	3430	594	0	2521	4303	0	0	3709	0													
279	42441	0	3134	53829	0	112593	0	0	22144	0	226207	0	4759		57188	43849		109459	221448	0	0	8736	22144	4144	23816	51300	11451	18768	75116	14847	18543	1193	0	48147	34583	0	0	33389	0													
354	2331	0	176	25068	0	25068	0	0	14137	0	65718	0	1373		2386	11857		24892	36076	0	28269	213	14137	3721	3505	15330	16277	13124	18834	1099	2195	0	0	45850	3294	0	0	3294	28269													
457	7938	0	338	10709	0	13294	0	0	0	0	56721	0	10744		10746	19979		12956	44240	0	1737	1853	0	0	7222	13375	602	444	20597	4661	2500	0	0	10897	7161	0	0	7161	1737													
505	85364	0	104692	178427	0	317617	0	0	60465	0	490002	0	66780		29135	261225		212925	423222	0	0	633	0	0	22179	30790	2961	217	52741	38683	11409	37175	0	27011	87267	72861	25000	25174	0													
1155	598	0	51344	131023	0	351961	0	0	0	0	142338	0	14358		35452	41711		298619	127980	1998	0	2917	0	0	31564	30717	4273	602	60829	12539	19738	597	0	31704	32874	57027	0	31849	0													
1351	9757	0	12109	30802	0	54834	0	0	0	0	142254	0	10763		35346	32101		42725	131491	0	0	5739	0	0	11061	37068	25039	0	48129	2410	17948	6869	0	37823	27227	0	0	20357	0													
1454	917	0	87301	314188	0	598663	0	0	0	0	385721	878	50229		36352	254742		508390	334614	2972	0	17586	0	0	36912	28294	4197	2566	56797	46928	9247	596	1322	35617	58093	131708	0	31880	0													
