"IDRSSD"	RCONG349	RCONG350	RCONG351	RCONG352	RCONG353	RCONG354	RCONG355	RCONG356	RCONG357	RCONG358	RCONG359	RCONG360	RCONG361	RCONG362	RCONG363	RCONG364	RCONG365	RCONG366	RCONG367	RCONG368	RCONG369	RCONG370	RCONG371	RCONG372	RCONG373	RCONG374	RCONG375	RCONHT50	RCONHT51	RCONHT52	RCONHT53	RCONHT54	RCONHT55	RCONHT56	RCONHT57	RCONHT58	RCONHT59	RCONHT60	RCONHT61	RCONK142	RCONK143	RCONK144	RCONK145	RCONK146	RCONK147	RCONK148	RCONK149	RCONK150	RCONK151	RCONK152	RCONK153	RCONK154	RCONK155	RCONK156	RCONK157	RCONMG95	RCONPU98	RCONPU99	RCONPV00	RCONPV01	
	SFP TPS ISS FNC INST HTM FV	SFP TPS ISS FNC INST AFS AMRTZ COST	SFP TPS ISS FNC INST AFS FV	SFP TPS ISS RE INV TR HTM AMRTZ COST	SFP TPS ISS RE INV TRS HTM FV	SFP TPS ISS RE INV TR AFS AMRTZ COST	SFP TPS ISS RE INV TR AFS FV	SFP CORP & SIMILAR LN HTM AMRTZ COST	SFP CORP & SIMILAR LN HTM FV	SFP CORP & SIMILAR LN AFS AMRTZ COST	SFP CORP & SIMILAR LN AFS FV	SFP 1T4 RES MBS I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS I OR G GSE HTM FV	SFP 1T4 RES MBS I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS I OR G GSE AFS FV	SFP 1T4 MBS N I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS N I OR G GSE HTM FV	SFP 1T4 MBS N I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS N I OR G GSE AFS FV	SFP DVRS (MIXED) POOLS SFP HTM AMRTZ	SFP DVRS (MIXED) POOLS SFP HTM FV	SFP DVRS (MIXED) POOLS SFP AFS AMRTZ	SFP DVRS (MIXED) POOLS SFP AFS FV	SFP OTHR CLTRL REF ASSET HTM AMRTZ	SFP OTHR CLTRL REF ASSET HTM FV	SFP OTHR CLTRL REF ASSET AFS AMRTZ	SFP OTHR CLTRL REF ASSET AFS FV	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	MBS CMRL PT SCTY GUAR FNMA HTM AMTRZ	MBS CMRL PT SCTY GUAR FNMA HTM FV	MBS CMRL PT SCTY GUAR FNMA AFS AMTRZ	MBS CMRL PT SCTY GUAR FNMA AFS FV	MBS CMRL PT SCTY OTHR HTM AMTRZ	MBS CMRL PT SCTY OTHR HTM FV	MBS CMRL PT SCTY OTHR AFS AMTRZ	MBS CMRL PT SCTY OTHR AFS FV	MBS CMRL OTHR CMRL GUAR FNMA HTM AMT	MBS CMRL OTHR CMRL GUAR FNMA HTM FV	MBS CMRL OTHR CMRL GUAR FNMA AFS AMT	MBS CMRL OTHR CMRL GUAR FNMA AFS FV	MBS CMRL OTHR CMRL OTHR CMRL HTM AMT	MBS CMRL OTHR CMRL OTHR CMRL HTM FV	MBS CMRL OTHR CMRL OTHR CMRL AFS AMT	MBS CMRL OTHR CMRL OTHR CMRL AFS FV	Amortized cost of available-for-sale	Structured financial products guaran	Structured financial products guaran	Structured financial products guaran	Structured financial products guaran	
606046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281579	275284	0	0	285438	254678					0	0	281579	275284	0	0	837045	811617	0	0	0	0	0	0	399006	373977	0	0	6000	6000	0	0	0	281579	275284	
606176																												0	0	0	0	2945	2844	227067	207724	0	0	0	0	0	0	27518	27215	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
606653																												0	0	8121	7730	0	0	70983	68390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
607146																												0	0	15663	15647	0	0	3531	3497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
608358																												0	0	3216	3160	0	0	7224	6974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
608844																												0	0	34673	33824	0	0	38474	35944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
609010																												0	0	12399	11867	0	0	4452	3979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
609467																												0	0	7995	8062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
609476																												50948	47908	0	0	164547	146793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16804	14433	0	0	0	0	0	0		0	0	0	0	
609609																												0	0	0	0	0	0	81419	81026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
609832																												0	0	0	0	0	0	30282	29144	0	0	0	0	0	0	1899	1797	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
610128																												1003	977	1858	1828	0	0	164	161	0	0	0	0	0	0	500	488	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
610164																												0	0	0	0	0	0	24748	22281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
610539																												0	0	9017	8765					0	0	0	0	0	0	0	0	0	0	0	0	0	0	1515	1331	0	0	0	0		0	0	0	0	
610557																												0	0	0	0	0	0	11742	10754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
610913																												0	0	26968	26480	0	0	5199	4519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	998	964	0	0	0	0		0	0	0	0	
611031																												0	0	0	0	0	0	2132	1969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
612159																												0	0	32173	32098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
612878																												0	0	7484	6944	0	0	6044	6053	0	0	0	0	0	0	496	498	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
613008	0	1120	1040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34633	32642	4441	4468	0	0	228889	217175					34633	32642	5561	5508	666017	632611	298280	284114	0	0	0	0	25617	25395	0	0	0	0	0	0		34633	32642	4441	4468	
613156																												316	310	979	970	999	814	0	0	0	0	10707	10696	1338	1129	1991	1994	0	0	0	0	87454	67494	2754	2750	0	0	0	0		0	0	10707	10697	
613343																												0	0	11938	11562	0	0	127031	112607	0	0	0	0	0	0	815	789	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
