"IDRSSD"	RCONC970	RCONC971	RCONC972	RCONC973	RCONC974	RCONC975	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ459	RCONPV10	RCONPV11	RCONPV12	RCONPV13	RCONPV14	RCONPV15	RCONPV16	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	CR DRIVTS:NTNL AMTS-TOT RETRN SWAPS-	CR DRIVTS:NTNL AMTS-TOT RETRN SWAPS-	CRD DERIVTS:NOTL AMTS-CRD OPTIONS-GU	CRD DERIVTS:NOTL AMTS-CRDIT OPTIONS-	CRD DERIVTS:NOTL AMTS-OT CR DERIVTS-	CRD DERIVTS:NOTL AMTS-OT CR DERIVTS-	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open 	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT ALL OTHR	Loans to depository financial instit	Loans to nondepository financial ins	Loans to mortgage credit intermediar	Loans to business credit intermediar	Loans to private equity fund	Loans to consumer credit intermediar	Other loans to nondepository financi	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
37								0	285																																	1247	0	0	0													
242								36	377																																	0	1365	0	0													
279								4271	23018																																	913	1921	0	0													
354								4563	0																																	1130	455	0	0													
457								617	868																																	2777	2697	0	0													
505								13815	12493																																	8298	25161	0	0													
1155								7978	21627																																	30997	22122	0	0													
1351								454	1118																																	3053	1514	0	0													
1454								21	35118																																	33978	35929	0	0													
1669								4041	5041																																	12889	1330	0	0													
1856								439	0																																	1398	366	0	0													
2161								1956	7513																																	1419	5205	0	0													
2732								810	16257																																	44740	4089	0	0													
2750								602	2343																																	1460	9511	0	0													
3252								0	898																																	4033	18631	0	0						One way Sell							
3458								351	206																																	817	1790	0	0													
3720								2170	3948																																	3666	3956	0	0													
3971								6470	23038																																	44870	9734	0	0													
4231								1685	4880																																	868	3085	0	0													
5069								220	4456																																	1940	0	0	0													
5135								1900	9488																																	10253	49289	0	0													
5210								38895	94425																																	137139	56660	0	0													
5461								0	6231																																	14857	9605	0	0													
5751								450	858																																	11099	13369	0	0													
6039	0	0	0	0	0	0	0	14699	25727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																9431	4413	0	0													
6329	0	0	0	0	0	0	0	44427	95482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																38772	20700	0	0													
7009								0	0																																	0	0	0	0													
7045	0	0	0	0	0	0	0	5029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																944	6811	0	0													
7072								3979	538																																	7158	5237	0	0													
7456								586	610																																	7429	29063	0	0													
7634								1378	0																																	308	713	0	0													
8462								1072	73																																	3735	3953	0	0													
8631								789	1611																																	253	103	0	0													
9357								0	12902																																	163346	4326	17313	137943													
9553								930	2305																																	2761	21775	0	0													
9807	0	0	0	0	0	0	0	99377	258212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																10621	5246	0	0						MUNICIPAL LETTER OF CREDIT FHLBNY							
9955								0	1276																																	4237	12209	0	0													
10250								3114	19317																																	41760	7712	0	0													
10849								5524	8965																																	2278	3731	0	0													
11145	0	0	0	0	0	0	0	1634	8067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																6432	103	0	0													
11640								4304	3825																																	6744	30241	0	0													
11837								7340	3783																																	4109	3406	0	0													
12030								403	36680																																	8136	15192	0	0													
12142								755	1289																																	12055	9643	0	0													
12311																																																										
12647								3168	0																																	7062	10798	0	0													
12946								11765	196469																																	78383	81737	0	0													
13103	0	0	0	0	0	0	0	13463	195394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																185690	19449	0	0													
13251								932	0																																	840	595	0	0													
13457								7723	1870																																	1957	4248	0	0													
14155								22041	6658																																	3124	16275	0	0													
14650								3	13081																																	8375	8041	0	0													
14753								0	16																																	318	5827	0	0													
14865								4049	13608																																	55588	132335	0	0													
14977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																228	6226	0	0													
16551								6649	1348																																	13111	608	0	31													
17110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																8567	130739	0	0													
17147	0	0	0	0	0	0	0	155127	663069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				3205625	330469	0	256344	54285	0	202059	0	0								
17259								567	697																																	395	571	0	0													
17950								3661	6558																																	10881	21600	0	0													
17978								14609	92																																	0	27	0	0									Commit's to Originate Single Family Mortgages	Commit's to Originate Multi-Family Mortgages			
18050								7444	26949																																	10968	18267	0	0													
18827								17731	180726																																	83663	15998	0	2248													
18836								7113	5759																																	912	6474	0	0													
18854	0	0	0	0	0	0	750	42702	94647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																153044	17393	0	0													
19356								506	2700																																	3449	81	0	0													
19936								6423	2894																																	11267	9381	0	0													
19972								3880	0																																	0	0	0	0													
20053								4063	0																																	6207	9642	0	0													
20633								2705	3468																																	1551	1757	0	0													
20857								6087	5341																																	28406	78488	0	0													
21256								0	0																																	2	34	0	0													
