"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1545	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDJ451	RCFDJ454	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCFDPV05	RCFDPV06	RCFDPV07	RCFDPV08	RCFDPV09	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLE75	RCONLG24	RCONLG25	RCONPR04	RCONPR05	RCONPR06	RCONPV05	RCONPV06	RCONPV07	RCONPV08	RCONPV09	RIADG377	
3252																																																																				0	39650	746		42021			7389	0		4766	109984	0	56	0	0	0		0	0	0	0	0	0	0	36412	55491	9470	5672	1164	398				0	0			0	230	0	7394							0														42344				0		0	745		2220													4767			CONF	CONF										
3458																																																																				0	10649	712		5306			3556	0		0	50303	0	93	0	12988	92		10760	944	2226	5388	3576	854	0	2872	4734	10180	10039	8726	369				0	0			896	0	7978	4477							0													0	19310				0		0	0		1448													2108			CONF	CONF									0	
3720																																																																				0	17151	4371		2683			22337	2886		4761	205590	0	0	0	49332	2697		34653	1746	1738	14686	19012	9538	2612	14568	20210	50305	60853	8436	1886				0	240			1941	12134	34054	41288							0														108160				293		57	116		3909													5633			CONF	CONF										
3971																																																																				0	14672	106132		6004			81873	36185		0	738026	0	20232	5216	71873	5262		174985	3387	7509	16220	11421	4247	28827	94691	69398	262897	151339	51606	22088				0	562			3029	11962	89442	254672							0														299036				2785		0	193		467													35466			CONF	CONF										
4231																																																																				0	2313	2510		1061			2335	0		948	63195	0	0	0	22049	62		34623	4944	3034	6046	7234	755	0	12857	13788	6614	7345	398	0				0	0			1998	7511	15543	4002							0														0				0		0	49		971													1843			CONF	CONF										
5069																																																																				0	4450	475		0			3155	3722		0	394848	977	0	0	37197	0		253676	28075	7110	0	0	0	0	234765	48737	63289	0	0	0				0	0			15080	91394	68580	171772							0														104799				0		0	0		0													0			CONF	CONF										
5135																																																																				0	104099	1017		120180			43204	0		6177	468797	0	0	0	75703	1882		278738	9768	18625	35734	10048	882	77	95664	154681	118705	15123	2658	114				839	0			7483	10391	51481	36666							0														30114				1490		0	73		2990													6612			CONF	CONF										
5210																																																																				0	109267	127392		19696			133873	127575		48840	2353455	0	0	5827	556430	52600		202462	22083	203893	61897	87926	69900	109669	435727	138674	468809	482149	194824	70868				0	4205			53958	72513	374839	653270							2016														1851056				0		0	13192		287													5518			CONF	CONF										
5461																																																																				0	37163	81692		5327			30734	5863		0	468968	206	0	4806	39033	1702		53360	1808	3347	9648	10034	6212	7985	43247	39814	125921	192854	27741	564				0	24			0	19452	76670	166700							0													0	394582				0		0	776		167													3871			CONF	CONF									0	
5751																																																																				0	36012	3220		33572			33744	2333		1706	197568	0	0	0	40205	162		39702	1443	4366	2793	4355	6052	20915	42433	16017	20061	45793	24578	6880				0	10			1608	2712	16086	22240							33													0	30848				588		0	31		3441													486			CONF	CONF									0	
6039																																																																				0	53173	1487	0	2735	36043	0	36043	4425		973	421058	0	0	0	98600	1256	17316	110085	7878	12441	22713	17217	11068	27154	86995	85624	72465	52415	18834	2247	0	0	0	616	105	0		17691	27418	80195	81003	0	0				98	0														16353				98	7012	0	7012	0	1036	0	0	0	0	0	0	0	0	0	0	0	0	7290	0	0	CONF	CONF										
6329																																																																				0	2697	49627	0	2149	111915	0	111915	24009		380	1714685	0	0	0	280692	11532	2255	362230	16867	37171	122215	93335	779	8319	80500	227692	443527	527617	147825	303	0	0	0	0	1299	0		84340	288259	225877	151769	0	0				0	969													0	149027				0	1045	0	1045	0	387552	0	0	0	0	0	0	0	0	0	0	0	0	91543	0	0	CONF	CONF									0	
7009																																																																				0	0	0		0			29683	0		0	238797	0	0	0	0	0		236887	0	0	0	0	0	0	232934	3953	1910	0	0	0				0	0			0	0	0	0							0														47451				0		0	64548		0													144566			CONF	CONF										
7045																																																																				0	9921	0		6076			6902	1118		655	131430	0	0	0	74952	621	25059	8537	788	311	3281	14585	7703	47876	3855	5631	12155	12371	12976	8403				478	10			3150	561	1854	8523						0	0														63338				0		0	0	0	8333	0	0	0	0	0			0	0		0	0	8276	0	0	CONF	CONF										
7072																																																																				0	4574	19866		30			30210	11700		0	340268	0	0	0	199434	3693		24065	9143	14250	2689	9541	35970	127481	34753	5444	10994	37658	22804	29152				0	265			9636	5732	28417	25290							381														141771				1677		0	0		0													1421			CONF	CONF										
7456																																																																				0	18982	145		51152			14431	0		184	106888	0	0	0	7548	298		61001	232	319	3760	3092	145	0	55434	5128	17568	19550	971	689				0	6			2552	512	2087	6509							0														81249				0		0	12		1821													649			CONF	CONF										
7634																																																																				0	3072	374		5587			9589	0		0	60356	0	0	0	18030	576		14549	559	3003	5435	4953	4047	0	3240	7747	13261	14871	1709	1209				0	0			1126	1803	892	6729							0														1486				0		0	15		561													12002			CONF	CONF										
8462																																																																				0	7960	0		20338			21374	0		0	98344	0	0	0	16879	1135		26983	143	256	4962	1816	2920	6782	22265	23730	9926	13973	4623	6920				0	0			1958	3590	8397	1857							0														0				29		0	0		8098													6758			CONF	CONF										
8631																																																																				0	0	0		120			4169	1806		457	44373	0	0	0	23297	965		1103	177	45	345	2365	6786	13481	481	597	1983	7371	6146	4498				0	0			0	1627	691	8631							0													0	18201				43		0	23		873													1714			CONF	CONF									0	
9357																																																																				53901	0	42418		0			131007	2809		0	404332	0	20386	0	0	61		224555	0	0	0	0	0	0	194853	44987	64425	77098	17142	5468				0	1005			0	0	36563	17336							0													0	188307				12		97724	755		74													293			CONF	CONF									0	
9553																																																																				0	57920	1821		60455			10607	675		222	156150	0	0	0	14752	20		59911	2181	931	4550	4745	2191	154	74465	3935	17709	17358	18923	9008				0	0			698	0	5892	481							0														77643				0		0	1573		664													370			CONF	CONF										
9807																																																																				0	0	755290	0	0	34354	0	34354	105561		0	1952575	1332	0	0	154668	4722	3664	519879	3091	5702	22420	14629	44264	64200	201759	309328	518565	620135	128529	14836	0	0	0	0	12	0		27645	278886	154510	437737	0	0				0	619													0	789481				14370	202	0	202	0	0	0	2870	11500	0	0	0	0	0	0	0	0	0	320	0	1435	CONF	CONF									0	
9955																																																																				0	18792	7412		1839			27981	3858		0	122769	0	8124	0	13876	238		57919	52	3858	7998	1919	49	0	36013	17996	27841	26031	1012	0				0	0			0	484	2351	37540							0														55564				0		0	10		230													34			CONF	CONF										
10250																																																																				0	1745	18151		0			92818	25877		0	422703	0	0	0	81014	2802		48174	770	582	8737	30891	23378	16656	46244	20293	119070	106607	47474	1868				0	272			5165	28412	79833	63830							0														227380				0		0	23		9104													13657			CONF	CONF										
10849																																																																				0	24123	12236		10626			18081	4818		1908	237066	1	0	0	66435	159		27818	6161	22575	28328	9065	306	0	46133	41184	66327	10848	6140	0				0	0			8137	10126	43012	32806							0														110330				0		0	2843		552													1205			CONF	CONF										
11145																																																																				0	2836	474	0	0	16547	0	16547	11403		1928	254170	0	0	0	63839	946	2620	25230	1590	3364	11035	25895	11314	10438	26710	11574	47565	58493	45281	338	0	0	0	0	24	0		3542	8019	58259	22372	0	0				586	76													0	19474				846	0	0	0	0	9162	0	0	0	23	13	0	0	224	224	0	0	0	54819	0	0	CONF	CONF									0	
11640																																																																				0	24064	1687		50449			26017	0		0	240281	0	0	0	40206	1581		104169	5627	4826	4242	6402	3367	15743	84278	25073	33018	23746	14702	17662				0	0			7678	35239	16821	28711							0														95935				8		0	99		5714													2015			CONF	CONF										
11837																																																																				0	2046	12107		32			1932	4042		2013	99590	128	0	0	29280	186		37043	3649	7171	11460	5264	1126	610	19037	14332	25532	8349	2491	0				92	0			5117	10090	5653	24603							0														36100				0		0	111		571													1843			CONF	CONF										
12030																																																																				0	55101	16358		9160			44313	0		211	456982	0	0	0	85783	386		65077	4776	9606	26233	5556	37678	1934	44801	88895	180659	31208	20368	5268				1086	144			1135	15175	137322	61214							0														0				0		0	1933		13197													14464			CONF	CONF										
12142																																																																				0	6098	5732		7202			46063	2067		0	171945	0	25	0	53163	1390		58648	4263	5638	18732	23251	872	0	21247	27500	25549	35767	8241	0				0	0			509	5400	3057	25180							0													0	0				133		0	0		5388													10671			CONF	CONF									0	
12311		49662	2765478	69675	257162	39038730	1555693	7993167	0	869377	138657504	0	1173253	26803907	505081	23068147	68931560	1743816	6390008	12560669	16628883	4889948	0	2559	51	0	899103	896741	602602	10223	9263	391198	1056641	6706456	7317590	0	5497381													107318244	589368	1036775	11523007	0	16439953	257775	0	11121	0	0	0	6379515	1133397	1467880	3513500	384345	5023885		49662	2765478	69675	257162	38817119	925827		7993167	0	869377	137806027	0	5497381		26803907	505081	15025784		326201	591935	1141627	2343111	13590625	8708309							2559	51	899103	896741	602602			391198	1056641	6706456	7317590						36031	65885													0						1036775	11523007			16439953	0	20689	92589	92083	79080				0				6379515		519123	CONF	CONF				1133397	1467880	3513500	384345	5023885	0	
12647																																																																				0	17174	12631		8067			11908	687		4018	123146	0	0	0	26899	202		11447	5756	8742	7929	3004	1056	354	27733	32762	17832	5951	10543	1214				250	36			3292	3639	10513	23671							0														90588				0		0	11		22													126			CONF	CONF										
12946																																																																				0	122337	84698		25832			382656	0		9097	2298497	0	0	0	369342	14679		673809	71392	54661	143073	46805	23785	24420	1069108	230570	325773	204555	87071	4640				3211	0			27987	189931	277615	740203							157													0	1418947				0		0	1603		8889													40417			CONF	CONF									0	
13103																																																																				0	773	198617	0	152	159918	0	159918	49999		0	2562124	0	0	200	967508	19250	295901	97920	37814	8791	38969	109693	229433	540745	330462	93440	283158	477634	240647	155661	0	0	0	0	51	0		13513	124641	326111	441603	0	0				1189	88														1210433				2568	1071	0	1071	0	254134	0	0	0	0	0	1379	0	0	0	0	0	0	4783	1379	2621	CONF	CONF										
13251																																																																				0	3479	0		3193			6705	703		0	55404	0	0	0	15897	4058		16522	881	1835	6287	6109	0	785	7072	6734	9617	14893	821	110				0	0			820	439	512	13933							0														0				524		0	0		2831													2834			CONF	CONF										
13457																																																																				0	12461	3150		11432			14590	1605		0	107808	0	0	0	11140	141		36922	2595	168	1244	6705	0	428	25975	22340	7586	31689	3499	2118				0	0			14823	13847	18270	3317							0													3074	0				0		0	46		831													2155			CONF	CONF									41	
14155																																																																				0	83092	3995		41851			16973	4776		54	385862	0	0	14209	122536	3649		134576	7113	20580	23765	60758	4855	5465	34711	73300	64732	80929	7587	1833				0	1			35909	14848	29611	20537							0													0	258099				0		0	1127		3049													3854			CONF	CONF									0	
14650																																																																				0	1332	133		910			27701	5185		0	111989	0	0	0	43320	627		26729	12737	23437	1890	3419	368	1469	28725	16209	6695	5064	11976	0				0	0			922	3941	3358	16249							0														54497				0		0	4		626													7681			CONF	CONF										
14753																																																																				0	7584	0		16234			3263	0		236	31677	0	598	0	644	0		10094	2	37	296	309	0	0	3079	7502	4559	12596	3106	191				0	0			0	0	1081	917							0														0				0		0	1		851													268			CONF	CONF										
14865																																																																				0	167102	7661		190469			80458	845		6566	618251	0	0	0	23800	2198		211531	1900	1748	5605	8050	4618	1752	212391	39127	58565	147889	74631	60569				1484	1054			8754	11268	67595	47915							0														19606				0		0	23		320													739			CONF	CONF										
14977																																																																				0	5750	0		17651			4610	0		0	48797	0	0	0	10226	43	6516	14480	1726	438	203	938	4334	2587	5493	11970	3909	6557	10144	260				0	0			0	0	5445	0						0	0														0				0		0	0	0	3461	0	0	0	0	0			0	0	0	0	0	1611	0	0	CONF	CONF										
16551																																																																				0	4663	27604		6536			20804	19264		496	351949	0	592	0	113024	4838		51781	8665	5327	23763	33853	33841	7418	36788	23231	65362	44533	61045	6290				0	106			8673	80773	18407	36404							0													0	99143				198		0	0		3271													6494			CONF	CONF									0	
17110																																																																				0	0	0		0			16217	0		0	113206	0	0	0	0	0	0	43102	0	0	0	0	0	0	113206	0	0	0	0	0				0	0			0	0	0	0						0	0														12965				0		0	13243	0	0	0	0	0	0	0			0	0		0	0	83746	0	0	CONF	CONF										
17147																																																																				0	170365	716900	0	105452	4604895	0	4604895	667985		1060719	13614364	0	0	0	2435973	19036	1379538	1968854	103614	97399	283536	504282	757626	664029	7075299	510111	918572	796067	965081	873008	0	0	0	0	42041	9762		144589	644432	1232117	1587989	0	0				1284	5210														2430826				69101	31261	53948	31261	0	50910	0	0	8165	0	51729	7923	0	0	0	0	0	0	45752	7923	47	CONF	CONF				20358	0	33590	0	0		
17259																																																																				0	4297	0		874			1321	0		1086	51322	28	96	0	14815	197		11898	1167	1287	4263	7236	861	0	12800	6441	10749	4119	764	1067				0	0			71	501	21264	2853							0														21682				0		0	5		1436													2534			CONF	CONF										
17950																																																																				0	88088	2211		49741			27091	10997		752	375693	0	1263	64	89528	3232		124223	3674	6648	21612	28887	23654	5054	53541	60364	110428	56862	1426	309				0	123			4414	13701	52988	16090							0													0	226720				287		0	137		5872													9465			CONF	CONF									0	
17978																																																																				0	591	5422		0			0	1464		0	169256	0	0	0	125870	4954		6460	247	768	241	437	15003	109174	2165	3280	1091	1124	5530	30196				0	2			18672	4410	3807	2674							81														125870				0		0	0		839													551			CONF	CONF										
