"IDRSSD"	RCFD0010	RCFD0022	RCFD0070	RCFD0082	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0080	RCON0082	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BALANCES WITH BKS IN FGN COUNTRIES	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	
118660												
118736												
119153						3468	1725	0	1224	259	260	
119779						53412	5938	0	3228	2125	42121	
119872												
120476												
120542												
120609												
120953												
121642						324121	292	0	30774	8781	284274	
121651												
121914												
122153												
122546												
123075												
123374												
124344												
124830												
125154						26015	845	0	15506	382	9282	
125855												
126012												
126049												
126375												
126553						31922	0	0	1709	10426	19787	
126834												
127055												
127224												
128258												
128904						403910	43691	11725	53955	7770	286769	
129349												
129358												
129732						259016	7045	0	20243	47653	184075	
129853												
129910												
130345												
130541						454462	49	0	31283	49631	373499	
131436						59156	4537	0	9262	4809	40548	
131717												
131940												
132107												
132451												
132778												
132938												
133579						13512	0	0	3760	2880	6872	
133850												
133971												
134156												
134437												
134455												
134848												
135836												
135854												
136048												
136338												
136655												
137205												
137447												
137456												
137559												
137643												
137652						32205	0	0	528	389	31288	
137915						658070	198	0	481	12412	644979	
138051												
138257												
138556												
139133						11388	0	0	1674	9321	393	
139478												
139553												
139656						700333	27500	0	37234	82335	553264	
139740						136140	21119	0	3987	1252	109782	
139843						107653	18863	0	18152	4574	66064	
140157												
140362						108391	17716	0	3403	18789	68483	
140634												
141350												
141556	231357	10388	4	18494	202471	231353	8391	0	1997	18494	202471	
141677												
141958												
142049												
142179												
142955												
143372												
143662						2343128	260782	9495	222358	59946	1790547	
143859												
143952												
144052												
144155						13973	5456	0	2615	460	5442	
144678												
144856												
144913												
145059												
145545												
145554												
145741												
145844												
146056												
146663												
147651												
147679												
147857						3382	1410	0	440	1532	0	
147923												
148171												
148238												
148340												
148470												
148715												
149150												
150035						52564	13578	0	10781	1363	26842	
150044												
150727												
151957												
152057												
152253												
152440												
153054												
153353												
154154												
154770												
155759												
156457												
156970												
157155												
157379												
157650												
157744												
157856												
158376												
158741												
159636						369232	207	0	19092	74482	275451	
159645												
159953												
159971												
160360												
160454												
160959						219789	11237	0	5267	2280	201005	
161273												
161602												
162337												
163343												
163549						46117	66	0	9641	27625	8785	
163857												
164153												
164331												
164377												
164957												
164975												
165628	739163	143228	534	70031	525370	739163	72419	534	70809	70031	525370	
165758												
166111												
166531												
166652						88489	0	0	2386	2334	83769	
167453												
167752												
168571												
169354												
169653						246298	36981	0	41613	13503	154201	
169756												
170257												
170275												
170332						42309	46	0	3708	1358	37197	
171133	33013	692	0	10597	21724	33013	97	0	595	10597	21724	
171656												
171759												
171768												
172251												
172457												
172475												
172859												
173306						12885	4318	0	1561	2568	4438	
173557												
173575						8711	2380	0	3106	655	2570	
173641												
173959												
174321												
174367												
174572						253291	34486	0	13041	12944	192820	
175056						21664	1111	0	1772	17102	1679	
175140						42008	13	0	2227	23261	16507	
175458												
175609												
176101						189855	15420	0	7734	2989	163712	
176325						2295	1	0	1607	687	0	
176437												
176464												
176642												
177135												
177443												
177500												
177555												
177751												
177920												
178150												
178244												
178356												
178851												
179148												
179335												
179700						11255	3136	0	1691	2453	3975	
180144												
180845												
181963												
182951												
183668												
183770												
183958												
184656												
184759												
185251												
185448												
185859												
186717												
186744												
187648												
187947						123283	10234	0	5800	635	106614	
188056												
188177												
188430						113299	0	0	239	3570	109490	
188449						21242	0	0	0	21242	0	
188720												
188739												
188917												
189129												
189950												
190563												
190648												
190947												
190956												
191355						12473	103	0	1758	1168	9444	
191935												
192147						61218	0	0	5299	3571	52348	
192558						23853	4127	0	3532	551	15643	
192651												
192857												
193162												
193537												
193649												
193809						25262	8119	0	4637	3077	9429	
194440												
194570												
194936												
195111												
195157												
195456												
196752												
196800						17116	5488	0	5070	779	5779	
197142												
197254												
197302												
197478	4467472	237521	1070118	102828	3057005	3598571	130630	201217	106891	102828	3057005	
197759												
198073												
198149												
198251												
198961												
199137												
199351												
199436												
199463												
200435						308421	0	0	12925	1469	294027	
201254												
201834						301661	2149	0	3259	11636	284617	
202514												
202541												
202907						221691	104275	1924	79226	27922	8344	
203043						15503	226	0	3633	5946	5698	
203052												
203575												
204004						303288	82021	0	42068	29672	149527	
204237												
204826												
205243												
205346												
205458												
205542												
206156												
206174												
206473												
206772												
206950												
207041												
207050						24998	6986	0	7056	7533	3423	
207452												
207470												
207555												
207845												
207872												
208057						70519	4435	0	1222	322	64540	
208244	1672488	216287	335	121541	1334325	1672374	33064	221	183223	121541	1334325	
208347												
208440												
208459												
208570												
208655												
208972												
209148						45017	0	0	4919	1428	38670	
209362												
209559												
209858												
210238												
210256												
210434	57615493	144604	25788845	43655	31638389	28972063	71204	44855	72889	43346	28739769	
211114												
211271						193799	3640	0	2892	2614	184653	
211338												
211851												
212018						19614	1328	0	2108	6742	9436	
212344												
212522						84624	12646	0	24262	10590	37126	
212577						336531	1566	0	13396	55360	266209	
213471												
213538												
213912												
213958												
214106						157116	24567	0	3590	1874	127085	
214414						116063	13660	0	16523	38755	47125	
214722						31594	8303	0	4873	17662	756	
214807						15957000	40000	0	0	2000	15915000	
215345												
215653												
215662						75853	6413	0	4521	9251	55668	
215710												
216164												
216922						599563	84488	0	57541	90241	367293	
217059						31527	0	0	1898	3862	25767	
218131												
218261												
218878												
219044												
219651												
219679												
220059												
220527						117016	37	0	12169	15082	89728	
220844												
220974												
221775												
222156												
222558												
222754												
223322						467321	1087	0	19863	25616	420755	
223452												
223751												
223845												
224954												
225054												
225157												
225559												
225942												
226949												
227151												
227357												
227656												
227777												
228000												
228158												
228279												
228345												
229070												
229173												
229342												
229454												
229801	1354954	276699	69561	134634	874060	1354845	185785	69561	90805	134634	874060	
229913	3981051	0	11917	767669	3201465	3981051	0	11917	0	767669	3201465	
230423												
230610												
230759						57344	12938	13	37344	7049	0	
231279												
232847												
232856												
233031	12466000	3120000	26000	486000	8834000	12466000	866000	26000	2254000	486000	8834000	
233246												
233358												
233442												
233527												
233554												
234355						33881	7751	0	12269	563	13298	
234506						52327	1	0	3575	4993	43758	
234739												
234841												
235174												
235231												
235446												
235530												
235558												
235950												
236153						224000	913	0	9853	45931	167303	
236256												
236603												
236706						347186	0	0	6036	3351	337799	
236957						20968	0	0	2161	2257	16550	
237066						559232	2995	0	12641	11292	532304	
237619						225100	31434	0	7986	2197	183483	
237954												
238139												
238250												
238737												
239556												
239659												
240954												
241009												
241157						16844	5819	0	7727	2399	899	
241559												
242257												
242444												
242949												
242958												
242976						63554	7	0	2475	11073	49999	
243375												
243414												
243955												
244037												
244149						52362	868	0	2793	48701	0	
244158												
244251												
245016	492560	12328	103	3332	476797	492560	7693	103	4635	3332	476797	
245276						659228	10293	374	31048	281869	335644	
245351												
245557												
246022						60479	5141	0	1941	1362	52035	
246134						70167	222	0	7729	62097	119	
246451												
246657						128605	7183	0	4090	896	116436	
246947												
246956												
247140												
247355												
247476												
247551												
247908												
248240						171934	0	0	9654	15326	146954	
248352												
248455												
248633												
248745												
249416												
249612						705993	5187	12557	18879	203439	465931	
249658												
250430												
250476												
250850												
251558												
251745												
251978												
252041												
252452												
253356						89981	6475	0	5876	692	76938	
253468						339406	9456	0	4364	1961	323625	
253646												
253730												
254317												
254504												
254849												
255350												
255556												
255574												
255659						235184	47916	0	32700	755	153813	
256058												
256076												
256179												
256553						167997	28396	0	20838	14539	104224	
257233												
257345												
257578												
257653												
257756												
258306												
258379												
258539												
258874												
259059												
259330						54690	0	0	5482	2307	46901	
259442												
259956												
260055						484330	49407	0	52818	14085	368020	
260831												
261146						3435	0	0	1120	2315	0	
261360												
261940												
262059												
262237												
262358												
262741												
262844												
262956												
263243						18584	6	0	4817	5671	8090	
263627												
264455												
264772						811556	0	0	227	29727	781602	
265340												
265407												
265452												
265676												
266244												
266253												
266655												
266851												
266945												
267652												
268006						74597	14851	48	11608	2801	45289	
268136												
268677						40742	0	0	2307	735	37700	
268828						24876	0	0	2796	2546	19534	
268976												
269049												
269058												
269571												
269759												
270148												
270353												
270504												
