"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																				58	1585	2543		273				627					0	0	0	0				
242																				204	0	596		6				386					0	0	0	0				
279																				2741	1802	13345		700				1605					0	6497	0	0				
354																				1013	830	3079		818				418					0	0	0	0				
457																				436	0	1472		241				795					0	0	0	0				
505																				5407	1997	22943		6541				3403					0	5595	0	0				
1155																				1067	0	14496		654				4133					0	8642	0	0				
1351																				134	0	3161		151				2876					0	0	0	0				
1454																				816	0	18636		3855				4692					0	9273	0	0				
1669																				1184	1993	22070		362				2795					0	14876	0	860				
1856																				223	0	968		342				403					0	0	0	0				
2161																				2971	3021	19347		2169				1488					0	9698	0	0				
2732																				1538	1175	6905		1837				2355					0	0	0	0				
2750																				310	0	4840		243				1512					0	2775	0	0				
3252																				444	0	6893		1020				5429					0	0	0	0				
3458																				193	334	2770		87				651					0	1505	0	0				
3720																				331	1889	14884		429				1508					0	7683	0	3044				
3971																				2296	4462	34072		7142				4354					0	15818	0	0				
4231																				0	969	6663		238				636					0	4820	0	0				
5069																				0	696	9496		7071				1729					0	0	0	0				
5135																				1374	1782	22011		1216				9916					0	7723	0	0				
5210																				14462	13171	165724		30582				10754					0	82838	0	13917				
5461																				4516	564	20132		2317				2612					0	10123	0	0				
5751																				668	209	10345		694				3496					0	3687	0	1591				
6039																				423	859	8404	540	1209	549			3624					0	2289	0	0	Annuity Asset			
6329																			697	1386	13398	52435	2866	7873	1387			9472		1646			0	17347	0	2959	Deposit on Assets			
7009																				0	818	15588		11188				3582					0	0	0	0				
7045																				669	2814	10788	351	519				1499					0	5287	0	0				
7072																				2979	1807	21407		5163				1970					0	9488	0	0				
7456																				836	0	5981		243				2960					0	1942	0	0				
7634																				101	0	1159		422				636					0	0	0	0				
8462																				21	0	1327		27				1279					0	0	0	0				
8631																				345	519	3949		67				213					0	2805	0	0				
9357																				319	0	3615		1396				1900					0	0	0	0				
9553																				2926	0	12358		191				4961					0	3190	0	1090				
9807																				6480	0	169027	990	1220				10175					0	40821	110331	0				
9955																				3867	11	5235		106				1251					0	0	0	0				
10250																				2311	0	6026		1022				2309					0	384	0	0				
10849																				760	1487	4393		443				1703					0	0	0	0				
11145																			14	1590	3392	19171	1452	4060	1666	928		1727					0	7243	0	1159	Marble Cliff Capital	Great Lakes Capital Fund		
11640																				2258	3262	24158		3515				4617					0	10506	0	0				
11837																				157	1489	2541		231				664					0	0	0	0				
12030																				43907	4200	56660		379				6589					0	1585	0	0				
12142																				797	2791	14051		830				2200					0	4534	0	2899				
12311	0	812229	757494	7572185	0	2501951	823002	0	0	745063	0	0	0	0	0	729526	943658	1082264		812229																	TBD by Client 01			
12647																				578	0	7117		880				1430					0	4229	0	0				
12946																				11263	29047	102063		3218				16266					0	4134	38135	0				
13103																				1948	15527	62112	3345	22392				8528	9326				0	13717	0	0				
13251																				796	0	1942		62				470					0	614	0	0				
13457																				0	0	1520		129				1391					0	0	0	0				
14155																				506	154	12151		571				5298					0	5622	0	0				
14650																				389	0	2627		199				556					0	1483	0	0				
14753																				160	0	1272		233				879					0	0	0	0				
14865																				715	2883	31144		2972				12038					0	8586	1997	1953				
14977																				66	89	1206	102	145				906					0	0	0	0				
16551																				4351	0	11519		512				1786					0	4870	0	0				
17110																				219	0	4607	1167	4101				287			2474		0	0	0	0				
17147																				47264	78929	686228	46151	165163				89097	50722				0	217342	69167	19266				
17259																				375	0	2646		138				366					0	1767	0	0				
17950																				1532	6496	16531		861				7252					0	0	0	390				
17978																				292	0	2425		634				1499					0	0	0	0				
18050																				2776	0	21770		3853				3863					0	11278	0	0				
18827																				12211	11703	102686		14289				17027					0	25558	0	21898				
18836																				495	858	8834		2024				781					0	4676	0	0				
18854																				1169	5220	29660		13922	9817			9349					0	0	0	0	Oil & Gas Assets			
19356																				727	0	5188		563				807					0	3091	0	0				
19936																				579	2271	12727		449				2611					0	6817	0	0				
19972																				39	617	7938		178				308					0	5285	1511	0				
20053																				484	125	3753		161				1578					0	1405	0	0				
20633																				1601	1913	13944		1364				1209					0	7857	0	0				
20857																				2603	0	13784		404				10591					0	186	0	0				
21256																				66	0	549		26				58					0	399	0	0				
21359																				363	0	1549		237				745					0	204	0	0				
21658																				1503	0	7251	83	108				1644					0	3370	0	626				
22048																				623	0	10299		3737				1					0	5938	0	0				
22543																				824	0	5114		2892				1398					0	0	0	0				
22552																				1412	0	3947		124				2411					0	0	0	0				
22730																				419	2841	8559		656				1214					0	3429	0	0				
23456																				1543	0	8017		517				2642					0	3315	0	0				
23504																				66989	46763	583606	8309	16041				56909	4977				0	350834	38500	7570				
23643																				1707	0	14560		566				1950					0	7468	0	2869				
23755																				1049	0	8979		616				1256					0	6058	0	0				
24378																				385	199	1170		276				310					0	0	0	0				
24659																				56	0	1176		0				1120					0	0	0	0				
24949																				1746	1858	16451		421				1821					0	10605	0	0				
25357																				3647	0	10759		924				6188					0	0	0	0				
25647																				1315	1914	5165	379	453				1483			20		0	0	0	0				
26765																				11618	0	112403		5961				17101					0	60353	2260	15110				
27070																				8311	4178	50878		2109				3059					0	33221	0	0				
27614																				1041	6841	20520		1118				2498					0	9022	0	0				
27847																				2443	0	32129		1808				7101					0	15444	0	5333				
28013																				50785	15399	283959	4693	17367				19411					0	180469	0	528				
28152																				521	0	6235		820				1373	721				0	3521	0	0				
28675																				2103	457	4292		244				1488					0	0	0	0				
28732																				141	774	2820		265				643					0	997	0	0				
29476																				761	41	6724		439				2318					0	3165	0	0				
29636																				1775	25849	62832		3626				5524					0	18599	819	6640				
29878																				2568	10729	25501		4835				7369					0	0	0	0				
30052																				136	0	610		303				171					0	0	0	0				
31134																				168	622	3208	393	422				1456					0	540	0	0				
31255																				2693	0	32065	2870	3273				5804					0	18121	0	2174				
31657																				486	0	6081		255				730					0	3608	0	1002				
31826																				1949	859	12909	1920	3115				1798					0	5188	0	0	deferred compensation 1070			
31835																				0	835	18574		290				3368					0	13095	0	986				
32234																				3601	13197	24544		5075				2671					0	0	0	0				
32766																				1171	0	2223		293				759					0	0	0	0				
32971																				1638	2385	17408		1122				1893					0	10058	0	312				
33147																				2427	0	19134		2048				7654					0	6204	0	801				
33259																				2307	4141	28673		1764				3669					0	16792	0	0				
33370																				273	285	586		0				28					0	0	0	0				
33839																				90	0	486		52				344					0	0	0	0				
33857																				7377	0	20873	2416	2593				10903					0	0	0	0				
34537																				104269	68294	622229		71722				54730	26612				0	301701	0	21513				
34555																				4357	0	18120	605	858				5172		137	1		0	7733	0	0				
34742																				2024	1392	20425		2574				2828					0	11607	0	0				
35057																				697	6	10912	392	5020	3289			2064					0	2330	0	795	SBA Portion of Foreclosed Loan			
35301	0	822000	590000	58454000	0	51961000	33312000	0	0	1149000	0	0	0	0	0	689000	3243000	0		821000																	Receivables for Cash collateral posted			
35646																				591	290	4926		137				518					0	3390	0	0				
35879																				2789	1961	13785		333				812					0	7890	0	0				
36933																				1259	2321	10562		712				2288					0	3982	0	0				
37051																				680	0	2321		341				1047					0	253	0	0				
37341																				628	0	2843		345				602					0	1268	0	0				
37435																				1557	8211	28418		11106				7544					0	0	0	0				
37640																				17856	52812	249426		35396				36834					0	67952	0	38576				
37659																				55	0	2379		659				506					0	1159	0	0				
37949																				481	0	10984		312				2909					0	7282	0	0				
38740																				3494	3293	15804		452				1422					0	7143	0	0				
39327																				676	1260	33612		2376				2500					0	26046	754	0				
40033																				475	0	4400		992				159					0	963	0	1811				
40499																				24531	18552	195537		35093	16061			16882					0	94352	1965	4162	DEFERRED COMPENSATION PLAN ASSETS			
40855																				1012	0	2718		102				1604					0	0	0	0				
41553																				477	0	3416		35				871					0	2033	0	0				
41629																				1616	351	5525		1722				1317					0	519	0	0				
41825																				952	4488	18236	1100	1755				3385					0	5576	0	2080	Other Assets	Health Insurance Reserve		
42037																				65	943	4037		82				487					0	2177	0	283				
42354																				2389	0	10198		640				2678					0	4491	0	0				
42372																				806	2549	14536		2394				1641					0	6703	443	0				
42420																				41458	47421	454066		88941	36002			44741					0	154904	67003	9598	Limited Partnership Investments			
42448																				10460	3839	60202		6048				17688					0	22167	0	0				
42457																				303	148	1311		63				797					0	0	0	0				
43052																				2590	103	8072		294				446					0	4639	0	0				
43351																				658	301	10016		1100				5474					0	0	1258	1225				
43856																				1434	229	4123		571				249					0	1640	0	0				
43959																				1444	2745	11302		243				794					0	6076	0	0				
44040																				1666	3331	17063		247				5511					0	6308	0	0				
44433																				5936	9896	26724	1056	4777	2414	291	877	6115					0	0	0	0	Security Deposits	Clearing CAPS	Securities Principal Payments	
44741																				1459	1475	6901		806				3161					0	0	0	0				
44750																				2430	2562	12051		402				1012					0	3746	0	1899				
44929																				544	0	4823	217	219				630					0	1544	0	1886				
45056																				242	85	1933		136				1470					0	0	0	0				
45458																				2926	372	9847		841				1952					0	3599	157	0				
45551																				6084	7074	56371		8239				16951					0	14850	0	3173				
45560																				10012	0	71536	18407	23256				8325					0	26332	0	3611				
45775																				446	1755	7661		316				592					0	4552	0	0				
46053																				2769	0	11415		683				1227					0	6385	0	351				
46941																				570	0	7214		428				1296					0	2932	0	1988				
47247																				7593	0	50000	2355	11541	5471			5122	483	60			0	25744	0	0	Lender Reserve Account			
47500																				3585	1472	25560		1334				1655					0	17514	0	0				
48374																				10440	0	84579		16988				26267					0	29732	0	1152				
48440																				1194	1052	8092		167				1148					0	4531	0	0				
49054																				2029	0	4244		326				1889					0	0	0	0				
49148																				284	95	3391		181				1089					0	1742	0	0				
49241																				12986	6173	67482		5292				8181					0	26855	0	7995				
49652																				969	309	9002		632				1807					0	5285	0	0				
49858																				167	117	5774		604				486					0	4400	0	0				
49951																				917	0	7126		335				2806					0	3068	0	0				
50144																				397	424	5373		31				358					0	4163	0	0				
50461																				0	2177	2834	35	35				622					0	0	0	0				
51253																				6584	460	25754		4799	3784			7625					0	6286	0	0	Brokered Deposit Premium			
51356																				0	0	373	58	58				315					0	0	0	0				
51459																				3771	222	13354		267				3583					0	5511	0	0				
51842																				1834	2256	14575	250	2497	1928			3737					0	4251	0	0	FASB 115 Sed G (l) Def Tax			
52719																				6402	27766	105601		71433				0			62070		0	0	0	0				
52951																				3536	1116	8636		414				3570					0	0	0	0				
53051																				5	0	555		27				523					0	0	0	0				
54058																			9	1579	213	10325		86				8447					0	0	0	0	Accrued Income Tax Receivable			
54973																				100694	110632	492070		40549	22421			28800					0	64794	146601	0	Prepaid Pension Benefit			
55336																				1854	1760	9839		1125				2171					0	2929	0	0				
55635																				177	495	2819		1456				691					0	0	0	0				
55970																				368	1198	25049		1072				2007					0	15972	0	4432				
56258																				811	0	7487		343				1808					0	4525	0	0				
56351																				11392	8556	120870	7442	18893	4756			14200					0	67829	0	0	Right of Use Asset			
56548																				6844	3063	22140		1353				2107					0	8773	0	0				
56717																				5648	7817	51248		4602				4611					0	23970	0	4600				
57451																				1910	4085	17849		1079				2925					0	7850	0	0				
58225																				481	1959	13572		1127				1625					0	7148	0	1232				
58243																				43038	10567	303828	4802	67633	6240			26744	45983	3235	6859		0	115707	40139	0	NMTC Receivable			
58355																				344	0	1252		68				300					0	540	0	0				
58551																				0	0	10879		805				2998					0	6533	0	543				
58636																				575	2917	20247		1630				2530					0	5688	0	6907				
58757																				1698	1729	18038		571				4346					0	9694	0	0				
58971																				17747	51782	223612	11558	30665				35980					0	87438	0	0				
59316																				6163	16528	90597		13395				8687					0	34981	1436	9407				
59352																				379	76	11811		363				2899					0	8094	0	0				
59370																				542	1283	16130		1010				1096					0	12199	0	0				
59754																				1475	256	4995		1325				1939					0	0	0	0				
60143	0	839000	704000	5384000	0	2087000	1191000	0	0	305000	0	0	0	0	0	1421000	28000	0		839000																	Pension plan assets			
60330																				1304	2107	32555	3128	5372				3787	1241				0	13282	0	6703				
60545																				610	185	4359		44				3520					0	0	0	0				
60554																				188	0	2877		52				1973					0	664	0	0				
60648																				712	3379	14285		804				1958					0	6426	0	1006				
61122																			3043	4628	7422	107758	2978	38258	21382			7453					0	49997	0	0	Pension asset			
61355																				6394	5204	51721		6523				7868					0	25732	0	0				
61757																				1233	1028	14979	109	285			160	1767					0	10666	0	0			Debit Card Settlement	
61832																				1389	3736	18886	584	618				2216					0	5713	0	5214				
61953																				273	0	850		15				562					0	0	0	0				
62044																				286	0	3473		1433				1052					0	702	0	0				
62110																				126	410	692		123				33					0	0	0	0				
62147																				747	0	3321		191				451					0	1932	0	0				
63050																				1383	2977	15330		297				2421					0	8252	0	0				
63069	0	354466	504152	2805442	0	1057458	484176	0	0	426874	0	0	0	0	0	109783	352709	0		354466																	Affordable Housing Investments commitment			
63201																				566	1679	7250		1410				1115					0	2480	0	0				
63573																				2590	1882	9242		2893				1877					0	0	0	0				
63733																				7376	7567	60745	1671	7021	3357			8368		299			0	25125	0	5288	Insurance Annuity Asset			
64552																				2319	1325	13302		3421	1277			977				870	0	5260	0	0	Accounts Receivable			
64730																				234	2098	3921		310				1279					0	0	0	0				
65205																				1683	1870	59412		4672				3538					0	33671	0	13978				
65559																				1148	6966	30377	688	956				8227		168			0	13080	0	0				
65858																				2438	1858	42695		10489				11218					0	15044	0	1648				
66154																				1242	303	10362		861				1590					0	6127	0	239				
66275																				2396	1595	12419		1325				5499					0	1604	0	0				
67142																				2625	0	4440		879				936					0	0	0	0				
67151																				684	0	6606		3103				2819					0	0	0	0				
67209																				6069	12110	46514		4107				4847					0	19381	0	0				
67254																				0	0	265		217				48					0	0	0	0				
