"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
144678	0	22033					1804	0	70228					20000	0	0			0	0	0	0										0		
144856	0	21117					4358	0	73558					0	0	0			0	19248	0	0										0		
144913	0	0					1518	145315	58055					31800	0	0			103225	0	0	0										0		
145059	0	0					175	0	43413					0	0	0			0	18559	0	0										0		
145545	998	0					3012	165010	112617					25000	0	0			8254	60598	0	42784										0		
145554	0	6581					572	5500	7658					0	0	0			0	0	0	0										0		
145741	0	21079					156	0	71262					0	0	0			0	24078	0	3275										0		
145844	0	44692					5719	0	207652					0	0	0			0	59004	0	0										0		
146056	0	0					255	0	12721					0	0	0			0	4029	15823	0										658		
146663	0	0					6967	0	456152					125000	0	0			0	220098	0	0										336		
147651	0	3926					108	0	8532					0	0	0			0	503	0	0										0		
147679	0	0					2432	37758	2021					43195	0	0			2011	0	0	0										0		
147857	0	0					1956	64697	16856					16873	0	0			60153	808	0	0										0		
147923	8983	0					521	107322	20373					0	0	0			11341	978	0	0										0		
148171	0	9434					4205	0	73088					40000	0	0			0	2835	0	0										0		
148238	0	0					765	0	21220					36	0	0			0	10788	0	0										0		
148340	0	0					1312	0	18421					0	0	0			0	8360	0	0										35		
148470	0	0					1455	26580	0					25000	0	0			9136	0	0	0										0		
148715	0	4642					179	0	38017					0	0	0			0	0	0	0										0		
149150	0	0					769	0	28899					22245	0	0			0	3282	0	0										18		
150035	0	12736					2425	24152	554123					2129	0	0			14681	85301	0	0										0		
150044	0	0					5329	0	75432					70771	0	0			0	18920	0	0										0		
150727	0	0					4517	3700	258429					35000	0	0			3700	148484	0	0										0		
151957	0	5282					7996	0	210905					106415	47026	4023			0	69123	0	0										92		
152057	0	0					476	0	27147					0	0	0			0	10212	0	0										0		
152253	0	5462					333	112409	27544					0	0	0			106160	11835	0	0										0		
152440	0	0					422	0	14680					0	0	0			0	4153	0	0										0		
153054	0	0					5467	0	82838					62960	0	0			0	27508	0	0										0		
153353	0	501					11475	0	333803					91745	0	0			0	140258	0	12137										0		
154154	0	0					3689	103019	354470					39500	0	0			103019	229435	0	0										0		
154770	0	5143					4231	0	77351					87006	0	0			0	0	0	0										29315		
155759	0	16083					0	0	31320					0	0	0			0	12213	0	0										0		
156457	0	7048					360	0	9382					5625	0	0			0	486	0	0										0		
156970	0	0					104	0	370					89	0	0			0	0	0	0										0		
157155	0	1008					649	0	24585					10308	0	0			0	6903	0	0										0		
