"IDRSSD"	RCFDJJ04	RCFDJJ05	RCFDJJ06	RCFDJJ07	RCFDJJ08	RCFDJJ09	RCFDJJ11	RCFDJJ12	RCFDJJ13	RCFDJJ14	RCFDJJ15	RCFDJJ16	RCFDJJ17	RCFDJJ18	RCFDJJ19	RCFDJJ20	RCFDJJ21	RCFDJJ23	RCFDJJ24	RCFDJJ25	RCONJJ04	RCONJJ05	RCONJJ06	RCONJJ07	RCONJJ08	RCONJJ09	RCONJJ11	RCONJJ12	RCONJJ13	RCONJJ14	RCONJJ15	RCONJJ16	RCONJJ17	RCONJJ18	RCONJJ19	RCONJJ20	RCONJJ21	RCONJJ23	RCONJJ24	RCONJJ25	
	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	
795249																																									
795548																																									
795959																																									
795968	208584	4205791	6890311	1672548	0	1104816	14082050	3876	50244	27240	25423	0	39983	0	146766	0	0	0	0	0																					
796152																																									
796657																																									
797140																																									
797775																					51353	306096	1182618	24211	0	126254	1690532	900	4276	9000	216	0	0	0	14392	0	0	0	91	91	
798512																																									
799751																																									
799854																																									
799939																																									
799948																																									
800134																																									
800442																																									
800479																																									
800853																																									
801047																																									
801056																																									
801654																																									
803256																																									
803265																																									
803649																																									
803658																																									
803957																																									
804150																																									
804338																					105647	642889	57106	694113	0	1369	1501124	943	3293	809	6161	0	0	1226	12432	1	0	0	110	111	
804374																																									
804422																																									
805045																																									
805250																																									
805335																																									
805755																																									
805876																																									
806846																					273467	1266330	405664	82061	318	334	2028174	449	8110	74	845	0	21	1433	10932	0	0	0	0	0	
806958																																									
807348																																									
807432																																									
807656																																									
807955																					246555	785781	314387	540130	0	20527	1907380	2544	7844	3804	5632	0	120	0	19944	0	0	0	0	0	
808260																					128179	2178251	405080	933519	0	3916	3648945	2309	46250	7613	19956	0	247	0	76375	450	0	0	0	450	
808345																																									
808653																																									
809070																																									
809276																																									
809379																																									
809650																																									
809771																					22454	14598	872891	0	0	468	910411	97	72	4771	0	0	1	0	4941	0	0	0	0	0	
810544																																									
811046																					560945	2963734	533881	1707920	2175	123471	5892126	6971	38137	4577	27159	38	2144	115	79141	0	0	0	0	0	
811457																																									
811541																																									
811550																																									
811747																																									
812436																																									
812557																					53527	412776	152391	200299	0	20965	839958	535	3052	614	1893	0	150	0	6244	0	0	0	0	0	
812614																																									
813572																																									
813853																																									
814074																																									
814355																																									
814430																					1674488	8927303	4291355	4868535	0	60022	19821703	18540	89041	38697	70683	0	3398	0	220359	0	0	0	0	0	
814458																																									
814476																																									
814551																																									
814711																																									
815053																																									
815147																																									
815156																					24766	374994	75016	250604	0	18228	743608	463	5074	873	2566	0	240	503	9719	0	0	0	0	0	
815277																																									
815754																																									
