"IDRSSD"	RIAD3210	RIAD3217	RIAD4340	RIAD4356	RIAD4415	RIAD4460	RIAD4470	RIADB507	RIADB508	RIADB509	RIADB510	RIADB511	
	TOTAL EQUITY CAPITAL	TOTAL EQUITY CAPITAL, ADJ PREV YR	NET INCOME	CHANGES IN TOTAL EQUITY CAP.-MERGERS	OTH TRANS WITH STCK HLDRS INCL PRNT 	LESS CASH DIV DECLRD-COMMON STOCK	LESS CASH DIV DECLRD-PREFERRED STOCK	RESTATEMENTS DUE TO CORRECTIONS, ETC	EQUITY CAP: END BAL PREV YR (RESTAT)	SALE,CONVRSN,ACQUSTN,RETIRE: CAP STK	TREASURY STOCK TRANSACTIONS, NET	OTHER COMPREHENSIVE INCOME	
37	13639	12165	484	0	0	216	0	0	12165	0	0	1206	
242	5282	4204	791	0	0	535	0	0	4204	0	0	822	
279	48665	43273	3083	0	606	0	0	0	43273	0	0	1703	
354	12729	9254	245	0	3200	0	0	0	9254	0	0	30	
457	8097	7205	1224	0	0	351	0	0	7205	0	0	19	
505	78402	73833	5014	0	0	980	0	-814	73019	0	0	1349	
1155	58188	51392	9430	0	0	5301	0	0	51392	0	0	2667	
1351	33224	31135	3677	0	0	1854	0	0	31135	0	0	266	
1454	97391	82731	18172	0	0	24875	0	0	82731	0	0	21363	
1669	51604	47633	5815	0	0	4200	0	0	47633	0	0	2356	
1856	6458	6562	14	0	0	200	0	0	6562	0	0	82	
2161	32681	27866	2512	0	0	960	0	0	27866	0	0	3263	
2732	122586	118778	6153	0	0	2702	0	0	118778	0	0	357	
2750	8322	7621	941	0	0	472	0	0	7621	-171	0	403	
3252	50047	40324	11016	0	0	4391	0	0	40324	0	0	3098	
3720	45572	42521	5507	0	0	2362	0	0	42521	0	-3250	3156	
3971	132802	123220	9244	0	0	5000	0	0	123220	0	0	5338	
4231	23294	19515	3415	0	0	1604	0	0	19515	0	0	1968	
5069	234573	227919	30849	0	0	24254	0	0	227919	0	0	59	
5135	125269	114308	12069	0	0	1366	0	0	114308	0	0	258	
5210	398301	284416	37805	83496	0	26910	0	0	284416	0	0	19494	
5461	73779	66090	5517	0	0	2048	0	0	66090	0	0	4220	
5751	36795	35405	3848	0	0	4630	0	0	35405	0	0	2172	
