"IDRSSD"	RIAD3210	RIAD3217	RIAD4340	RIAD4356	RIAD4415	RIAD4460	RIAD4470	RIADB507	RIADB508	RIADB509	RIADB510	RIADB511	
6039	56067	47814	9052	0	0	1200	0	0	47814	0	0	401	
6329	196549	167747	29190	0	0	6000	0	0	167747	0	0	5612	
7009	123903	114220	38324	0	0	29300	0	0	114220	0	0	659	
7045	22795	14626	3563	0	0	989	0	0	14626	0	0	5595	
7072	45330	42319	1926	0	0	0	0	0	42319	0	0	1085	
7456	12178	10519	1680	0	0	994	0	0	10519	0	0	973	
7634	11708	10580	1648	0	0	1081	0	0	10580	0	0	561	
8462	29365	24281	3316	0	0	1599	0	0	24281	0	0	3367	
8631	7041	6298	423	0	0	260	0	0	6298	0	0	580	
9357	113217	107461	11860	0	0	7465	0	0	107461	0	0	1361	
9553	24147	20374	3368	0	0	1183	0	0	20374	0	0	1588	
9807	334969	313861	72087	0	0	56694	0	0	313861	0	0	5715	
9955	32465	27752	4606	0	0	1500	0	0	27752	0	0	1607	
10250	49538	35176	6930	0	0	3081	0	0	35176	0	0	10513	
10849	33025	28489	3294	0	0	468	0	0	28489	0	0	1710	
11145	48796	37632	6925	0	0	1400	0	0	37632	0	0	5639	
11640	39351	35599	3402	0	0	3286	0	0	35599	0	0	3636	
11837	14473	11810	1465	0	0	367	0	0	11810	0	0	1565	
12030	108878	99239	15732	0	0	7000	0	0	99239	0	0	907	
12142	23489	18577	3272	0	0	1700	0	0	18577	0	0	3340	
12311	24293048	19701181	2524076	1674431	0	750000	44698	0	19701181	232231	0	955827	
12647	26041	23611	3130	0	0	700	0	0	23611	0	0	0	
12946	274503	226447	40770	0	0	8000	0	0	226447	0	0	15286	
13103	461463	431423	18326	0	0	0	0	0	431423	0	0	11714	
13251	9067	8607	1340	0	0	1015	0	0	8607	0	0	135	
13457	16172	14236	435	0	1500	0	0	0	14236	0	0	1	
14155	48425	41573	9748	0	0	3325	0	0	41573	0	0	429	
14650	15924	10792	2496	0	3012	355	0	-21	10771	0	0	0	
14753	7897	6777	864	0	0	0	88	0	6777	0	0	344	
14865	101779	87440	16585	0	-975	5067	0	0	87440	0	0	3796	
14977	11683	11314	339	0	0	0	0	0	11314	0	0	30	
16551	49510	43736	6801	0	0	3509	0	0	43736	0	0	2482	
17110	36329	32970	14459	0	0	11100	0	0	32970	0	0	0	
17147	2469036	2315701	235942	0	0	146000	0	0	2315701	4833	0	58560	
17259	4712	4611	-43	0	0	520	0	0	4611	0	0	664	
17950	68640	53026	5725	0	0	2452	0	0	53026	0	0	12341	
17978	135376	131971	3405	0	0	0	0	0	131971	0	0	0	
18050	95348	69437	15765	0	0	7053	0	0	69437	0	0	17199	
18827	294804	267338	40487	0	0	21500	0	0	267338	0	0	8479	
18836	22137	19831	2371	0	0	1074	0	0	19831	0	0	1009	
18854	249944	212162	43069	0	0	9643	0	0	212162	1931	0	2425	
19356	12118	11145	1945	0	0	1612	0	0	11145	0	0	640	
19936	46570	38746	7329	0	0	3077	0	0	38746	156	0	3416	
19972	24748	24372	376	0	0	0	0	0	24372	0	0	0	
20053	27421	24239	3304	0	0	250	0	21	24260	0	0	107	
20633	41012	37234	2232	0	0	648	0	0	37234	0	0	2194	
20857	54886	41707	7589	0	0	718	0	0	41707	0	0	6308	
21256	890	1005	-275	0	100	0	0	0	1005	0	0	60	
21359	7261	5710	1185	0	0	544	0	0	5710	0	0	910	
21658	24218	19709	4582	0	0	1792	0	0	19709	0	0	1719	
22048	29941	25906	4928	0	0	2960	0	0	25906	0	0	2067	
22543	36752	35367	1558	0	0	450	0	0	35367	209	0	68	
22552	11563	8059	1882	0	1500	567	0	0	8059	0	0	689	
22730	19100	13324	2860	0	0	793	0	0	13324	0	0	3709	
23456	32743	26316	4402	0	0	2203	0	0	26316	0	0	4228	
23504	1645437	1578501	125879	0	0	80072	0	0	1578501	7683	0	13446	
23643	24836	18121	2614	0	0	1730	0	0	18121	0	0	5831	
23755	25307	19262	2939	0	0	1250	0	0	19262	0	0	4356	
24378	8556	8257	283	0	0	0	0	0	8257	0	0	16	
24659	12119	11950	1498	0	0	1550	0	0	11950	0	0	221	
24949	63736	58823	5396	0	0	2175	0	0	58823	0	0	1692	
25357	63584	61630	4741	0	0	3699	0	0	61630	0	0	912	
25647	39715	37581	1484	0	0	0	0	0	37581	0	0	650	
26765	426357	381500	72009	0	0	35777	0	0	381500	1000	0	7625	
27070	134446	124891	3471	0	0	0	0	0	124891	0	0	6084	
27614	37296	25603	4763	0	0	1528	0	0	25603	0	0	8458	
27847	81078	66284	12197	0	0	3400	0	0	66284	0	0	5997	
28013	724186	724300	3054	0	5796	25040	0	0	724300	0	0	16076	
28152	18037	15049	2599	0	0	1074	0	0	15049	0	0	1463	
28675	30715	25032	3524	0	0	0	0	0	25032	0	0	2159	
28732	23029	19806	3011	0	0	382	0	0	19806	0	0	594	
29476	18992	16909	2364	0	0	367	0	0	16909	0	0	86	
29636	74866	62761	9179	0	0	3073	0	0	62761	0	0	5999	
29878	760598	740468	18285	0	0	0	0	0	740468	0	0	1845	
30052	10576	9324	770	0	0	0	0	328	9652	0	0	154	
31134	41634	36587	4934	0	0	535	0	0	36587	0	0	648	
31255	123861	106936	24319	0	0	13200	0	0	106936	0	0	5806	
31657	27709	26758	2017	0	0	1066	0	0	26758	0	0	0	
31826	48254	44607	2545	0	0	0	0	0	44607	0	0	1102	
31835	28351	21739	2585	0	0	335	0	1707	23446	21	0	2634	
32234	911	-62	-779	0	0	0	0	0	-62	0	0	1752	
32766	54261	46824	4414	0	6835	3812	0	0	46824	0	0	0	
32971	40463	37433	1928	0	0	0	0	0	37433	0	0	1102	
33147	46240	36445	10705	11562	0	7875	0	0	36445	0	0	-4597	
33259	111284	104139	18428	0	0	15551	0	0	104139	0	0	4268	
33370	3080	3368	-288	0	0	0	0	0	3368	0	0	0	
33839	5308	4765	681	0	0	434	0	0	4765	0	0	296	
33857	140336	130633	17050	0	0	10600	0	0	130633	0	0	3253	
34537	3036739	2181416	152737	357207	0	332203	0	0	2181416	597141	0	80441	
34555	37937	31992	3286	0	0	2100	0	0	31992	0	0	4759	
34742	66379	60018	6110	0	0	1700	0	0	60018	0	0	1951	
35057	21778	20883	1993	0	0	1524	0	0	20883	0	0	426	
35301	28919000	27504000	3025000	0	0	2600000	0	0	27504000	0	0	990000	
35646	16817	14909	1507	0	0	370	0	0	14909	0	0	771	
35879	12120	14321	-3969	0	0	0	0	0	14321	0	0	1768	
36933	43195	33246	7961	0	0	750	0	0	33246	34	0	2704	
37051	16225	15426	1533	0	0	820	0	0	15426	0	0	86	
37341	10859	10204	1086	0	0	634	0	0	10204	0	0	203	
37435	238320	245497	58710	0	0	79588	0	0	245497	0	0	13701	
37640	1119548	674941	121555	357687	0	90000	0	0	674941	0	0	55365	
37659	7375	6909	1188	0	0	725	0	0	6909	0	0	3	
37949	27160	23093	4788	0	0	3040	0	0	23093	0	0	2319	
38740	26206	21413	2696	0	0	1399	0	0	21413	0	0	3496	
39327	126584	112177	15190	0	0	6462	0	0	112177	0	0	5679	
40033	8145	7190	432	0	0	190	0	0	7190	0	0	713	
40855	18362	17074	2961	0	0	1833	0	0	17074	0	0	160	
41553	8598	5222	745	0	0	200	0	0	5222	0	0	2831	
41629	38994	34551	4068	0	0	1180	0	0	34551	0	0	1555	
41825	101252	90980	9677	0	0	1300	0	0	90980	107	0	1788	
42037	11010	9687	712	0	0	191	0	0	9687	0	0	802	
42354	33399	24235	11500	0	0	4448	0	0	24235	0	0	2112	
42372	80998	75591	3222	0	0	0	0	0	75591	0	0	2185	
42420	1510142	1370107	160353	0	45962	105108	0	0	1370107	0	0	38828	
42448	288641	273520	25815	0	0	15093	0	0	273520	0	0	4399	
42457	7738	7119	635	0	0	425	0	0	7119	0	0	409	
43052	27786	25691	2517	0	0	1000	0	0	25691	0	0	578	
43351	62842	58186	499	0	4125	0	0	0	58186	0	0	32	
43856	9088	8399	592	0	0	41	0	0	8399	0	0	138	
43959	20831	15028	2833	0	0	1000	0	0	15028	0	0	3970	
44040	47140	38435	3603	0	0	704	0	0	38435	0	0	5806	
44433	144277	82131	-10429	0	0	0	0	0	82131	68000	1	4574	
44741	66163	56600	6812	0	0	1876	0	0	56600	0	0	4627	
44750	14207	11006	2452	0	0	812	0	0	11006	0	0	1561	
44929	21682	18986	2033	0	0	615	0	0	18986	0	0	1278	
45056	13187	12414	1054	0	0	1050	0	0	12414	0	0	769	
45458	23956	18403	4058	0	0	1545	0	0	18403	0	0	3040	
45551	128741	115589	11493	0	0	4620	0	0	115589	0	0	6279	
45560	237860	197285	28346	0	0	13660	0	0	197285	0	0	25889	
45775	16739	15349	173	0	0	0	0	0	15349	0	0	1217	
46053	21956	16327	2275	0	0	1053	0	0	16327	0	0	4407	
46941	17245	13840	3315	0	0	1760	0	0	13840	0	0	1850	
47247	115471	103781	12507	0	7000	8674	0	0	103781	0	0	857	
47500	71686	67734	2528	0	0	0	0	0	67734	0	0	1424	
48374	221572	205352	38136	0	0	26238	0	0	205352	189	0	4133	
48440	18686	15573	1835	0	0	514	0	0	15573	0	0	1792	
49054	28720	26246	2470	0	0	1782	0	0	26246	0	0	1786	
49148	13666	9911	1889	0	0	857	0	0	9911	0	0	2723	
49241	188770	167882	18297	0	0	2000	0	0	167882	0	0	4591	
49652	19048	17371	1101	0	0	540	0	0	17371	0	0	1116	
49858	30920	28392	2683	0	0	461	0	0	28392	0	0	306	
49951	21882	15344	2006	0	0	0	0	0	15344	3337	0	1195	
50461	41010	39249	1768	0	0	0	0	-7	39242	0	0	0	
51253	203416	193001	35525	0	0	25000	0	0	193001	0	0	-110	
51356	16381	15702	1719	0	0	1186	0	1	15703	0	0	145	
51459	25036	18022	3194	0	0	2400	0	0	18022	0	0	6220	
51842	84463	73069	11593	0	0	900	0	1606	74675	0	0	-905	
52719	969650	872689	103381	0	0	0	6420	0	872689	0	0	0	
52951	42329	35786	9007	0	0	6000	0	0	35786	0	0	3536	
53051	23733	21199	3767	0	0	1233	0	0	21199	0	0	0	
54058	65711	59532	8123	11884	0	17740	0	0	59532	0	0	3912	
54973	669876	546458	-30194	0	0	0	0	0	546458	5	0	153607	
55336	68727	60143	7387	0	0	2674	0	0	60143	0	0	3871	
55635	17402	17053	149	0	0	0	0	-9	17044	0	0	209	
55970	79291	74127	3666	0	0	0	0	0	74127	0	0	1498	
56258	16090	8508	3610	0	0	2287	0	0	8508	0	0	6259	
56351	506054	439738	65426	0	0	1744	0	0	439738	0	0	2634	
56548	87567	83097	2863	0	0	1370	0	0	83097	0	0	2977	
56717	121732	103708	16612	0	0	4400	0	0	103708	0	0	5812	
57451	77649	66588	6106	0	0	468	0	0	66588	0	0	5423	
58225	42870	37600	3228	0	0	1400	0	0	37600	0	0	3442	
58243	863340	818850	74892	0	0	40000	0	0	818850	0	0	9598	
58355	7033	6269	1214	0	-450	0	0	0	6269	0	0	0	
58551	28189	24956	4422	0	0	3699	0	0	24956	0	0	2510	
58636	49725	41789	6146	0	0	1900	0	0	41789	0	0	3690	
58757	41650	37383	4438	0	0	2000	0	0	37383	0	0	1829	
58971	967306	904591	95097	0	0	43965	0	0	904591	0	0	11583	
59316	217184	212754	29323	0	0	65035	0	0	212754	28365	0	11777	
59352	81428	70145	9608	0	0	0	0	0	70145	0	0	1675	
59370	60943	58355	1957	0	0	0	0	0	58355	0	0	631	
59754	24122	19106	1663	0	3326	0	0	73	19179	0	0	-46	
60143	7238000	6133000	773000	0	0	750000	0	0	6133000	0	0	1082000	
60330	142087	118752	27878	0	0	13343	0	0	118752	833	0	7967	
60545	27055	22765	3071	0	0	1694	0	0	22765	0	0	2913	
60554	11575	10506	1675	0	0	818	0	0	10506	0	0	212	
60648	31801	28764	2024	0	0	586	0	0	28764	0	0	1599	
61122	207809	185973	25343	0	0	8009	0	0	185973	0	0	4502	
61355	137027	125588	7948	0	0	3710	0	0	125588	0	0	7201	
61757	72813	67159	6149	0	0	707	0	0	67159	0	0	212	
61832	36822	31060	2001	0	0	1499	0	0	31060	0	0	5260	
61953	10634	7952	2325	0	0	1042	0	0	7952	0	0	1399	
62044	23514	19393	-1682	0	5775	0	0	0	19393	0	0	28	
62110	10896	12519	1038	0	0	2650	0	0	12519	0	0	-11	
62147	8527	7270	656	0	0	360	0	0	7270	0	0	961	
63050	64127	54496	8149	0	0	1431	0	0	54496	0	0	2913	
63069	12386276	11371634	902610	0	0	0	0	0	11371634	-240	0	112272	
63201	21126	19457	1835	0	0	1521	0	0	19457	0	0	1355	
63573	119651	113187	4814	0	0	0	0	0	113187	0	0	1650	
63733	175308	149255	21772	0	0	8400	0	0	149255	0	0	12681	
64552	50132	59660	1531	0	0	12192	0	-46	59614	0	0	1179	
64730	27778	22224	2023	0	0	919	0	0	22224	0	0	4450	
65205	180639	179832	-1390	0	0	0	0	0	179832	0	0	2197	
65559	98441	80307	13370	0	0	7919	0	0	80307	0	0	12683	
65858	206771	185888	34648	0	0	30000	0	0	185888	0	0	16235	
66154	26685	20113	2357	0	3539	705	0	0	20113	0	0	1381	
66275	68496	66347	97	0	4100	2386	0	0	66347	0	0	338	
67142	27948	27324	-329	0	0	197	0	0	27324	0	0	1150	
67151	88000	69098	9863	0	0	5023	0	0	69098	0	0	14062	
67209	139137	136595	-2396	0	0	0	0	0	136595	0	0	4938	
67254	2246	1700	-2226	0	2772	0	0	0	1700	0	0	0	
67656	289675	250817	35925	0	0	1200	0	0	250817	0	0	4133	
68671	29862	21036	1323	0	7500	0	0	3	21039	0	0	0	
68756	134443	109766	28243	0	0	8832	0	0	109766	0	0	5266	
68831	31343	26174	3305	0	0	0	0	0	26174	878	0	986	
69333	185015	165911	28291	0	0	21365	0	0	165911	0	0	12178	
69678	58427	52705	3385	0	0	2968	0	0	52705	0	0	5305	
70218	13112	13234	-170	0	0	0	0	0	13234	0	0	48	
70638	55792	50017	14340	0	5660	14769	0	0	50017	0	0	544	
70955	3551	3314	240	0	0	3	0	0	3314	0	0	0	
71073	16946	14061	893	0	1325	0	0	0	14061	0	0	667	
71457	57458	47128	5790	0	0	1500	0	0	47128	0	0	6040	
71859	24563	23629	909	0	0	0	0	0	23629	0	0	25	
72258	99924	92988	11673	0	0	5700	0	338	93326	0	0	625	
72351	7087	4934	757	0	0	371	0	0	4934	0	0	1767	
72454	16223	14331	1645	0	0	355	0	0	14331	0	0	602	
72678	64565	58847	1219	0	0	0	0	0	58847	0	0	4499	
73116	66798	58290	3345	0	0	0	0	0	58290	0	0	5163	
73152	7045	3144	1393	0	0	933	0	0	3144	0	0	3441	
73554	39040	35190	4173	0	0	1900	0	0	35190	0	0	1577	
73956	6967	5883	423	0	0	225	0	0	5883	0	0	886	
74056	27033	25164	4114	0	0	2050	0	0	25164	0	0	-195	
74140	178794	155936	21526	0	0	12000	0	0	155936	0	0	13332	
74403	123150	115328	3657	0	75	596	0	0	115328	0	0	4686	
74449	3902	3775	340	0	0	213	0	0	3775	0	0	0	
75259	113585	103693	10242	0	1000	1900	0	0	103693	0	0	550	
75446	74297	64192	6662	0	0	2528	0	0	64192	0	0	5971	
75455	7978	7789	656	0	0	652	0	0	7789	0	0	185	
75633	37358799	34697595	2432995	29410	0	1242000	0	0	34697595	2074	0	1438725	
75651	9540	8050	717	0	0	50	0	5	8055	0	0	818	
76153	5736	4720	207	0	810	0	0	0	4720	0	0	-1	
76443	11709	9576	2658	0	-52	2170	0	0	9576	0	0	1697	
76854	63302	56729	8316	0	0	3750	0	0	56729	0	0	2007	
77150	8058	7301	719	0	0	250	0	0	7301	0	0	288	
77253	50212	32809	4172	0	0	1900	0	0	32809	0	0	15131	
77422	19168	18121	247	0	0	0	0	0	18121	0	0	800	
77851	528711	495365	48108	0	0	23900	0	0	495365	0	0	9138	
78157	10361	9540	2201	0	0	1760	0	0	9540	0	0	380	
78241	15089	13356	912	0	783	265	0	-16	13340	0	0	319	
78559	1392	3847	-3958	0	1000	0	0	24	3871	0	0	479	
79042	38729	31299	5054	0	0	550	0	0	31299	0	0	2926	
79127	8750	7796	544	0	0	525	0	0	7796	0	0	935	
79145	25638	24329	2001	0	0	1240	0	0	24329	0	0	548	
79257	7031	6817	-88	0	250	0	0	0	6817	0	0	52	
79855	35173	32676	3842	0	0	1465	0	0	32676	0	0	120	
80150	59946	49060	10935	0	0	6939	0	0	49060	0	0	6890	
80374	38088	33859	2277	0	0	0	0	0	33859	0	0	1952	
80431	13499	11969	1890	0	0	1216	0	0	11969	0	0	856	
81175	53150	49261	3290	0	0	750	0	1159	50420	82	0	108	
82033	19669	17091	254	0	0	0	0	0	17091	0	0	2324	
82257	6044	5620	843	0	0	800	0	0	5620	0	0	381	
82350	6408	5307	515	0	0	80	0	0	5307	0	0	666	
83375	117226	106553	8757	0	0	6935	0	0	106553	0	0	8851	
83638	978367	930441	64532	0	0	60000	0	0	930441	4521	0	38873	
83834	25734	21596	3789	0	0	2045	0	0	21596	0	0	2394	
83852	4734	3935	680	0	0	500	0	0	3935	0	0	619	
83955	12016	9200	1431	0	1062	562	0	0	9200	0	0	885	
84541	331940	297228	31982	0	0	10304	0	2321	299549	0	0	10713	
85052	13480	9109	219	0	0	0	0	0	9109	0	0	4152	
85472	1737430	1696671	83022	0	0	62000	0	0	1696671	6035	0	13702	
85931	25804	23342	1201	0	0	700	0	0	23342	0	0	1961	
86349	73724	67029	14958	0	0	13642	0	0	67029	0	0	5379	
86675	253725	246175	2374	0	0	0	0	0	246175	0	0	5176	
87047	22791	20590	1365	0	0	585	0	0	20590	0	-122	1543	
87234	88780	85268	7107	0	0	5376	0	0	85268	0	0	1781	
87476	37933	34665	1957	0	0	0	0	316	34981	0	0	995	
87579	56512	49382	4453	0	0	0	0	0	49382	0	0	2677	
88231	155036	137116	20746	0	0	3000	0	0	137116	0	0	174	
88259	11068	9820	1296	0	0	700	0	0	9820	0	0	652	
88352	38716	34860	5038	0	0	2765	0	0	34860	0	0	1583	
88455	101324	91601	15232	0	0	11100	0	0	91601	0	0	5591	
89032	25000	22817	1628	0	0	217	0	0	22817	0	0	772	
89135	9557	8604	1431	0	0	800	0	0	8604	0	0	322	
89854	21238	21221	1562	0	0	1758	0	0	21221	0	0	213	
89957	26955	25943	674	0	0	0	0	0	25943	196	0	142	
90047	3654	2746	435	0	0	307	0	0	2746	0	0	780	
90177	35221	34030	793	0	0	0	0	0	34030	0	0	398	
90328	107309	93298	16334	0	4000	11939	0	0	93298	0	0	5616	
90337	98393	93606	12137	0	0	8954	0	0	93606	0	0	1604	
90579	73197	64198	2309	0	0	0	0	0	64198	0	0	6690	
91615	12796	10948	788	0	0	165	0	0	10948	0	0	1225	
91950	6469	5714	341	0	0	60	0	0	5714	0	0	474	
92144	7636	6848	149	0	0	36	0	0	6848	0	0	675	
92676	79345	69685	4588	0	0	0	0	0	69685	0	0	5072	
92706	47439	42187	2366	0	0	0	0	0	42187	0	0	2886	
92902	3325	3083	242	0	0	0	0	0	3083	0	0	0	
93244	33177	20014	6774	0	5800	4170	0	0	20014	0	0	4759	
93543	72853	63282	8871	0	0	0	16	0	63282	0	0	716	
93619	60232	45105	6119	9008	0	0	0	0	45105	0	0	0	
94139	97900	92321	4459	0	725	3259	0	0	92321	0	0	3654	
94522	126736	109992	19982	0	0	5298	0	0	109992	0	0	2060	
94755	28802	25276	3334	0	0	2000	0	0	25276	0	0	2192	
94858	20012	15949	3802	0	0	2240	0	0	15949	0	0	2501	
95051	28246	32510	-5625	0	1500	0	0	0	32510	0	0	-139	
95677	9153	9043	110	0	0	0	0	0	9043	0	0	0	
96553	16588	15047	1595	0	0	50	0	0	15047	0	0	-4	
97055	65070	47150	9085	0	11099	3745	0	0	47150	0	0	1481	
97279	9686	8590	939	0	0	342	0	0	8590	0	0	499	
97457	15301	17762	5266	0	0	7775	0	0	17762	0	0	48	
97804	165083	150634	11899	0	0	2000	0	0	150634	0	0	4550	
97943	61092	52748	9180	0	0	7245	0	0	52748	0	0	6409	
98351	15570	13248	1444	0	0	0	0	0	13248	0	0	878	
98463	87524	73341	2526	0	338	1196	0	0	73341	0	0	12515	
98717	35033	28353	1254	0	0	0	0	135	28488	0	0	5291	
99143	32572	29237	3018	0	0	1800	0	0	29237	0	0	2117	
99376	450731	402467	47199	0	-2229	0	0	0	402467	0	0	3294	
99442	125106	105109	9917	13230	0	5430	0	-121	104988	0	0	2401	
99536	144953	109040	33712	0	0	7139	0	0	109040	0	0	9340	
99853	4685	4155	379	0	0	304	0	0	4155	0	0	455	
100236	47600	47483	12050	0	0	12590	0	0	47483	0	0	657	
100357	115207	91686	18650	0	-2950	4330	0	0	91686	0	0	12151	
100562	1362147	1308545	124394	0	4757	133406	0	0	1308545	0	0	57857	
100777	75377	68321	1501	0	0	0	0	0	68321	0	0	5555	
100843	63523	52576	11125	0	0	6488	0	0	52576	0	0	6310	
101037	160092	133817	15625	0	0	4125	0	0	133817	0	0	14775	
101439	44506	38881	9025	0	0	5294	0	0	38881	0	0	1894	
101671	74525	64521	4350	0	0	2293	0	0	64521	7	0	7940	
101738	26467	21525	1671	0	0	1395	0	0	21525	0	0	4666	
101952	13098	10645	1906	0	0	1200	0	0	10645	0	0	1747	
102333	5817	4893	313	0	0	0	0	0	4893	0	0	611	
102342	43590	40109	3822	0	0	2393	0	0	40109	0	0	2052	
102557	19074	18466	791	0	-250	0	0	0	18466	0	0	67	
102874	32543	30353	1917	0	0	0	0	0	30353	0	0	273	
103134	8064	7344	787	0	0	506	0	0	7344	0	0	439	
104234	13858	11517	1347	0	-25	584	0	0	11517	0	0	1603	
104542	4204	2243	159	0	0	10	0	0	2243	0	0	1812	
104971	7148	6976	130	0	0	18	0	0	6976	0	0	60	
105026	61373	56326	7039	0	0	2125	0	0	56326	-734	0	867	
105473	455089	451104	5618	0	0	0	0	0	451104	0	0	-1633	
105530	22990	18950	1917	0	0	528	0	0	18950	0	0	2651	
106359	246097	201574	27269	0	0	6700	0	0	201574	0	0	23954	
106452	83070	72033	15928	0	0	7725	0	0	72033	16	0	2818	
106676	11827	11821	-96	0	0	0	0	0	11821	0	0	102	
107244	6129851	5705623	715480	0	23144	198139	16187	0	5705623	-151347	0	51277	
107570	52779	46130	6382	0	0	2400	14	0	46130	107	0	2574	
107758	6941	6524	720	0	0	426	0	0	6524	0	0	123	
108072	17211	14657	2114	0	0	731	0	0	14657	0	0	1171	
108269	9487	8950	485	0	0	549	0	0	8950	0	0	601	
108652	11224	11051	-480	0	653	0	0	0	11051	0	0	0	
108746	11155	9273	1120	0	0	878	0	0	9273	0	0	1640	
108951	59551	46143	8066	0	0	1760	0	0	46143	0	0	7102	
109136	49344	40690	6877	0	0	2800	0	0	40690	0	0	4577	
109154	11156	9232	1892	0	0	714	0	0	9232	0	0	746	
109453	33011	27568	4581	0	0	500	0	0	27568	0	0	1362	
109574	60189	51746	5674	0	0	0	0	0	51746	0	0	2769	
109659	45476	41137	8026	0	0	3890	0	0	41137	0	0	203	
110413	220660	201174	84255	0	0	69500	0	0	201174	0	0	4731	
110936	353783	291565	50359	0	0	0	0	0	291565	0	0	11859	
110945	40260	35129	4246	0	35	765	0	0	35129	0	0	1615	
110972	9696	9160	354	0	0	0	0	0	9160	0	0	182	
111157	9351	9041	721	0	0	534	0	0	9041	0	0	123	
111205	105129	91891	9252	0	0	0	0	0	91891	0	0	3986	
111942	87867	77745	11456	0	0	4418	0	0	77745	0	0	3084	
112332	18953	15528	2185	0	0	836	0	0	15528	0	0	2076	
112510	8573	7215	1456	0	0	475	0	0	7215	0	0	377	
112556	7507	7405	872	0	-736	355	0	0	7405	0	0	321	
112837	97584212	55894998	3201974	42119036	31	7450004	0	0	55894998	0	0	3818177	
113003	228495	200987	24667	0	0	0	0	0	200987	0	0	2841	
113030	19716	17478	3215	0	0	1800	0	0	17478	0	0	823	
113441	125529	109329	20631	0	0	10000	0	0	109329	284	0	5285	
113601	303349	276022	39167	0	0	10000	1849	0	276022	0	0	9	
113740	124628	108318	15116	0	-10	4050	0	0	108318	477	0	4777	
114149	38626	33878	3318	0	0	915	0	0	33878	0	0	2345	
114260	569246	516562	77539	0	0	63338	0	0	516562	0	0	38483	
114457	27851	22946	6595	0	0	5942	0	0	22946	0	0	4252	
114774	19548	19506	42	0	0	0	0	0	19506	0	0	0	
114840	66636	56996	7844	0	0	1200	0	0	56996	0	0	2996	
114859	9425	7715	864	0	50	280	0	0	7715	0	0	1076	
115146	17834	17667	1573	0	-199	1207	0	0	17667	0	0	0	
115575	105927	99669	3112	0	0	150	0	0	99669	0	0	3296	
116358	7626	6632	853	0	0	560	0	0	6632	0	0	701	
116554	9562	10093	-13375	0	13384	0	0	0	10093	0	0	-540	
116741	27094	22155	3658	0	0	1795	0	0	22155	0	0	3076	
117038	25317	21712	3319	0	0	540	0	0	21712	0	0	826	
117458	184752	172877	23674	0	0	10171	0	0	172877	0	0	-1628	
117775	17210	14933	936	0	0	0	0	0	14933	-20	0	1361	
118156	175562	159152	22009	0	0	7973	0	0	159152	0	0	2374	
118660	31124	29317	5566	0	-513	3247	0	0	29317	0	0	1	
118736	33719	29052	2319	0	0	941	0	0	29052	0	0	3289	
119153	33506	29550	5411	0	0	4500	0	0	29550	0	0	3045	
119779	157711	150522	7767	0	0	1000	0	0	150522	0	0	422	
119872	47062	44991	-840	0	0	0	0	0	44991	706	0	2205	
120476	8136	8067	69	0	0	0	0	0	8067	0	0	0	
120542	62499	53443	12601	0	107	4200	0	0	53443	0	0	548	
