"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37	6	42													11	4													true	true	
242	100	94													31	31													true	true	
279			16	644	31	3651	31	13761	108	2537	11	1361	5	660			14	760	22	2920	5	1638	2	33	0	0	0	0	false	false	
354			5	495	10	1874	24	13799	7	128	4	431	5	1131			4	222	2	334	4	1474	6	171	1	110	0	0	false	false	
457			8	356	8	877	23	7976	47	1282	17	1828	15	3941			6	216	10	1279	6	1273	45	858	11	903	6	1028	false	false	
505			5	188	35	5292	67	27030	135	2680	56	5258	48	9458			0	0	0	0	0	0	0	0	0	0	0	0	false	false	
1155			44	1472	47	4852	72	30216	211	4992	68	5917	67	19090			10	291	33	4016	26	6792	106	2661	38	4319	12	2884	false	false	
1351			148	5201	55	7257	33	14987	288	7200	47	6238	22	7201			24	1040	16	2035	1	266	94	2150	13	1453	4	1397	false	false	
1454			21	1293	53	6845	93	35934	361	8385	85	7285	110	28456			3	193	8	887	6	1409	23	489	11	852	2	364	false	false	
1669			120	5905	80	10531	94	32730	422	10810	61	6260	31	7847			1	30	0	0	0	0	180	3942	16	1685	8	2839	false	false	
1856			9	340	4	397	3	1453	14	435	2	294	5	1390			3	168	8	1306	1	182	16	456	8	900	2	810	false	false	
2161			20	755	35	4880	74	29501	120	3789	43	4749	15	4652			9	437	7	787	6	1213	7	65	1	103	0	0	false	false	
2732			1	10	5	1088	54	26757	6	252	11	1852	18	7002															false	false	
2750			16	707	3	349	5	936	152	1802	15	1611	7	2000			3	121	9	1327	4	1367	45	1061	33	2419	26	6874	false	false	
3252			51	2202	5	668	8	2650	80	1926	20	2168	9	2273			23	901	30	3918	25	7326	412	10292	77	10209	36	11142	false	false	
3720			52	2076	82	9628	90	28425	402	10093	69	6762	21	4328			37	1553	27	3378	18	5600	2	16	5	285	1	300	false	false	
3971			4	264	26	3758	41	16487	55	1262	34	3243	34	7729			12	465	10	1171	22	4026	21	325	12	720	13	2274	false	false	
4231			15	595	7	804	12	3772	72	1214	6	344	4	665			40	1044	7	742	0	0	12	386	1	106	3	437	false	false	
5069			0	0	1	250	16	5462	0	0	0	0	2	975			0	0	0	0	0	0	0	0	0	0	0	0	false	false	
5135			67	3096	43	5600	95	44047	584	13908	85	8514	31	9941			76	3201	78	11078	36	8945	240	6224	64	6611	55	10135	false	false	
5210			136	4642	320	39545	626	222984	638	14748	258	21541	208	47711			42	1629	77	9634	90	23973	92	2676	32	2355	9	1142	false	false	
5461			4	206	15	2200	88	40686	30	1362	80	9341	29	9928			0	0	0	0	2	391	1	100	3	61	1	101	false	false	
5751			28	1183	43	5266	35	12511	249	7609	47	4528	23	7971			11	283	23	2751	35	8514	38	1141	30	2775	23	5880	false	false	
6039			84	2582	84	11543	144	54799	452	10122	50	5832	21	7382			57	2140	42	5194	28	7458	74	1336	4	275	2	702	false	false	
6329			141	6221	187	24605	300	115821	1891	41135	203	19603	107	27245			15	491	14	1528	3	589	30	846	6	821	2	432	false	false	
7009			0	0	0	0	0	0	0	0	1	158	0	0															false	false	
7045			24	894	19	2156	21	7101	51	1537	14	1490	7	2120			3	142	14	1980	9	2566	18	409	13	1105	5	1217	false	false	
7072			63	684	45	5171	87	29568	411	2236	53	4709	34	10859			0	0	1	168	1	293	1	15	0	0	0	0	false	false	
7456			9	304	10	1124	15	4913	37	822	14	1144	12	2815			10	302	15	1780	15	2271	31	738	26	1313	24	4553	false	false	
7634			29	1111	16	1813	9	3135	114	3379	23	2266	13	3665			13	479	11	1420	5	1096	73	3073	19	2012	4	974	false	false	
8462			11	576	13	2007	13	5936	116	3654	22	2673	13	5774			2	167	6	806	7	1770	13	880	8	1108	12	2386	false	false	
8631			11	456	14	2307	19	7379	40	941	10	551	6	2273			0	0	0	0	0	0	5	70	1	36	0	0	false	false	
9357			0	0	4	333	40	14841	222	4146	134	11798	139	33024															false	false	
9553			11	518	5	884	4	1617	26	781	9	1221	12	4968			12	437	35	4767	31	8642	49	957	32	2356	33	6227	false	false	
9807			5	240	20	2120	73	27971	12	352	6	494	6	1450															false	false	
9955			6	192	2	242	18	9988	15	394	15	1319	15	6707			17	684	12	1580	7	1864	22	465	1	41	3	669	false	false	
10250			13	612	36	4777	95	35609	331	10823	161	14896	69	22017			2	90	5	567	1	398	0	0	0	0	0	0	false	false	
10849			17	673	18	2680	47	18119	85	2574	16	1544	12	5571			23	837	15	2026	6	1393	16	327	8	905	0	0	false	false	
11145			69	2809	105	13082	98	31948	79	1857	22	1884	17	3063			2	87	5	766	3	816	0	0	0	0	0	0	false	false	
11640			24	849	27	2857	29	11432	225	5350	40	3647	32	9778			9	358	8	780	6	1174	23	506	17	1250	14	2400	false	false	
11837			6	279	7	949	18	7384	24	488	8	489	3	592			7	305	3	470	2	780	2	5	0	0	0	0	false	false	
12030			303	10998	134	15760	140	49000	696	13904	66	5850	29	7159			52	1631	23	2405	21	5390	59	1229	7	642	1	348	false	false	
12142			37	1460	25	3093	24	7589	85	2164	46	5161	43	13647			3	81	2	304	3	1039	7	277	5	415	3	360	false	false	
12311			860	32202	1905	201087	4055	1472760	87733	738591	20729	1167686	27995	4371996			38	1405	80	7532	68	11786	737	18827	597	44988	302	39139			
12647			26	1353	25	2979	42	15707	47	870	19	1619	16	2969			15	416	19	2119	13	3514	34	590	11	1113	7	1037	false	false	
12946			131	4879	167	18190	213	72356	1174	22373	253	24281	203	58084			220	7966	146	17004	69	18277	333	6931	68	7618	22	4571	false	false	
13103			39	2743	145	17354	333	112665	1109	25145	154	12427	150	31755			0	0	0	0	0	0	0	0	1	141	0	0	false	false	
13251			15	813	19	2499	21	9564	65	1883	18	1920	5	1803			2	27	3	362	0	0	17	367	4	379	6	1116	false	false	
13457			9	570	14	2009	19	7593	44	1354	20	2421	13	5196			5	345	6	923	11	3104	44	1417	19	2228	10	2835	false	false	
14155			46	1611	62	8683	52	20864	259	6645	42	4817	12	3023			98	4383	110	14260	63	22032	534	15134	89	13181	41	14171	false	false	
14650			12	395	11	1632	13	6096	121	4370	49	6082	30	11802			3	85	3	251	2	682	22	228	2	393	1	301	false	false	
14753			3	140	4	789	3	1053	56	1454	6	594	2	1144			6	180	10	1228	7	1568	180	5252	35	3923	9	2524	false	false	
14865			54	2184	126	16750	100	37885	355	9033	124	11045	109	27372			52	2652	105	14483	102	29034	408	11361	175	15848	157	30837	false	false	
14977			5	296	5	525	4	1634	64	1529	7	666	3	1037			6	292	17	2169	7	1919	55	1534	21	2328	11	2619	false	false	
