"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL ROU)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ACL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL ROU)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ACL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	
37																																							15810	1612	47217	0	0	283	0	2405	86116	72350	127	72477	0	696	0	0	13639	1200	86116	0	0	12897	0	0	3500	0	36592	35758			0	19485	18789	-3958	0	0	0	0	13639	0	0	
242																																							1590	1548	18513	0	0	477	0	573	56044	47678	84	50762	0	170	3000	0	5282	120	56044	0	0	6106	0	0	120	0	13123	34555		1231	0	30386	30216	-1064	3127	0	0	0	5282	0	0	
279																																							5509	3861	59892	0	210	12037	9271	13667	428509	331615	2560	379844	0	3440	45669	0	48665	1	428509	0	0	34475	0	0	17252	0	49582	282033			0	306645	303205	-3063	2574	0	0	0	48665	0	18283	
354																																							2465	1705	2128	0	0	4830	0	3699	123554	97583	922	110825	0	879	12320	0	12729	100	123554	0	0	-1492	0	0	14117	18437	20048	77535			0	79956	79077	4	11213	0	0	0	12729	0	0	
457																																							4767	1097	493	0	0	758	226	1406	87633	71758	278	79536	0	1059	7500	0	8097	60	87633	0	0	3107	0	0	4940	0	11830	59928			0	79786	78727	-10	146	0	0	0	8097	13	0	
505																																							20761	7385	66562	0	1685	12047	0	25593	928503	765967	10082	850049	52	8749	74000	0	78402	6480	928503	0	0	52905	0	0	18403	0	149270	616697			0	803219	794470	614	0	0	0	0	78454	0	0	
1155																																							8339	12918	80324	0	9142	8737	0	14078	557123	495201	3734	498935	0	6980	0	0	58188	1600	557123	0	0	35857	0	0	23696	737	61293	433908			0	429828	422848	-2965	0	0	0	0	58188	0	0	
1351																																							6956	5308	7379	0	0	3931	113	3090	234655	200193	1238	201431	0	1450	0	0	33224	240	234655	0	0	32630	0	0	530	0	30223	169970			0	150057	148607	-176	0	0	0	0	33224	0	59271	
1454																																							124779	27246	397986	0	0	3437	0	18467	1171608	1054914	6303	1074217	0	7645	0	0	97391	1000	1171608	0	0	135276	0	0	1214	784	371940	682974			0	606388	598743	-40099	0	0	13000	0	97391	166	0	
