"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																			0	55	1542	2405	0	182	0	0	0	626	0	0	0	0	0	0	0	0				
242																			0	204	0	573	0	5	0	0	0	364	0	0	0	0	0	0	0	0				
279																			0	2773	1601	13667	363	861	350	106	0	1888	0	0	42	0	0	6544	0	0	FISERV DEPOSIT	BROKERED DEPOSIT FEE		
354																			0	1867	761	3699	0	631	0	0	0	440	431	0	0	0	0	0	0	0				
457																			0	436	0	1406	0	189	0	0	0	781	0	0	0	0	0	0	0	0				
505																			0	7938	2064	25593	0	6811	4678	0	0	3143	0	0	0	0	0	5637	0	0	Pension Asset			
1155																			0	1067	0	14078	438	531	0	0	0	3773	0	0	0	0	0	8707	0	0		NA		
1351																			0	134	0	3090	302	349	0	0	0	2607	0	0	0	0	0	0	0	0				
1454																			0	816	0	18467	1317	3950	0	0	0	4778	0	0	0	0	0	8923	0	0				
1669																			0	1196	2077	22402	337	337	0	0	0	2940	0	0	0	0	0	14989	0	863				
1856																			0	226	0	728	121	152	0	0	0	350	0	0	0	0	0	0	0	0	0			
2161																			330	4014	2813	21689	1524	3145	750	0	0	1942	0	0	0	0	0	9775	0	0	Account Receivable Lamar Bancorporation			
2732																			0	1538	1278	7660	0	2561	1498	0	0	2283	0	0	0	0	0	0	0	0	Right To Use - Lease			
2750																			0	310	0	5039	383	383	0	0	0	1551	0	0	0	0	0	2795	0	0				
3252																			0	449	0	6175	1025	1956	805	0	0	3770	0	0	0	0	0	0	0	0	NP DDA Debits			
3720																			0	331	1756	15032	474	499	0	0	0	1576	0	0	0	0	0	7812	0	3058				
3971																			38	3421	4976	35026	832	6429	10	0	0	4302	0	78	4741	0	0	15898	0	0	Total A/R from Holding Co. or Affiliates			
4231																			0	112	854	6736	0	204	0	0	0	707	0	0	0	0	0	4859	0	0				
5069																			0	0	699	9457	1934	6988	0	0	0	1770	0	0	5028	0	0	0	0	0				
5135																			6	993	1618	20719	864	1568	526	0	0	8744	0	0	0	0	0	7796	0	0	overpaid taxes			
5210																			0	14237	10688	171765	0	30050	18409	0	0	10950	0	0	0	0	0	91856	0	13984	Prepaid Pension			
5461																			0	4516	530	20806	1227	2308	850	0	0	3274	0	0	0	0	0	10178	0	0	CRA Investment			
5751																			0	669	178	9862	360	561	0	0	0	3129	0	0	0	0	0	3726	0	1599	Receivable from Bond Security			
6039																				423	1789	9282	446	1115	550			3647					0	2308	0	0	Annuity Asset			
6329																			677	2573	13380	63278	3692	16879	211			9882		1574			0	17595	0	2969	Deposit on Assets			
7009																				0	1070	15208	6042	10297	0	0	0	3841			4168		0	0	0	0				
7045																				669	2674	10653	328	371				1596					0	5343	0	0				
7072																			0	2989	2071	21480	580	4876	2806	687	0	1994	0	0	0	0	0	9550	0	0	Deferred Compensation	Deferred Commissions		
7456																			0	955	0	6129	0	648	517	0	0	2569	0	0	0	0	0	1957	0	0	HEALTH INSURANCE			
