"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCFDLB56	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	RCONLB56	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37														127	0	34	0	0	0	0	0	93	0	0	0	0	0				
242														84	0	0	0	0	0	0	0	79	0	5	0	0	0				
279														2560	0	1488	0	80	385	103	102	524	336	212	156	0	577	ATM SETTLEMENT	ESOP PAYABLE	BOLI POST RETIREMENT LIABILITY	
354														922	0	146	35	0	0	0	0	176	512	53	0	146	0				
457														278	0	7	0	0	0	0	0	146	125	0	0	0	0				
505														10082	0	5082	938	0	4171	0	0	833	3136	93	0	0	0	Deferred Service Fee - FCC			
1155														3734	0	2087	0	0	0	0	0	698	949	0	1742	0	0				
1351														1238	0	87	0	0	0	0	0	1067	84	0	0	0	0				
1454														6303	0	3731	0	0	0	0	0	294	1702	576	2034	0	0				
1669														2524	0	1515	0	0	0	0	0	1009	0	0	113	0	0				
1856														62	0	0	0	0	0	0	0	47	5	10	0	0	0				
2161														6610	0	5754	0	0	451	2242	0	205	478	173	1324	162	995	DEFERRED LOAN FEES	SBA PPP OVERAGE		
2732														5138	0	1978	0	0	0	0	0	2411	569	180	0	0	1595				
2750														970	118	605	0	0	18	0	0	112	243	10	469	0	0	PYMT DUE TO LOAN PARTICIPATION BANK			
3252														1345	0	36	0	0	0	0	0	578	731	0	0	0	0				
3720														3644	0	1	0	0	0	0	0	326	3267	50	0	0	0				
3971														11703	0	5301	0	136	0	0	0	2905	3389	108	2934	0	2193		Deferred Compensation		
4231														953	0	0	0	0	0	0	0	386	447	120	0	0	0				
5069														6552	0	2553	0	1889	664	0	0	1872	1999	128	0	0	0	Deferred income			
5135														3637	0	1154	0	0	0	0	0	1172	1311	0	1154	0	0				
5210														36791	0	26650	0	0	0	0	0	758	7552	1831	0	0	0				
5461														7682	0	6162	0	0	0	0	0	127	1211	182	4553	0	1069				
5751														1759	0	1338	0	0	713	0	0	241	133	47	508	0	0	Post Retirement Benefits Payable			
6039														4863		1170	0	504				2077	1569	47	316		97				
6329														14966		9308	0	715				2568	1648	1442	4556		3408				
7009														16977		910	0	819	0	0	0	4542	11525	0							
7045														1033		0	0					202	831	0							
7072														5322	0	3813	0	0	0	0	0	145	1325	39	2806	0	295				
7456														699	0	367	0	0	0	0	0	237	95	0	367	0	0				
7634														418	0	0	0	0	0	0	0	207	175	36	0	0	0				
8462														808	0	20	0	0	0	0	0	777	0	11	0	0	0				
8631														793	0	684	0	0	0	0	0	72	35	2	683	0	0				
9357														12405	0	9169	0	0	0	0	0	46	3099	91	2828	0	3020				
9553														1656	0	1	0	0	0	0	0	287	1368	0	0	0	0				
9807														24598		5153	0					6903	11804	738			3800	0	0		
9955														801	0	0	0	0	0	0	0	228	573	0	0	0	0				
10250														3646	0	1360	0	0	105	102	0	1185	777	324	1136	0	0	Mastercard Incentive	Loan Escrow Payable		
10849														1307	0	137	0	19	0	0	0	260	618	292	0	0	0				
11145														4297		766	0		82	302		482	3049	0		382		Great Lakes Capital FUnd	Differed Revenue	Marble CLiff Capital	
11640														2965	0	1773	0	0	0	0	0	856	336	0	1773	0	0				
11837														497	0	4	0	0	0	0	0	113	243	137	0	0	0				
12030														8157	0	5283	0	4287	0	0	0	1264	194	1416	996	0	0				
12142														2754	0	1245	0	0	782	0	0	1490	0	19	447	0	0	SERP Liability			
12311	3992571	0	2751845	3931	1205490	0	0	0	891168	206332	0	0	0									139295									
12647														668	171	202	0	0	0	0	0	337	129	0	0	0	0				
12946														22368	0	13974	0	12	0	0	0	1366	6598	430	9869	0	0				
13103														43105		26175	0					4141	10069	2720		8679					
13251														273	0	73	0	0	2	0	0	195	0	5	0	0	0	Deferred Gain on sale of ORE	Accrued Employee  B&P	Deferred PPP Income	
13457														725	0	0	0	0	0	0	0	370	355	0	0	0	0				
14155														3300	0	1136	63	0	420	0	0	1080	1002	19	692	0	0	Deferred Mastercard contract incentive			
14650														1074	0	258	0	0	0	0	0	205	446	165	239	0	0				
14753														277	0	0	96	0	0	0	0	178	3	0	0	0	0				
14865														8669	0	5480	0	0	0	0	0	312	2852	25	2221	0	0				
14977														455		74	0	70				254	94	33							
16551														1558	0	133	0	0	0	0	0	630	426	369	0	0	0	Deferred PPP Loan Fees			
17110														19336		7597	0					544	11126	69			6932				
17147														255369		71456	0					8618	157295	18000		47980					
17259														1454	0	1259	0	0	0	0	0	99	96	0	1259	0	0				
17950														3404	0	1852	0	0	152	0	0	807	584	161	1693	0	0	ATM/EFT Settlement			
17978														895	0	46	621	43	3	0	0	19	209	0	0	0	0	Other Liabilities			
18050														6370	0	1766	0	329	0	0	0	1222	3202	180	979	0	0				
18827														22108	0	12321	0	0	0	0	0	2193	5197	2397	0	9401	0				
18836														2984	0	956	0	0	0	0	0	203	1626	199	782	0	0				
18854														11812		9095	0		2555			1118	1135	464				Dividends Payable			
19356														764	0	261	0	0	0	0	0	251	163	89	192	0	0				
19936														3077	0	2271	0	0	0	0	0	404	2	400	1966	0	0				
19972														1342	0	1315	0	0	1017	298	0	1	0	26	0	0	0	Accrued Exp Life Insurance	Accrued life insurance expense- death benefit		
20053														971	250	250	0	0	0	0	0	384	316	21	0	0	0	Unrealized interest AR			
20633														2262	0	977	0	0	0	0	0	135	932	218	689	0	268				
20857														3410	0	703	0	156	0	0	0	2099	458	150	547	0	0				
21256														9	0	6	0	0	0	0	0	3	0	0	0	0	0				
21359														344	0	205	0	0	205	0	0	66	73	0	0	0	0	Deffered Comp net of Shazam credit			
21658														1828		988	0	851				330	367	143							
22048														3509	0	1921	0	14	0	0	0	887	502	199	1905	0	0				
22543														2267	0	603	919	221	0	0	0	161	451	133	0	0	371				
22552														356	0	0	0	0	0	0	0	329	27	0	0	0	0				
22730														2353	793	1028	0	0	0	0	0	962	296	67	0	0	0	ATM Suspense	Visa Drafts in Process		
23456														2176	0	265	0	0	265	0	0	1614	251	46	0	0	0	Deffered Comp Payable			
23504														101950		51951	0					3263	44539	2197			45729				
23643														1120	0	127	0	0	0	0	0	753	132	108	0	0	0				
23755														4402	0	3176	0	0	2055	0	0	291	935	0	993	0	0	HUDSON LEASE OBLIGATION	0	0	
24378														350	0	158	0	0	113	0	0	40	152	0	0	0	0	Treasurer's checks issued but not cashed			
24659														413	0	393	0	0	392	0	0	20	0	0	0	0	0	AGBMP			
24949														5110	0	3261	0	0	0	0	0	854	838	157	3261	0	0				
25357														1721	0	617	0	0	617	0	0	612	142	350	0	0	0	Deferred Revenue			
25647														2877		79	0	58				698	2071	29							
26765														53594	0	17315	0	0	0	0	0	3651	22923	9705	0	0	14514				
27070														4814	0	621	0	163	0	0	0	1453	2369	371	341	0	0	Contract Incentive	Deferred fees		
27614														3629	0	1872	0	0	576	615	0	798	959	0	0	0	0	Split Dollar Life Insurance	Network Settlement		
27847														5595	0	3212	0	2	30	12	0	960	1236	187	3168	0	0	CDARS Incoming Ratebridge Payment	Deferred Income	CDARS One-Way Sell Def Liability	
28013														32108		21026	0					68	10724	290	19554						
28152														1678		1457	0					83	100	38	1030	405					
28675														1159		0	0					1070	89	0							
28732														1731	0	977	0	149	818	0	0	234	363	157	0	0	0	Deferred Liabilities			
29476														891	0	237	156	0	0	0	0	250	52	196	0	0	0	0	0		
29636														25766	0	18371	0	0	0	0	0	1196	4939	1260	9477	0	8306				
29878														35518	0	34749	0	5173	113	6124	1020	0	680	89	22319	0	0	Abandoned Property	Minimum Liability Pension	Lease Liability	
30052														783	0	155	319	0	0	0	0	26	264	19	0	0	0				
31134														1914		1214	0	171	362		200	403	97	200				Index Liability Plan	Split Dollar Ins Liability	Allowance for unfunded committments	
31255														14379		4955	0		2976	40		648	8220	556			1521	Factored loans collected reserves	CDARS Ratebridge payments		
31657														111	0	1	0	0	0	0	0	98	12	0	0	0	0		Mastercard Drafts		
31826														5030		4222	0					507	278	23	1070						
31835														4119	335	1268	0	0	0	0	0	307	2365	179	933	0	0				
32234														5051	0	3455	0	0	914	2394	0	822	774	0	0	0	0	Commitment on Equity Investments	Swaps		
32766														1078	0	0	0	0	0	0	0	84	923	71	0	0	0				
32971														6457	0	3817	0	4	0	0	0	916	1551	173	3451	0	278				
33147														3300	0	279	0	0	142	0	0	1749	1093	179	0	0	0	ATM Clearing Account	Incoming RBP - CDARS		
33259														6482	0	687	0	0	409	0	0	2972	2404	419	0	0	0	Interest Payable Participant			
33370														305		305	0					0	0	0							
33839														187	0	7	72	7	0	0	0	44	57	7	0	0	0				
33857														15307		7537	0					2942	4393	435							
34537														208574		139491	0					17979	44151	6953			62322				
34555														3052		2223	0	35				814	0	15	2133						
34742														6318	0	2637	0	0	0	0	0	1918	1686	77	2600	0	0				
35057														1103		71	0					627	291	114							
35301	27965000	0	24974000	84000	0	15490000	0	0	2839000	8000	0	0	0									60000						Payables for non - cash collateral received			
35646														1266	0	769	0	0	0	0	0	316	156	25	731	0	0	Acc slary contr BOLI General			
35879														1677	0	323	0	0	142	0	0	499	724	131	0	0	0	SWAP FAIR VALUE			
36933														4042	0	1702	0	0	0	0	0	1029	1211	100	0	0	1116				
37051														427	0	65	0	65	0	0	0	347	15	0	0	0	0				
37341														560	0	302	0	0	0	0	0	236	12	10	302	0	0				
37435														22170	0	5803	0	0	0	0	2697	730	13368	2269	0	0	166	Deferred Income	Escrow Payable	Due to Fed - Historic Tax Credit	
37640														63341		23524	0					9579	29184	1054							
37659														866	0	745	0	0	0	0	0	45	46	30	745	0	0				
37949														533	0	185	0	0	0	0	0	342	6	0	0	0	0				
38740														1829	0	401	0	0	106	0	0	329	1065	34	0	0	0	LIHTC - Commitment			
39327														5452	0	2458	0	0	218	565	0	675	1552	767	1553	0	0	Deferred Income	Lease Liability		
40033														790	0	705	0	0	0	0	0	11	74	0	705	0	0	Unfunded Projected Benefit Obligation	0		
40855														1298	0	0	0	0	0	0	0	1087	211	0	0	0	0				
41553														706	0	0	0	0	0	0	0	61	600	45	0	0	0				
