"IDRSSD"	RCONG349	RCONG350	RCONG351	RCONG352	RCONG353	RCONG354	RCONG355	RCONG356	RCONG357	RCONG358	RCONG359	RCONG360	RCONG361	RCONG362	RCONG363	RCONG364	RCONG365	RCONG366	RCONG367	RCONG368	RCONG369	RCONG370	RCONG371	RCONG372	RCONG373	RCONG374	RCONG375	RCONHT50	RCONHT51	RCONHT52	RCONHT53	RCONHT54	RCONHT55	RCONHT56	RCONHT57	RCONHT58	RCONHT59	RCONHT60	RCONHT61	RCONK142	RCONK143	RCONK144	RCONK145	RCONK146	RCONK147	RCONK148	RCONK149	RCONK150	RCONK151	RCONK152	RCONK153	RCONK154	RCONK155	RCONK156	RCONK157	RCONMG95	RCONPU98	RCONPU99	RCONPV00	RCONPV01	
	SFP TPS ISS FNC INST HTM FV	SFP TPS ISS FNC INST AFS AMRTZ COST	SFP TPS ISS FNC INST AFS FV	SFP TPS ISS RE INV TR HTM AMRTZ COST	SFP TPS ISS RE INV TRS HTM FV	SFP TPS ISS RE INV TR AFS AMRTZ COST	SFP TPS ISS RE INV TR AFS FV	SFP CORP & SIMILAR LN HTM AMRTZ COST	SFP CORP & SIMILAR LN HTM FV	SFP CORP & SIMILAR LN AFS AMRTZ COST	SFP CORP & SIMILAR LN AFS FV	SFP 1T4 RES MBS I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS I OR G GSE HTM FV	SFP 1T4 RES MBS I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS I OR G GSE AFS FV	SFP 1T4 MBS N I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS N I OR G GSE HTM FV	SFP 1T4 MBS N I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS N I OR G GSE AFS FV	SFP DVRS (MIXED) POOLS SFP HTM AMRTZ	SFP DVRS (MIXED) POOLS SFP HTM FV	SFP DVRS (MIXED) POOLS SFP AFS AMRTZ	SFP DVRS (MIXED) POOLS SFP AFS FV	SFP OTHR CLTRL REF ASSET HTM AMRTZ	SFP OTHR CLTRL REF ASSET HTM FV	SFP OTHR CLTRL REF ASSET AFS AMRTZ	SFP OTHR CLTRL REF ASSET AFS FV	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	MBS CMRL PT SCTY GUAR FNMA HTM AMTRZ	MBS CMRL PT SCTY GUAR FNMA HTM FV	MBS CMRL PT SCTY GUAR FNMA AFS AMTRZ	MBS CMRL PT SCTY GUAR FNMA AFS FV	MBS CMRL PT SCTY OTHR HTM AMTRZ	MBS CMRL PT SCTY OTHR HTM FV	MBS CMRL PT SCTY OTHR AFS AMTRZ	MBS CMRL PT SCTY OTHR AFS FV	MBS CMRL OTHR CMRL GUAR FNMA HTM AMT	MBS CMRL OTHR CMRL GUAR FNMA HTM FV	MBS CMRL OTHR CMRL GUAR FNMA AFS AMT	MBS CMRL OTHR CMRL GUAR FNMA AFS FV	MBS CMRL OTHR CMRL OTHR CMRL HTM AMT	MBS CMRL OTHR CMRL OTHR CMRL HTM FV	MBS CMRL OTHR CMRL OTHR CMRL AFS AMT	MBS CMRL OTHR CMRL OTHR CMRL AFS FV	Amortized cost of available-for-sale	Structured financial products guaran	Structured financial products guaran	Structured financial products guaran	Structured financial products guaran	
37																												0	0	5701	4971	0	0	6660	5772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
242																												0	0	5852	5649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
279																												971	972	0	0	16112	14579	6475	5796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19184	19048		0	0	0	0	
354																												0	0	1104	1103	0	0	0	0	0	0	0	0	0	0	498	503	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
457																												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
505																												0	0	0	0	0	0	45721	46047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
1155																												0	0	8403	8396	0	0	9075	9109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	481	506	0	0	0	0		0	0	0	0	
1351																												50000	48541	6997	6837	0	0	477	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
1454																												0	0	144692	138564	0	0	136202	118463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
1669																												0	0	0	0	0	0	17400	15246	0	0	0	0	0	0	2042	2037	0	0	0	0	0	0	726	735	0	0	0	0		0	0	0	0	
1856																												0	0	222	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
2161																												0	0	0	0	0	0	21271	19847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12692	11860		0	0	0	0	
2732																												0	0	2045	1994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
2750																												0	0	5515	5285	0	0	142	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
3252																												0	0	6635	6632	0	0	2090	2029	0	0	0	0	0	0	32288	32373	0	0	0	0	0	0	27979	27897	0	0	0	0		0	0	0	0	
3720																												7746	7431	7155	7212	0	0	67150	61401	0	0	0	0	0	0	4415	4573	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
3971																												0	0	56147	51939	0	0	52581	51859	0	0	0	0	0	0	16994	17260	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
4231																												0	0	2926	2960	0	0	45828	44652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
5069																												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
5135																												0	0	23604	23551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
5210																												0	0	65570	59352	1088	1063	186203	173688	0	0	0	0	0	0	124615	121829	0	0	0	0	0	0	381	380	0	0	0	0		0	0	0	0	
5461																												27814	27162	26522	26005	85501	77941	3311	3154	0	0	0	0	350	334	1473	1419	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
5751																												0	0	1858	1845	0	0	2145	2176	0	0	1429	1429	0	0	880	889	0	0	0	0	0	0	0	0	0	0	5321	5323		0	0	23	23	
6039																												0	0	5688	5632					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
6329																												0	0	56073	56030					0	0	0	0	0	0	1501	1522	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
7009																												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
7045																												0	0	1000	972					0	0	1000	994	0	0	226	210	0	0	0	0	0	0	8076	8049	0	0	0	0		0	0	1000	995	
7072																												0	0	7991	7552	28769	25292	3632	3656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
7456																												0	0	2812	2751	0	0	117	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
7634																												0	0	1068	1044	0	0	5347	5067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
8462																												0	0	33555	33058	0	0	25846	23884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
8631																												0	0	9585	9344	0	0	5656	5127	0	0	0	0	0	0	500	497	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
9357																												0	0	3520	3439	0	0	9408	9443	0	0	553	551	0	0	12072	12092	0	0	0	0	0	0	0	0	0	0	0	0		0	0	553	551	
9553																												0	0	172	170	0	0	11080	9953	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
9807																												4997	4989	34551	34531					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
9955																												0	0	26119	25805	0	0	264	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
10250																												0	0	15688	14678	0	0	115059	107899	0	0	0	0	0	0	1394	1413	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
10849																												0	0	13438	13541	0	0	8139	7434	0	0	28	25	0	0	5222	4999	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
11145																												0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31551	30143	517	0	0	0	0	
11640																												0	0	14647	12720	0	0	17840	15866	0	0	0	0	0	0	5805	5248	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
11837																												0	0	8891	8601	0	0	27818	23938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
12030																												0	0	911	909	0	0	0	0	0	0	0	0	75	74	752	751	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
12142																												10480	10156	1000	1012	28845	26151	16119	15787	0	0	0	0	4850	4564	4888	4708	0	0	0	0	2198	1721	2670	2539	0	0	0	0		0	0	0	0	
12311																																																													
12647																												20172	19371	0	0	4918	4351	0	0	0	0	0	0	1807	1814	0	0	0	0	0	0	102	96	0	0	0	0	0	0		0	0	0	0	
12946																												0	0	65455	55316	0	0	101512	92724	0	0	56	50	0	0	8961	7890	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
13103																												18238	18238	0	0					0	0	70660	70700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
13251																												0	0	340	339	0	0	1089	989	0	0	0	0	0	0	1033	1042	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
13457																												0	0	659	652	0	0	190	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	
