"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
37	0	0					55	0	47217					0	0	0			0	36474	0	0										0		
242	0	3118					204	0	18513					3000	0	0			0	9348	0	0										0		
279	0	0					2773	18283	59892					45669	0	0			1200	8743	0	0										0		
354	0	501					1867	0	2128					12320	0	0			0	0	0	0										0		
457	0	493					436	0	493					7500	0	0			0	0	0	0										13		
505	0	2962					7938	0	66562					74000	0	0			0	12019	0	0										0		
1155	0	5023					1067	0	80324					0	0	0			0	52347	0	0										0		
1351	0	0					134	59271	7379					0	0	0			9271	0	0	0										0		
1454	0	10771					816	0	397986					0	0	0			0	112850	0	0										166		
1669	0	61898					1196	13483	81639					0	0	0			13483	0	0	0										0		
1856	0	0					226	1000	7805					2000	0	0			0	0	0	0										0		
2161	0	0					4014	0	82092					5000	0	0			0	34679	0	0										0		
2732	0	29889					1538	0	43073					0	0	0			0	10890	0	0										0		
2750	0	0					310	0	12832					2340	0	0			0	7410	0	0										66		
3252	0	43909					449	0	238813					0	0	0			0	53893	0	0										0		
3720	0	17287					331	39207	102385					0	0	0			31461	5158	0	0										0		
3971	0	43567					3421	0	218026					55500	0	0			0	9139	0	0										910		
4231	0	3012					112	1300	71824					0	0	0			0	21200	0	0										0		
5069	0	1955					0	0	6448					0	0	0			0	1754	0	0										1116		
5135	0	74013					993	0	99355					11050	0	0			0	1791	0	0										0		
5210	0	0					14237	63288	466894					280000	0	0			62200	8450	0	17366										949		
5461	1986	0					4516	216611	33775					33883	0	0			93664	2656	0	0										0		
5751	0	6913					669	6250	103987					0	0	0			0	33326	0	0										0		
6039	0	41901					423	3518	54172					0	0	0			0	1253	0	0										0		
6329	0	0					2573	0	191318					25000	0	0			0	12885	0	0										0		
7009	0	1258531					0	0	1299915					0	0	0			0	41384	0	0										874		
7045	0	2052					669	1455	143594					0	0	0			1455	58137	0	0										0		
7072	0	2983					2989	35564	39634					18000	0	0			6745	2772	0	0										0		
7456	0	0					955	0	26388					12906	0	0			0	23521	0	0										66		
7634	0	0					101	0	11772					0	0	0			0	5648	0	0										0		
8462	0	994					21	0	89394					0	0	0			0	23988	0	0										0		
8631	0	0					345	0	17189					0	0	0			0	735	0	0										0		
9357	0	3921					994	0	50998					15000	0	0			0	0	0	0										896		
9553	0	3501					3113	33156	31898					65795	0	0			33156	10341	0	0										0		
9807	0	30083					6424	133409	392337					0	0	0			78548	173069	0	41177										1148		
9955	0	1891					3894	0	53115					27913	0	0			0	22686	10201	0										0		
10250	0	5875					2520	68000	187821					5500	0	0			68000	57465	0	0										0		
10849	0	18275					764	0	71449					2000	0	0			0	21888	0	0										0		
11145	0	0					1590	0	125977					19000	0	0			0	55280	0	0										0		
11640	0	0					2349	0	103364					0	0	0			0	69530	0	0										0		
11837	0	27789					157	0	68565					0	0	0			0	3358	0	0										0		
12030	0	134142					41217	75	135802					0	0	0			0	0	0	0										0		
12142	0	0					806	48678	72686					0	0	0			0	43930	0	0										0		
12311	2349305	4635007	0	0	0	181836	903685	15258162	26132431	293008	223754226	0	199334957	13578488	211440	328280	46716	150405	1346	4143324	0	22405	7741956	9789361	5118839	6840673	0	381821	0	10004	0	12058	1051913	
12647	0	0					578	63837	0					8850	0	0			35804	0	0	0										0		
12946	0	0					9212	0	470651					20000	0	0			0	253338	0	0										5427		
13103	0	1374					3992	18238	287348					64058	0	0			0	14606	0	0										15508		
13251	0	929					787	0	3573					0	0	0			0	274	0	0										0		
13457	0	887					0	0	1829					0	0	0			0	99	0	0										0		
14155	0	10898					736	0	22242					7500	0	0			0	6820	0	0										0		
14650	1196	0					362	4028	0					0	0	0			2829	0	0	0										0		
14753	0	199					160	29	10202					0	0	0			0	4866	0	0										126		
14865	0	0					715	3613	197652					0	0	0			1309	3400	0	0										0		
14977	0	5404					66	0	6304					0	0	0			0	900	0	0										0		
16551	0	48248					4335	19185	56142					27500	0	0			16185	0	0	0										0		
17110	2600	0					219	2600	0					0	0	0			0	0	0	0										21308		
17147	0	0					47245	1971784	1407102					806608	0	0			1069653	902294	0	103755										0		
17259	0	957					375	545	12726					0	0	0			545	7721	0	0										0		
17950	0	77218					2581	0	395785					23300	0	0			0	75637	0	0										167		
17978	8974	0					292	106801	0					0	0	0			10410	0	0	0										0		
18050	0	16546					1758	0	311951					0	0	0			0	119251	0	0										0		
18827	0	3978					12457	0	387089					72295	0	0			0	101845	0	0										155		
18836	0	2480					491	0	35468					0	0	0			0	3173	0	0										0		
18854	0	5608					1165	0	54019					0	0	0			0	17774	0	0										0		
19356	0	0					788	0	13106					8062	0	0			0	9517	0	0										0		
19936	0	42111					579	517	108498					5066	0	0			0	17114	0	0										0		
19972	0	0					39	25954	0					0	0	0			25922	0	0	0										1244		
20053	0	0					490	0	4218					7000	0	0			0	2318	0	0										0		
20633	0	1969					1582	0	75858					24156	0	0			0	28350	0	0										681		
20857	58591	0					734	94935	94929					6044	0	0			36344	93956	0	1160										66		
21256	0	100					66	0	1202					0	0	0			0	0	0	0										0		
21359	0	2441					363	240	19978					0	0	0			0	4276	0	0										0		
21658	0	3485					1519	0	43785					22080	0	0			0	9567	0	0										88		
22048	0	0					625	0	46456					415	0	0			0	20196	0	0										0		
22543	0	10073					824	0	11183					0	0	0			0	1110	0	0										88		
22552	0	1464					1346	2209	12563					1123	0	0			2209	250	0	0										74		
22730	0	0					405	0	134707					149	0	0			0	40054	0	7877										0		
23456	0	2972					1864	488	82130					557	0	0			488	39276	0	0										0		
23504	0	0					67197	618901	797485					560400	75042	75042			0	18930	0	0										2723		
23643	0	0					1716	0	102495					10050	0	0			0	49556	0	0										0		
23755	0	0					1049	35368	28356					2346	0	0			19532	14441	0	0										0		
24378	0	0					385	11587	2082					6000	0	0			698	0	0	0										0		
24659	8544	28289					56	10857	31888					0	0	0			1806	1577	0	0										13		
24949	0	0					1746	117953	80121					8750	0	0			0	0	0	0										0		
25357	0	0					3647	22493	73634					0	0	0			1126	4958	0	0										0		
25647	0	10111					1315	0	20786					42000	0	0			0	0	0	0										0		
26765	0	3912					11642	5140	154516					0	0	0			5140	8172	0	0										0		
27070	0	6855					8296	0	162416					90750	0	0			0	88401	0	0										0		
27614	0	0					1041	0	256327					0	0	0			0	96376	0	0										0		
27847	0	0					2465	0	146302					27000	0	0			0	89738	0	0										0		
28013	0	0					51635	8339	1412419					941956	20198	5045			0	614	0	0										0		
28152	1116	3916					522	18700	31468					0	0	0			11543	10332	0	0										0		
28675	0	0					2103	0	147003					24000	0	0			0	6289	0	0										106		
28732	0	967					141	5562	22416					0	0	0			1275	4343	0	0										0		
29476	0	0					799	340	13631					3000	0	0			340	1665	0	0										0		
29636	0	0					1785	352325	151708					0	0	0			93128	78890	0	74223										710		
29878	0	0					2568	0	48905					0	0	0			0	0	0	0										0		
30052	0	0					138	0	7679					1000	0	0			0	1002	0	0										0		
31134	0	2967					168	0	24898					0	0	0			0	18208	0	0										0		
31255	0	15599					2777	0	199573					0	0	0			0	108522	0	0										0		
31657	0	0					486	99429	0					0	0	0			10516	0	0	0										0		
31826	0	0					1949	0	33063					0	0	0			0	20100	0	0										0		
31835	0	2924					0	2210	42149					0	0	0			2210	5607	0	0										772		
32234	15102	0					3608	158028	42000					0	0	0			113854	3003	0	0										0		
32766	0	0					1179	0	0					19000	0	0			0	0	0	0										0		
32971	0	875					1638	0	28101					17500	0	0			0	19543	0	0										66		
33147	0	0					2442	0	38661					2500	0	0			0	10531	0	0										0		
33259	0	88387					2307	1405	143288					36000	0	0			0	0	0	0										0		
33370	0	0					273	10	0					4145	0	0			0	0	0	0										0		
33839	0	0					90	0	14912					222	0	0			0	5025	0	0										0		
33857	0	16427					7318	0	83597					141135	0	0			0	28672	0	0										0		
34537	0	200					137893	586178	5164567					835000	0	0			0	334547	0	485862										13923		
34555	0	41536					4061	0	139411					3258	0	0			0	36045	0	0										0		
34742	0	0					2449	3000	78985					11000	0	0			0	18493	0	0										0		
35057	0	8953					704	0	16595					0	0	0			0	4089	0	0										79		
35301	566000	22146000	0	0	0	3000	567000	34369000	45688000	13050000	265330000	0	251107000	17017000	1206000	2398000	7000	0	0	26000	4450000	841000	14272000	5112000	13055000	8036000	5543000	2594000	926000	7771000	0	6000	0	
35646	0	577					591	0	25607					0	0	0			0	16694	0	0										0		
35879	8799	0					2789	36432	22289					38845	0	0			0	12054	0	0										0		
36933	0	0					998	500	51863					14000	0	0			0	22846	0	0										0		
37051	0	0					680	0	1912					15000	0	0			0	1912	0	0										27		
37341	0	0					655	0	6169					2000	0	0			0	4525	0	0										18		
37435	0	89081					1557	51096	638786					0	0	0			2603	24882	0	0										0		
37640	0	152090					17688	0	1653744					102137	0	0			0	497606	0	43853										0		
37659	0	0					55	5198	136					0	0	0			5198	0	0	0										0		
37949	0	11923					616	0	137563					3000	0	0			0	62232	0	16375										0		
38740	0	0					3463	0	78743					47235	0	0			0	25581	0	0										0		
39327	0	9936					676	13167	198823					0	0	0			3556	8007	0	0										0		
40033	0	1615					475	0	18246					0	0	0			0	2476	0	0										0		
40855	0	0					1027	0	9533					9331	0	0			0	5524	0	0										0		
41553	0	0					479	14014	67020					0	0	0			14014	5382	0	0										0		
41629	0	99					1972	0	44051					30000	0	0			0	5915	0	0										0		
41825	0	0					2282	86554	53681					33000	118	70			28839	5869	0	0										0		
42037	0	0					65	0	22361					0	0	0			0	10886	0	0										0		
42354	0	8499					3653	0	38996					30000	0	0			0	15253	0	0										0		
42372	0	12818					806	0	77502					10000	0	0			0	5092	0	0										0		
42420	0	0					38295	519422	1013528					258276	0	0			22743	6305	0	22966										0		
42448	0	0					10556	0	179344					135775	0	0			0	130318	0	0										0		
42457	0	0					305	7427	7720					400	0	0			7427	0	0	0										0		
43052	0	0					2626	0	29494					1450	0	0			0	8179	0	0										0		
43351	0	0					657	0	2602					10935	0	0			0	1449	0	0										16		
43856	0	499					1458	2553	10784					2000	0	0			2553	687	0	0										0		
43959	0	1681					1463	0	86376					24000	0	0			0	44602	0	0										0		
44040	0	0					1666	0	148278					2000	0	0			0	47057	0	0										0		
44433	0	0					7485	0	584375					60000	0	0			0	9229	0	0										0		
44741	0	4065					1459	0	182998					0	0	0			0	136612	0	0										226		
44750	0	0					2295	0	42470					30100	0	0			0	528	0	0										0		
44929	0	48573					544	0	55760					0	0	0			0	2427	0	0										0		
45056	0	1939					245	7381	28145					1865	0	0			7381	337	0	0										0		
45458	0	0					2975	500	74216					25975	0	0			0	27625	0	0										0		
45551	0	38273					6095	0	183189					50000	0	0			0	74973	0	0										0		
45560	0	0					9657	31755	476944					0	0	0			3940	28171	0	0										3561		
45775	0	0					406	0	25475					8089	0	0			0	743	0	0										0		
46053	0	2918					3058	36753	72794					5000	0	0			23228	24299	0	0										100		
46941	0	0					831	1860	41349					6359	0	0			1360	12488	0	0										0		
47247	0	0					9702	832	27128					73000	393	437			332	14494	0	0										0		
47500	0	0					3635	0	49946					83541	0	0			0	5566	0	0										6981		
48374	0	0					10493	0	100929					49000	0	0			0	27992	0	325										457		
48440	0	0					1194	0	56065					11150	0	0			0	15506	0	0										0		
49054	0	0					1872	0	25104					34628	0	0			0	976	0	0										0		
49148	0	0					284	0	55173					0	0	0			0	14191	0	0										0		
49241	0	0					13149	28864	112951					0	0	0			8799	40208	0	0										0		
49652	0	0					1935	0	37195					16268	0	0			0	17267	0	0										0		
49858	0	0					168	0	16869					0	0	0			0	1976	0	0										0		
49951	0	0					986	0	18260					10709	0	0			0	968	0	0										0		
50461	0	0					0	0	0					0	0	0			0	0	0	0										0		
51253	0	0					6584	0	29327					94000	0	0			0	0	0	0										0		
51356	0	0					0	0	18044					0	0	0			0	0	0	0										0		
51459	0	34140					3771	0	141829					0	0	0			0	29466	0	0										66		
51842	0	917					1846	0	71347					11000	0	0			0	31038	0	0										12		
52719	0	0					6402	0	0					0	0	0			0	0	0	0										0		
52951	0	0					2562	0	166793					31500	0	0			0	75059	0	0										0		
53051	0	0					5	32326	0					0	0	0			3029	0	0	0										0		
54058	0	12074					1507	0	109086					5000	0	0			0	25559	0	0										0		
54973	59965	96061					112163	1101853	755884					0	0	0			0	13206	0	0										0		
55336	0	22734					1860	0	109983					2330	0	0			0	23728	0	0										0		
55635	0	3026					177	0	6829					0	0	0			0	0	0	0										0		
55970	0	47768					367	0	49536					200	0	0			0	0	0	0										0		
56258	0	0					693	0	130954					10975	0	0			0	58403	0	0										0		
56351	0	0					11405	260552	358393					0	0	0			163506	186016	0	0										0		
56548	0	0					6844	0	110840					154000	0	0			0	0	0	0										69		
56717	0	0					4131	0	228309					42805	0	0			0	64305	0	0										0		
57451	0	64741					1675	0	261844					15000	0	0			0	94874	0	5103										1368		
58225	0	15162					481	0	98067					51	0	0			0	22772	0	0										0		
58243	0	1000					38465	795201	238333					188312	0	0			76481	45318	0	0										0		
58355	0	0					125	51	0					0	0	0			51	0	0	0										0		
58551	0	0					403	0	84146					0	0	0			0	42001	0	0										0		
58636	0	0					846	0	121966					0	0	0			0	40818	0	0										0		
58757	0	26700					1732	0	60864					15000	0	0			0	19167	0	0										79		
58971	119808	0					17747	2195115	159426					250000	0	0			1253	2539	0	328017										0		
59316	0	20857					6623	0	408782					74133	0	0			0	92500	0	0										0		
59352	0	0					385	0	155224					0	0	0			0	37503	0	0										0		
59370	0	0					353	1143	18036					0	0	0			0	4959	0	0										31		
59754	0	0					1474	0	441					10000	0	0			0	441	0	0										0		
60143	0	1415000	0	0	0	0	862000	0	14873000	281000	79366000	0	72409000	3858000	345000	457000	0	0	0	0	0	0	0	10321000	0	1954000	0	1183000	0	0	0	47000	0	
60330	0	0					1304	0	212664					12	0	0			0	35620	23600	0										0		
60545	0	4808					610	0	70962					7000	0	0			0	44973	0	0										0		
60554	0	4791					188	0	6920					1078	0	0			0	0	0	0										71		
60648	0	2880					712	1355	115203					0	0	0			1355	49360	0	0										0		
61122	0	0					4630	171463	92488					65000	0	0			4390	8525	0	17661										1029		
61355	0	64623					6580	225416	154884					25000	0	0			87859	18081	0	7099										0		
61757	10053	24070					1218	15444	28017					0	0	0			1463	670	0	0										0		
61832	0	0					1396	0	174945					0	0	0			0	93035	0	0										0		
61953	0	2881					277	12920	30033					0	0	0			12403	466	0	0										0		
62044	0	0					286	0	2192					0	0	0			0	0	0	0										0		
62110	0	0					126	0	0					0	0	0			0	0	0	0										9396		
62147	0	0					747	500	29918					9000	0	0			0	18232	0	0										0		
63050	0	0					1409	0	78037					25000	0	0			0	47502	0	0										0		
63069	4521871	8830508	0	0	0	0	440102	8571106	10787871	0	98429760	0	86043484	4924659	335479	0	383323	0	253420	0	0	0	290255	135188	2898237	0	224000	0	0	1822175	0	236060	0	
63201	0	2921					566	16956	62582					2219	0	0			12900	27774	0	0										0		
63573	0	0					2298	0	69503					11954	0	0			0	0	0	0										0		
63733	0	4983					6786	0	399189					121793	0	0			0	79282	0	0										71		
64552	0	0					2214	0	26395					0	0	0			0	714	0	0										0		
64730	0	0					234	0	107985					0	0	0			0	560	0	0										0		
65205	0	0					1477	0	103113					16100	0	0			0	0	0	0										452		
65559	0	11959					572	0	351690					0	0	0			0	73716	0	0										0		
65858	0	0					2456	1250	592627					50018	0	0			1250	106621	0	0										281		
66154	0	0					1250	0	30709					1955	0	0			0	11106	0	0										0		
66275	0	22923					2396	0	63604					40000	0	0			0	4187	0	0										83		
67142	0	0					2625	0	47862					20000	0	0			0	31781	0	0										0		
67151	0	0					661	3028	217224					8500	0	0			0	67763	0	0										0		
67209	0	0					5375	0	168623					108895	4269	4269			0	4104	0	0										17854		
67254	0	0					0	0	0					0	0	0			0	0	0	0										0		
67656	0	13057					877	108385	195969					0	0	0			46235	60287	0	0										0		
68671	0	0					113	0	0					0	0	0			0	0	0	0										0		
68756	0	109363					1751	24738	213572					538	0	0			0	18637	0	0										0		
68831	0	0					1103	0	47646					15500	0	0			0	13588	0	0										0		
69333	0	0					3784	180848	216984					0	0	0			86343	80154	0	54604										0		
69678	0	31596					1012	254	181282					0	0	0			254	82904	0	0										66		
70218	0	0					679	0	1978					13000	0	0			0	0	0	0										0		
70638	0	0					1667	0	45122					25816	0	0			0	44533	0	0										0		
70955	0	0					0	0	0					0	0	0			0	0	0	0										0		
71073	0	0					2835	750	15176					49026	0	0			0	725	0	0										0		
71457	0	9755					5284	106	130856					42000	0	0			106	39272	0	24345										0		
71859	0	0					149	0	3635					0	0	0			0	1339	0	0										0		
72258	0	0					580	304660	221600					0	0	0			288521	0	0	0										0		
72351	0	0					120	0	31211					0	0	0			0	12558	0	0										0		
72454	0	15783					110	19276	15783					0	0	0			19276	0	0	0										31		
72678	0	0					2173	0	139842					36733	0	0			0	90257	0	9325										75		
73116	0	0					544	0	133376					3000	0	0			0	5963	0	0										0		
73152	0	0					561	0	56054					8000	0	0			0	31974	0	0										0		
73554	0	0					3630	6131	70231					60356	0	0			2631	1695	0	0										0		
73956	0	1000					223	0	19126					0	0	0			0	4532	0	0										0		
74056	0	10057					1133	0	48604					23837	0	0			0	250	0	0										0		
74140	0	197533					8313	0	497790					45000	0	0			0	69205	0	68000										0		
74403	0	3965					3560	0	125598					63238	0	0			0	0	0	53177										0		
74449	5215	0					25	5715	0					0	0	0			0	0	0	0										0		
75259	0	0					1273	0	20865					23000	0	0			0	4970	0	0										0		
75446	0	0					4003	0	156348					12578	0	0			0	107468	0	0										0		
75455	0	28277					0	0	28732					0	0	0			0	0	0	0										0		
75633																																		
75651	0	946					612	0	26567					1700	0	0			0	3533	0	0										2751		
76153	985	0					722	4732	999					8000	0	0			500	0	0	0										0		
76443	0	0					214	0	32427					1766	0	0			0	7653	0	0										0		
76854	0	0					1661	0	73553					25344	0	0			0	36548	0	0										0		
77150	0	4069					91	0	12127					734	0	0			0	0	0	0										0		
77253	0	0					1748	7110	196595					1930	0	0			7110	106732	0	0										0		
77422	0	0					711	0	19022					6000	0	0			0	3444	0	0										0		
77851	0	0					21879	532051	268454					1340	0	0			178401	0	0	0										0		
78157	496	0					100	12639	4920					0	0	0			1489	1015	0	0										0		
78241	0	0					299	0	14865					0	0	0			0	3636	0	0										0		
78559	0	11661					117	0	12252					0	0	0			0	0	0	0										7		
79042	0	0					3057	0	77742					40647	0	0			0	32895	0	0										0		
79127	0	1474					334	0	21275					1617	0	0			0	7876	0	0										0		
79145	0	0					2334	0	17687					33185	0	0			0	2667	0	0										0		
79257	0	583					0	1854	9623					4357	0	0			1154	0	0	0										673		
79855	0	13340					481	660	13888					10000	0	0			660	540	0	330										0		
80150	0	0					415	0	196303					69	0	0			0	102733	0	0										0		
80374	0	11615					420	0	99983					0	0	0			0	20693	0	0										0		
80431	0	5914					97	0	17338					0	0	0			0	1511	0	0										0		
81175	0	19960					1942	2	36973					8551	88	0			0	8013	0	0										0		
82033	0	0					1917	0	62054					25000	0	0			0	11553	0	0										0		
82257	0	1769					92	0	17976					0	0	0			0	1851	0	0										6		
82350	0	0					71	0	21735					1	0	0			0	3710	0	0										0		
83375	0	0					1524	151696	178272					0	1739	0			151696	49518	0	0										1609		
83638	0	0	0	1669	0	0	57138	0	2023883	14019	9743904	0	8779556	711984	0	0	0	45455	0	0	0	0	0	1772002	0	204757	0	0	0	0	0	2548	2932	
83834	0	0					1506	1675	49727					6811	0	0			0	24221	0	0										0		
83852	0	1452					24	0	18341					0	0	0			0	8303	0	0										0		
83955	0	0					296	4136	42878					4197	0	0			1705	14492	0	0										0		
84541	0	9850					11435	138439	419212					2344	0	0			138439	45928	0	0										0		
85052	0	0					487	8286	103442					0	0	0			0	26517	0	1450										0		
85472	0	43385					136592	882378	1231827					1474408	0	0			165267	83136	0	54435										0		
85931	0	0					1713	25438	61349					5000	0	0			22175	17295	0	0										0		
86349	0	23335					1562	0	140645					0	0	0			0	55279	0	0										0		
