"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1545	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDJ451	RCFDJ454	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCFDPV05	RCFDPV06	RCFDPV07	RCFDPV08	RCFDPV09	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLE75	RCONLG24	RCONLG25	RCONPR04	RCONPR05	RCONPR06	RCONPV05	RCONPV06	RCONPV07	RCONPV08	RCONPV09	RIADG377	
23456																																																																				0	22198	4275		17112			20042	16487		222	298030	25	0	0	90166	14712	4415	65789	5070	5516	30900	39533	8262	884	34861	45074	57021	58966	9266	946				1316	29			14640	16530	39602	22767			0			0	0														51519	0	0	0	0		0	138	0	5309	0	0	0	0	0			0	0	0	0	0	12510	0	619	CONF	CONF	0	0	0							
23504																																																																				0	0	3424522	0	0	984896	0	984896	32485		30969	10760197	-663	0	170808	1005307	0	877467	1613439	13286	89400	197906	328826	290416	83254	3826236	1107706	2504140	1327995	907615	30442	0	0	0	0	369	0		0	110025	1614431	2933011	0	0	0			0	150	0	0	0	0	0	0	0	0	0	0	0	0		3460358				72379	49966	572750	49966	0	0	0	0	46370	0	9817	16192	0	0	0	0	0	0	803	16192	6867	CONF	CONF	0	0	0	232825	228604	111321	0	0		
23643																																																																				0	18067	7502		1503			65399	325		164	249752	0	0	0	50835	2082	228	73092	3898	3686	20231	17504	2917	0	23186	42322	67688	42663	12244	3719				0	12			4426	14804	33378	22565			0			0	297														74331	0	0	0	2900		0	96	0	4523	0	1997	0	126	0			38	0	0	0	0	24071	739	0	CONF	CONF	0	0	0							
23755																																																																				0	785	7017		13			21233	15912		5142	219696	0	0	0	50202	915	40923	9542	658	3132	3859	2956	10640	28628	26692	19201	28346	43420	50935	758				0	94			5812	9519	70525	23592			0			31	0														162264	0	0	0	968		0	2515	0	1645	0	0	0	937	0			0	0	0	0	0	4775	0	0	CONF	CONF	0	0	0							
24378																																																																				0	0	94		0			3544	2547		0	55277	0	0	0	38568	177	1454	4596	544	402	217	526	8181	28516	2741	909	1578	3470	6609	1402				0	3			514	541	1016	1748			0			162	0														38576	0	0	0	162		0	1	0	1340	0	0	0	0	0			0	0		0	0	5184	0	0	CONF	CONF	0	0	0							
24659																																																																				0	9711	3502		10301			8576	0		0	57767	0	0	0	11922	621	0	16652	230	1617	2774	4304	1283	1605	14439	3471	9423	10330	7531	10				16	0			0	0	3738	5512			0			0	0													0	0	0	0	0	0		0	2	0	2311	0	0	0	0	0			0	0	0	0	0	1555	0	0	CONF	CONF	0	0	0						0	
24949																																																																				0	208	22408		56			9331	7518		10520	302045	0	0	0	42264	6248	23938	35474	2080	6660	25333	5594	526	2011	53495	38813	91579	68952	6942	0				210	24			1468	11909	42769	143641			0			0	0														75720	0	0	0	0		0	34	0	1338	0	0	0	0	0			0	0	0	0	0	2099	0	916	CONF	CONF	0	0	0							
25357																																																																				0	66460	8804		52777			11791	4295		5074	467227	0	5	0	93040	0	19745	119927	15302	21332	39719	5718	7861	1129	153093	54699	89454	22883	23468	8246				0	0			15624	53331	71587	74915			0			0	1078													0	92295	0	0	0	0		0	253	0	4628	0	0	0	0	0			0	0	0	0	0	4643	0	0	CONF	CONF	0	0	0						0	
25647																																																																				0	15	33873	0	0	23266	0	23266	6537		0	287723	0	0	0	51748	1597	1182	90404	9909	9381	22718	8763	0	0	51595	33520	89487	45644	8030	0	0	0	0	0	2941	0		0	18693	46490	96439	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227499				0	55	0	55	0	94	0	0	0	0	0	0	0	0	0	0	0	0	5975	0	0	CONF	CONF	0	0	0						0	
26765																																																																				0	55576	80752		320			1083184	23351		358	3798777	0	0	125155	547135	2374	317242	2206091	47569	21302	54474	92704	159148	171530	1644660	492560	534740	332630	207011	13513				0	0			46148	447274	470820	945984			0			386	958													0	3626931	0	0	0	22011		56470	25733	0	656	0	10939	0	0	5549			0	0	0	0	0	12642	5137	658	CONF	CONF	0	0	0						0	
