"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
	Allowance for credit losses on other	Allowance for credit losses on other	ACL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ACL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW CR LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	Provisions for credit losses on off-	Estimated amount of expected recover	
37		0	696	-100	2	0	822	28	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
242		0	170	80	42	0	182	134	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
279		0	3440	736	7	0	3222	525	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95		
354		0	880	1084	22	0	712	938	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-34		
457		0	1059	291	11	0	964	207	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
505		0	8749	630	18	0	8546	445	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1155		0	6980	225	15	0	6927	187	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1351		0	1450	367	136	0	1250	303	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1454		0	7645	1426	101	0	6234	116	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1669		0	5810	811	96	0	5483	580	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1856		0	433	51	0	0	387	5	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10		
2161		0	3215	445	496	0	2673	399	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173		
2732		0	5748	480	0	0	5268	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30		
2750		0	536	24	0	0	512	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3252		0	3382	250	427	0	3480	775	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3720		0	2100	274	22	0	1810	6	0				30	0	0	0	0	30	0	0	0	0	0	0	0	0	0	10		
