rssd_id,total_equity_capital,total_equity_capital_usd,bank_name
362043,4153.0,4153000.0,"EXCHANGE STATE BANK, THE"
821559,4150.0,4150000.0,"MINNESOTA FIRST CREDIT AND SAVINGS, INCORPORATED"
292234,4117.0,4117000.0,FIRST FINANCIAL BANK
610539,4083.0,4083000.0,"BANK OF EDISON, THE"
902645,3999.0,3999000.0,DEFIANCE STATE BANK
646471,3969.0,3969000.0,HUNTINGDON SAVINGS BANK
856159,3951.0,3951000.0,SAINT MARTIN NATIONAL BANK
823553,3934.0,3934000.0,"BANK OF DENTON, THE"
842853,3929.0,3929000.0,UNITED MINNESOTA BANK
496957,3928.0,3928000.0,"FARMERS STATE BANK OF TURTON, THE"
839817,3908.0,3908000.0,FARMERS & TRADERS BANK OF CAMPTON
84046,3847.0,3847000.0,FIRST TRUST & SAVINGS BANK
306056,3837.0,3837000.0,"FIRST NATIONAL BANK OF FLEMING, THE"
481748,3820.0,3820000.0,SLOAN STATE BANK
768476,3802.0,3802000.0,CONNECT COMMUNITY BANK
983055,3791.0,3791000.0,FIRST BANK OF BANCROFT
74449,3778.0,3778000.0,FIRST NATIONAL BANK IN TIGERTON
921655,3763.0,3763000.0,COTTONWOOD VALLEY BANK
2960788,3756.0,3756000.0,"WHEATON COLLEGE TRUST COMPANY, NATIONAL ASSOCIATION"
175458,3741.0,3741000.0,BANK OF MEAD
912756,3738.0,3738000.0,STATE BANK OF LAKE PARK
274052,3723.0,3723000.0,"FARMERS AND MERCHANTS BANK OF MOUND CITY, KANSAS"
879550,3697.0,3697000.0,BANK OF NEW CAMBRIA
472148,3692.0,3692000.0,FIRST STATE BANK OF VAN ORIN
379050,3691.0,3691000.0,STATE BANK OF EASTON
278751,3673.0,3673000.0,WESTERN NATIONAL BANK OF CASS LAKE
3153233,3671.0,3671000.0,METROPOLITAN CAPITAL BANK & TRUST
771047,3668.0,3668000.0,CITIZENS STATE BANK OF MILFORD
885579,3655.0,3655000.0,TIOGA-FRANKLIN SAVINGS BANK
2490285,3625.0,3625000.0,FIRST NATIONAL BANK
2502825,3625.0,3625000.0,DSRM NATIONAL BANK
235558,3595.0,3595000.0,CITIZENS STATE BANK
542854,3573.0,3573000.0,FARMERS STATE BANK
410159,3567.0,3567000.0,ANDES STATE BANK
846132,3556.0,3556000.0,DEWEY BANK
816751,3555.0,3555000.0,KINDRED STATE BANK
407850,3550.0,3550000.0,FARMERS STATE BANK
675341,3539.0,3539000.0,AMERICAN TRUST & SAVINGS BANK
603559,3504.0,3504000.0,FARMERS STATE BANK
375379,3498.0,3498000.0,NORTH SIDE FEDERAL SAVINGS AND LOAN ASSOCIATION OF CHICAGO
373272,3490.0,3490000.0,COMPASS SAVINGS BANK
691042,3475.0,3475000.0,"MERCHANTS & PLANTERS BANK, THE"
70955,3460.0,3460000.0,NEBRASKA STATE BANK
472250,3448.0,3448000.0,BOELUS STATE BANK
522034,3429.0,3429000.0,"COMMERCIAL BANK OF OZARK, THE"
981453,3390.0,3390000.0,FARMERS STATE BANK OF HOFFMAN
363442,3367.0,3367000.0,SAINTE MARIE STATE BANK
92902,3271.0,3271000.0,BANK OF CATTARAUGUS
994770,3266.0,3266000.0,"MILFORD BUILDING AND LOAN ASSOCIATION, SB"
104542,3250.0,3250000.0,MARSEILLES BANK
571957,3247.0,3247000.0,"STATE EXCHANGE BANK, THE"
33370,3228.0,3228000.0,"HOME SAVINGS BANK, FSB"
630041,3169.0,3169000.0,"FIRST STATE BANK OF DONGOLA, THE"
90047,3160.0,3160000.0,PALO SAVINGS BANK
783349,3147.0,3147000.0,STATE BANK OF NAUVOO
480330,3127.0,3127000.0,"LEMONT NATIONAL BANK, THE"
425050,3127.0,3127000.0,"FARMERS AND MERCHANTS STATE BANK, THE"
