rssd_id,total_equity_capital,total_equity_capital_usd,bank_name
852218,335936000.0,335936000000.0,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
480228,246250000.0,246250000000.0,"BANK OF AMERICA, NATIONAL ASSOCIATION"
476810,176530000.0,176530000000.0,"CITIBANK, N.A."
451965,173751000.0,173751000000.0,"WELLS FARGO BANK, NATIONAL ASSOCIATION"
112837,97584212.0,97584212000.0,"CAPITAL ONE, NATIONAL ASSOCIATION"
504713,67960628.0,67960628000.0,U.S. BANK NATIONAL ASSOCIATION
2182786,65331000.0,65331000000.0,GOLDMAN SACHS BANK USA
852320,63223000.0,63223000000.0,TRUIST BANK
817824,59441103.0,59441103000.0,"PNC BANK, NATIONAL ASSOCIATION"
497404,49728084.0,49728084000.0,"TD BANK, NATIONAL ASSOCIATION"
75633,37358799.0,37358799000.0,BMO BANK NATIONAL ASSOCIATION
541101,29822000.0,29822000000.0,"BANK OF NEW YORK MELLON, THE"
35301,28919000.0,28919000000.0,STATE STREET BANK AND TRUST COMPANY
501105,28333192.0,28333192000.0,MANUFACTURERS AND TRADERS TRUST COMPANY
3303298,26838113.0,26838113000.0,"CITIZENS BANK, NATIONAL ASSOCIATION"
1456501,25576000.0,25576000000.0,"MORGAN STANLEY BANK, N.A."
723112,24648000.0,24648000000.0,"FIFTH THIRD BANK, NATIONAL ASSOCIATION"
12311,24293048.0,24293048000.0,"HUNTINGTON NATIONAL BANK, THE"
491224,23371000.0,23371000000.0,FIRST-CITIZENS BANK & TRUST COMPANY
280110,19074946.0,19074946000.0,KEYBANK NATIONAL ASSOCIATION
1394676,19010556.0,19010556000.0,AMERICAN EXPRESS NATIONAL BANK
3150447,18658000.0,18658000000.0,"CHARLES SCHWAB BANK, SSB"
233031,18071000.0,18071000000.0,REGIONS BANK
2489805,17721000.0,17721000000.0,"MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION"
413208,16200640.0,16200640000.0,"HSBC BANK USA, NATIONAL ASSOCIATION"
3284070,15277000.0,15277000000.0,ALLY BANK
1216022,14552000.0,14552000000.0,SYNCHRONY BANK
722777,14170802.0,14170802000.0,"SANTANDER BANK, NATIONAL ASSOCIATION"
63069,12386276.0,12386276000.0,CITY NATIONAL BANK
210434,11411586.0,11411586000.0,"NORTHERN TRUST COMPANY, THE"
1842065,11175461.0,11175461000.0,CIBC BANK USA
214807,9808000.0,9808000000.0,DEUTSCHE BANK TRUST COMPANY AMERICAS
761806,9774130.0,9774130000.0,"WEBSTER BANK, NATIONAL ASSOCIATION"
3212149,9741941.0,9741941000.0,UBS BANK USA
1929247,9669919.0,9669919000.0,"SOUTHSTATE BANK, N.A."
485559,9188421.0,9188421000.0,FIRST HORIZON BANK
229801,8185196.0,8185196000.0,VALLEY NATIONAL BANK
197478,8151065.0,8151065000.0,EAST WEST BANK
694904,8144856.0,8144856000.0,"FLAGSTAR BANK, NATIONAL ASSOCIATION"
143662,8141845.0,8141845000.0,COLUMBIA BANK
208244,8112742.0,8112742000.0,OLD NATIONAL BANK
3138146,7815796.0,7815796000.0,WESTERN ALLIANCE BANK
936855,7527586.0,7527586000.0,"UMB BANK, NATIONAL ASSOCIATION"
664756,7369747.0,7369747000.0,PROSPERITY BANK
60143,7238000.0,7238000000.0,COMERICA BANK
276579,7179703.0,7179703000.0,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION"
2925666,6929788.0,6929788000.0,PINNACLE BANK
379920,6711049.0,6711049000.0,FIRST NATIONAL BANK OF PENNSYLVANIA
2980209,6403000.0,6403000000.0,BARCLAYS BANK DELAWARE
606046,6243661.0,6243661000.0,CADENCE BANK
107244,6129851.0,6129851000.0,BANK OZK
962966,6030419.0,6030419000.0,"SOFI BANK, NATIONAL ASSOCIATION"
395238,5825211.0,5825211000.0,SYNOVUS BANK
693224,5716082.0,5716082000.0,ATLANTIC UNION BANK
365325,5577829.0,5577829000.0,UNITED BANK
339858,5495781.0,5495781000.0,"BOKF, NATIONAL ASSOCIATION"
619877,5260000.0,5260000000.0,USAA FEDERAL SAVINGS BANK
917742,4800581.0,4800581000.0,"ASSOCIATED BANK, NATIONAL ASSOCIATION"
682563,4541125.0,4541125000.0,FROST BANK
463735,4341452.0,4341452000.0,HANCOCK WHITNEY BANK
2634191,4199764.0,4199764000.0,GLACIER BANK
645625,4160466.0,4160466000.0,"WESBANCO BANK, INC."
128904,4143226.0,4143226000.0,EASTERN BANK
2735146,4100958.0,4100958000.0,"EVERBANK, NATIONAL ASSOCIATION"
764030,4070169.0,4070169000.0,AMERIS BANK
749242,4049369.0,4049369000.0,RENASANT BANK
456045,3997010.0,3997010000.0,CENTENNIAL BANK
595270,3903444.0,3903444000.0,MIDFIRST BANK
613008,3875657.0,3875657000.0,ROCKLAND TRUST COMPANY
2121196,3863507.0,3863507000.0,"TD BANK USA, NATIONAL ASSOCIATION"
494261,3862210.0,3862210000.0,BANC OF CALIFORNIA
940311,3778000.0,3778000000.0,BANCO POPULAR DE PUERTO RICO
527954,3749154.0,3749154000.0,FIRST NATIONAL BANK OF OMAHA
1444021,3681564.0,3681564000.0,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION"
2618780,3555602.0,3555602000.0,TEXAS CAPITAL BANK
474919,3530379.0,3530379000.0,"FULTON BANK, NATIONAL ASSOCIATION"
934329,3496000.0,3496000000.0,"BNY MELLON, NATIONAL ASSOCIATION"
1017939,3391455.0,3391455000.0,UNITED COMMUNITY BANK
659855,3371314.0,3371314000.0,FIRST INTERSTATE BANK
601050,3280934.0,3280934000.0,COMMERCE BANK
663245,3197586.0,3197586000.0,SIMMONS BANK
3938186,3166950.0,3166950000.0,"BANKUNITED, NATIONAL ASSOCIATION"
2193616,3166096.0,3166096000.0,RAYMOND JAMES BANK
204004,3165569.0,3165569000.0,PROVIDENT BANK
936462,3062588.0,3062588000.0,MECHANICS BANK
656377,3055489.0,3055489000.0,WAFD BANK
34537,3036739.0,3036739000.0,SEACOAST NATIONAL BANK
595869,3013158.0,3013158000.0,CATHAY BANK
3202702,2955000.0,2955000000.0,"OPTUM BANK, INC."
814430,2907244.0,2907244000.0,CITY NATIONAL BANK OF FLORIDA
3394278,2889845.0,2889845000.0,SALLIE MAE BANK
3284397,2787886.0,2787886000.0,BEAL BANK USA
980661,2757205.0,2757205000.0,FIRST HAWAIIAN BANK
165628,2736506.0,2736506000.0,FIRST FINANCIAL BANK
437914,2678024.0,2678024000.0,"WILMINGTON SAVINGS FUND SOCIETY, FSB"
2917317,2604036.0,2604036000.0,AXOS BANK
2567123,2551032.0,2551032000.0,"U.S. BANK TRUST COMPANY, NATIONAL ASSOCIATION"
782306,2508972.0,2508972000.0,BEACON BANK & TRUST
416245,2483450.0,2483450000.0,BUSEY BANK
17147,2469036.0,2469036000.0,FIRST MERCHANTS BANK
2797724,2422066.0,2422066000.0,TOWNEBANK
671464,2366522.0,2366522000.0,BANK OF HOPE
311845,2296768.0,2296768000.0,ARVEST BANK
933966,2270968.0,2270968000.0,"CITIZENS BUSINESS BANK, NATIONAL ASSOCIATION"
963945,2235386.0,2235386000.0,MERCHANTS BANK OF INDIANA
342634,2215483.0,2215483000.0,TRUSTMARK BANK
2354985,2155427.0,2155427000.0,CUSTOMERS BANK
2736291,2091633.0,2091633000.0,POPULAR BANK
1190476,2006846.0,2006846000.0,ENTERPRISE BANK & TRUST
1893049,1995000.0,1995000000.0,"CHARLES SCHWAB PREMIER BANK, SSB"
436159,1975296.0,1975296000.0,FIRSTBANK
1001152,1971227.0,1971227000.0,INTERNATIONAL BANK OF COMMERCE
1002878,1962200.0,1962200000.0,NORTHWEST BANK
352772,1951461.0,1951461000.0,BANNER BANK
510871,1898022.0,1898022000.0,FIRSTBANK PUERTO RICO
1443266,1886000.0,1886000000.0,"BANK OF AMERICA CALIFORNIA, NATIONAL ASSOCIATION"
3348888,1878159.0,1878159000.0,SERVISFIRST BANK
2615190,1878028.0,1878028000.0,MERRICK BANK
853952,1874332.0,1874332000.0,"CENTRAL TRUST BANK, THE"
288853,1860280.0,1860280000.0,FIRSTBANK
702117,1848419.0,1848419000.0,"NBT BANK, NATIONAL ASSOCIATION"
3224580,1770490.0,1770490000.0,COMENITY CAPITAL BANK
795968,1751664.0,1751664000.0,BANK OF HAWAII
470050,1741248.0,1741248000.0,FIRST FINANCIAL BANK
2850722,1739304.0,1739304000.0,BMW BANK OF NORTH AMERICA
85472,1737430.0,1737430000.0,"OCEANFIRST BANK, NATIONAL ASSOCIATION"
3317932,1711901.0,1711901000.0,CONNECTONE BANK
216922,1707303.0,1707303000.0,FIRST BANK
915878,1702152.0,1702152000.0,THIRD FEDERAL SAVINGS & LOAN ASSOCIATION OF CLEVELAND
23504,1645437.0,1645437000.0,DIME COMMUNITY BANK
3579589,1636813.0,1636813000.0,STELLAR BANK
202907,1615176.0,1615176000.0,"COMMUNITY BANK, NATIONAL ASSOCIATION"
3475083,1613294.0,1613294000.0,TRISTATE CAPITAL BANK
871769,1606287.0,1606287000.0,FARMERS AND MERCHANTS BANK OF LONG BEACH
1225761,1603560.0,1603560000.0,WELLS FARGO NATIONAL BANK WEST
3470239,1581355.0,1581355000.0,"AMERIPRISE BANK, FSB"
249612,1577445.0,1577445000.0,APPLE BANK
509950,1558770.0,1558770000.0,FIRST UNITED BANK AND TRUST COMPANY
42420,1510142.0,1510142000.0,FIRST COMMONWEALTH BANK
637451,1505737.0,1505737000.0,PLAINSCAPITAL BANK
3287660,1469328.0,1469328000.0,TOYOTA FINANCIAL SAVINGS BANK
936426,1461635.0,1461635000.0,S & T BANK
320119,1429190.0,1429190000.0,ISRAEL DISCOUNT BANK OF NEW YORK
929352,1412593.0,1412593000.0,BELL BANK
1386251,1366130.0,1366130000.0,BANCFIRST
100562,1362147.0,1362147000.0,TRI COUNTIES BANK
129732,1354170.0,1354170000.0,BYLINE BANK
229913,1344023.0,1344023000.0,MIZUHO BANK (USA)
3076248,1334746.0,1334746000.0,STIFEL BANK AND TRUST
245276,1331724.0,1331724000.0,ORIENTAL BANK
918918,1329866.0,1329866000.0,SAFRA NATIONAL BANK OF NEW YORK
264772,1305655.0,1305655000.0,"LENDINGCLUB BANK, NATIONAL ASSOCIATION"
961624,1280006.0,1280006000.0,"DOLLAR BANK, FEDERAL SAVINGS BANK"
688079,1258897.0,1258897000.0,"WELLS FARGO TRUST COMPANY, NATIONAL ASSOCIATION"
4210227,1246458.0,1246458000.0,NBH BANK
991340,1218532.0,1218532000.0,1ST SOURCE BANK
652874,1207876.0,1207876000.0,NEXBANK
137915,1206231.0,1206231000.0,EMIGRANT BANK
2941068,1190618.0,1190618000.0,NICOLET NATIONAL BANK
673440,1189776.0,1189776000.0,FIRST SECURITY BANK
577128,1184257.0,1184257000.0,PEOPLES BANK
1176881,1183716.0,1183716000.0,MONET BANK
489623,1181597.0,1181597000.0,"PARK NATIONAL BANK, THE"
587800,1172614.0,1172614000.0,LIBERTY BANK
2652092,1149492.0,1149492000.0,EAGLEBANK
3650808,1137648.0,1137648000.0,LIVE OAK BANKING COMPANY
667757,1130219.0,1130219000.0,ORIGIN BANK
