rssd_id,ndfi_loans_total,ndfi_loans_total_usd,bank_name
852218,187155000.0,187155000000.0,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
451965,164785000.0,164785000000.0,"WELLS FARGO BANK, NATIONAL ASSOCIATION"
480228,151343000.0,151343000000.0,"BANK OF AMERICA, NATIONAL ASSOCIATION"
2182786,107264000.0,107264000000.0,GOLDMAN SACHS BANK USA
476810,71894000.0,71894000000.0,"CITIBANK, N.A."
1456501,68423000.0,68423000000.0,"MORGAN STANLEY BANK, N.A."
817824,61878443.0,61878443000.0,"PNC BANK, NATIONAL ASSOCIATION"
504713,45063016.0,45063016000.0,U.S. BANK NATIONAL ASSOCIATION
852320,36485000.0,36485000000.0,TRUIST BANK
112837,35923735.0,35923735000.0,"CAPITAL ONE, NATIONAL ASSOCIATION"
491224,33590000.0,33590000000.0,FIRST-CITIZENS BANK & TRUST COMPANY
35301,25476000.0,25476000000.0,STATE STREET BANK AND TRUST COMPANY
280110,18205204.0,18205204000.0,KEYBANK NATIONAL ASSOCIATION
75633,17518459.0,17518459000.0,BMO BANK NATIONAL ASSOCIATION
3303298,17343753.0,17343753000.0,"CITIZENS BANK, NATIONAL ASSOCIATION"
3138146,13577407.0,13577407000.0,WESTERN ALLIANCE BANK
2735146,13378913.0,13378913000.0,"EVERBANK, NATIONAL ASSOCIATION"
501105,11859702.0,11859702000.0,MANUFACTURERS AND TRADERS TRUST COMPANY
12311,11523007.0,11523007000.0,"HUNTINGTON NATIONAL BANK, THE"
233031,11519000.0,11519000000.0,REGIONS BANK
723112,10249000.0,10249000000.0,"FIFTH THIRD BANK, NATIONAL ASSOCIATION"
497404,9974010.0,9974010000.0,"TD BANK, NATIONAL ASSOCIATION"
2618780,8711993.0,8711993000.0,TEXAS CAPITAL BANK
2917317,8421485.0,8421485000.0,AXOS BANK
413208,8011328.0,8011328000.0,"HSBC BANK USA, NATIONAL ASSOCIATION"
485559,7776222.0,7776222000.0,FIRST HORIZON BANK
63069,7682768.0,7682768000.0,CITY NATIONAL BANK
1842065,7666168.0,7666168000.0,CIBC BANK USA
963945,6299833.0,6299833000.0,MERCHANTS BANK OF INDIANA
541101,6293000.0,6293000000.0,"BANK OF NEW YORK MELLON, THE"
197478,6150942.0,6150942000.0,EAST WEST BANK
761806,6119904.0,6119904000.0,"WEBSTER BANK, NATIONAL ASSOCIATION"
3212149,5797314.0,5797314000.0,UBS BANK USA
2354985,5746681.0,5746681000.0,CUSTOMERS BANK
2489805,5607000.0,5607000000.0,"MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION"
395238,5240648.0,5240648000.0,SYNOVUS BANK
3284070,4336000.0,4336000000.0,ALLY BANK
494261,4333899.0,4333899000.0,BANC OF CALIFORNIA
210434,4040425.0,4040425000.0,"NORTHERN TRUST COMPANY, THE"
2193616,3636118.0,3636118000.0,RAYMOND JAMES BANK
2737980,3364886.0,3364886000.0,NORTHPOINTE BANK
249612,2946586.0,2946586000.0,APPLE BANK
917742,2925734.0,2925734000.0,"ASSOCIATED BANK, NATIONAL ASSOCIATION"
60143,2672000.0,2672000000.0,COMERICA BANK
107244,2586860.0,2586860000.0,BANK OZK
694904,2368122.0,2368122000.0,"FLAGSTAR BANK, NATIONAL ASSOCIATION"
3221468,2182608.0,2182608000.0,VERITEX COMMUNITY BANK
936855,2139192.0,2139192000.0,"UMB BANK, NATIONAL ASSOCIATION"
276579,2036966.0,2036966000.0,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION"
3938186,1974368.0,1974368000.0,"BANKUNITED, NATIONAL ASSOCIATION"
652874,1837722.0,1837722000.0,NEXBANK
3187630,1797024.0,1797024000.0,FORBRIGHT BANK
664756,1668477.0,1668477000.0,PROSPERITY BANK
229913,1641721.0,1641721000.0,MIZUHO BANK (USA)
783648,1604721.0,1604721000.0,CENTIER BANK
1394676,1451279.0,1451279000.0,AMERICAN EXPRESS NATIONAL BANK
722777,1441823.0,1441823000.0,"SANTANDER BANK, NATIONAL ASSOCIATION"
3783313,1381086.0,1381086000.0,CROSS RIVER BANK
814430,1350603.0,1350603000.0,CITY NATIONAL BANK OF FLORIDA
764030,1284658.0,1284658000.0,AMERIS BANK
2925666,1246677.0,1246677000.0,PINNACLE BANK
766164,1202445.0,1202445000.0,"TBK BANK, SSB"
3475083,1151914.0,1151914000.0,TRISTATE CAPITAL BANK
3637685,908081.0,908081000.0,FIRST FOUNDATION BANK
3650808,871035.0,871035000.0,LIVE OAK BANKING COMPANY
682563,854282.0,854282000.0,FROST BANK
229801,803430.0,803430000.0,VALLEY NATIONAL BANK
606046,746169.0,746169000.0,CADENCE BANK
934329,702000.0,702000000.0,"BNY MELLON, NATIONAL ASSOCIATION"
667757,700701.0,700701000.0,ORIGIN BANK
1929247,689066.0,689066000.0,"SOUTHSTATE BANK, N.A."
671464,654345.0,654345000.0,BANK OF HOPE
316840,609992.0,609992000.0,REPUBLIC BANK & TRUST COMPANY
1190476,571920.0,571920000.0,ENTERPRISE BANK & TRUST
137915,561594.0,561594000.0,EMIGRANT BANK
2119773,543747.0,543747000.0,"HINSDALE BANK & TRUST COMPANY, NATIONAL ASSOCIATION"
412751,541017.0,541017000.0,WOODFOREST NATIONAL BANK
128904,538905.0,538905000.0,EASTERN BANK
339858,505766.0,505766000.0,"BOKF, NATIONAL ASSOCIATION"
143662,495948.0,495948000.0,COLUMBIA BANK
637451,475834.0,475834000.0,PLAINSCAPITAL BANK
379920,471790.0,471790000.0,FIRST NATIONAL BANK OF PENNSYLVANIA
663245,464143.0,464143000.0,SIMMONS BANK
662369,452683.0,452683000.0,BANK OF THE SIERRA
23504,442366.0,442366000.0,DIME COMMUNITY BANK
529958,441307.0,441307000.0,"TIB, NATIONAL ASSOCIATION"
165628,434142.0,434142000.0,FIRST FINANCIAL BANK
2239288,425901.0,425901000.0,"WINTRUST BANK, NATIONAL ASSOCIATION"
320119,423734.0,423734000.0,ISRAEL DISCOUNT BANK OF NEW YORK
437914,420830.0,420830000.0,"WILMINGTON SAVINGS FUND SOCIETY, FSB"
3150447,414000.0,414000000.0,"CHARLES SCHWAB BANK, SSB"
463735,407737.0,407737000.0,HANCOCK WHITNEY BANK
3325759,389291.0,389291000.0,PRIMIS BANK
929352,381557.0,381557000.0,BELL BANK
214807,371000.0,371000000.0,DEUTSCHE BANK TRUST COMPANY AMERICAS
940311,370000.0,370000000.0,BANCO POPULAR DE PUERTO RICO
474759,369476.0,369476000.0,"SUNFLOWER BANK, NATIONAL ASSOCIATION"
3076248,350779.0,350779000.0,STIFEL BANK AND TRUST
773247,341345.0,341345000.0,MIDLAND STATES BANK
595869,314269.0,314269000.0,CATHAY BANK
365325,309993.0,309993000.0,UNITED BANK
1917301,305493.0,305493000.0,"LAKE FOREST BANK & TRUST COMPANY, NATIONAL ASSOCIATION"
601050,295335.0,295335000.0,COMMERCE BANK
169653,294590.0,294590000.0,FIRST BANK
85472,293911.0,293911000.0,"OCEANFIRST BANK, NATIONAL ASSOCIATION"
204004,292396.0,292396000.0,PROVIDENT BANK
342634,292209.0,292209000.0,TRUSTMARK BANK
749242,275672.0,275672000.0,RENASANT BANK
2938198,272306.0,272306000.0,"NORTHBROOK BANK & TRUST COMPANY, NATIONAL ASSOCIATION"
408642,266264.0,266264000.0,BANKERS' BANK
489623,260831.0,260831000.0,"PARK NATIONAL BANK, THE"
779650,257631.0,257631000.0,CHIPPEWA VALLEY BANK
375502,252208.0,252208000.0,BANKPROV
