rssd_id,bank_name,ndfi_loans_total,ndfi_loans_total_usd
852218,,168029000.0,168029000000.0
451965,,155191000.0,155191000000.0
480228,,143604000.0,143604000000.0
2182786,,103846000.0,103846000000.0
476810,,66439000.0,66439000000.0
1456501,,64030000.0,64030000000.0
817824,,61764934.0,61764934000.0
504713,,44040403.0,44040403000.0
112837,,35352560.0,35352560000.0
852320,,34705000.0,34705000000.0
491224,,30801000.0,30801000000.0
35301,,26013000.0,26013000000.0
75633,,18020787.0,18020787000.0
280110,,17723718.0,17723718000.0
3303298,,15934871.0,15934871000.0
2735146,,13046870.0,13046870000.0
3138146,,12960728.0,12960728000.0
233031,,11527000.0,11527000000.0
501105,,10795563.0,10795563000.0
497404,,10688699.0,10688699000.0
12311,,10400871.0,10400871000.0
723112,,8736000.0,8736000000.0
2618780,,8528218.0,8528218000.0
2917317,,8317615.0,8317615000.0
413208,,8254516.0,8254516000.0
485559,,7696080.0,7696080000.0
1842065,,7654563.0,7654563000.0
63069,,7328226.0,7328226000.0
541101,,6439000.0,6439000000.0
963945,,6275400.0,6275400000.0
197478,,5999873.0,5999873000.0
761806,,5734861.0,5734861000.0
3212149,,5579092.0,5579092000.0
2489805,,5298000.0,5298000000.0
2354985,,5289124.0,5289124000.0
395238,,5001597.0,5001597000.0
3284070,,4218000.0,4218000000.0
494261,,4147312.0,4147312000.0
210434,,3480532.0,3480532000.0
2193616,,3421626.0,3421626000.0
107244,,3163310.0,3163310000.0
2737980,,2891902.0,2891902000.0
249612,,2615006.0,2615006000.0
917742,,2377040.0,2377040000.0
276579,,2244351.0,2244351000.0
60143,,2225000.0,2225000000.0
694904,,2138864.0,2138864000.0
3221468,,2135234.0,2135234000.0
652874,,2107624.0,2107624000.0
3938186,,2008677.0,2008677000.0
664756,,1703111.0,1703111000.0
3187630,,1629349.0,1629349000.0
229913,,1543633.0,1543633000.0
783648,,1498076.0,1498076000.0
2925666,,1431647.0,1431647000.0
722777,,1411351.0,1411351000.0
1394676,,1356610.0,1356610000.0
3783313,,1302264.0,1302264000.0
764030,,1249665.0,1249665000.0
766164,,1209695.0,1209695000.0
3475083,,1185445.0,1185445000.0
814430,,997124.0,997124000.0
3637685,,919048.0,919048000.0
667757,,835277.0,835277000.0
229801,,828434.0,828434000.0
682563,,815855.0,815855000.0
3650808,,732175.0,732175000.0
606046,,717624.0,717624000.0
934329,,702000.0,702000000.0
316840,,672026.0,672026000.0
671464,,627328.0,627328000.0
137915,,620360.0,620360000.0
1929247,,616541.0,616541000.0
412751,,545678.0,545678000.0
339858,,534968.0,534968000.0
165628,,517660.0,517660000.0
637451,,509211.0,509211000.0
128904,,502112.0,502112000.0
2119773,,483040.0,483040000.0
437914,,463344.0,463344000.0
463735,,455584.0,455584000.0
529958,,454895.0,454895000.0
379920,,450675.0,450675000.0
3150447,,419000.0,419000000.0
320119,,410548.0,410548000.0
143662,,407898.0,407898000.0
365325,,404982.0,404982000.0
662369,,401896.0,401896000.0
23504,,395018.0,395018000.0
929352,,368387.0,368387000.0
663245,,344110.0,344110000.0
3076248,,323842.0,323842000.0
773247,,315822.0,315822000.0
595869,,295672.0,295672000.0
489623,,292999.0,292999000.0
375502,,284154.0,284154000.0
749242,,280207.0,280207000.0
169653,,268618.0,268618000.0
129732,,264738.0,264738000.0
601050,,262825.0,262825000.0
342634,,261858.0,261858000.0
85472,,256228.0,256228000.0
408642,,251689.0,251689000.0
3325759,,248773.0,248773000.0
779650,,247164.0,247164000.0
693224,,244508.0,244508000.0
204004,,240134.0,240134000.0
940311,,233000.0,233000000.0
510871,,231483.0,231483000.0
384278,,224472.0,224472000.0
3579589,,203534.0,203534000.0
