rssd_id,total_equity_capital,total_equity_capital_usd,bank_name
852218,331953000.0,331953000000.0,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
480228,251567000.0,251567000000.0,"BANK OF AMERICA, NATIONAL ASSOCIATION"
476810,177068000.0,177068000000.0,"CITIBANK, N.A."
451965,172663000.0,172663000000.0,"WELLS FARGO BANK, NATIONAL ASSOCIATION"
112837,97868410.0,97868410000.0,"CAPITAL ONE, NATIONAL ASSOCIATION"
504713,66797435.0,66797435000.0,U.S. BANK NATIONAL ASSOCIATION
2182786,65503000.0,65503000000.0,GOLDMAN SACHS BANK USA
852320,62581000.0,62581000000.0,TRUIST BANK
817824,57910433.0,57910433000.0,"PNC BANK, NATIONAL ASSOCIATION"
497404,49233714.0,49233714000.0,"TD BANK, NATIONAL ASSOCIATION"
75633,36775634.0,36775634000.0,BMO BANK NATIONAL ASSOCIATION
541101,29259000.0,29259000000.0,"BANK OF NEW YORK MELLON, THE"
35301,28896000.0,28896000000.0,STATE STREET BANK AND TRUST COMPANY
501105,28262985.0,28262985000.0,MANUFACTURERS AND TRADERS TRUST COMPANY
3303298,26409305.0,26409305000.0,"CITIZENS BANK, NATIONAL ASSOCIATION"
1456501,25985000.0,25985000000.0,"MORGAN STANLEY BANK, N.A."
723112,24160000.0,24160000000.0,"FIFTH THIRD BANK, NATIONAL ASSOCIATION"
491224,22326000.0,22326000000.0,FIRST-CITIZENS BANK & TRUST COMPANY
12311,21678641.0,21678641000.0,"HUNTINGTON NATIONAL BANK, THE"
3150447,21328000.0,21328000000.0,"CHARLES SCHWAB BANK, SSB"
280110,18803766.0,18803766000.0,KEYBANK NATIONAL ASSOCIATION
1394676,18165686.0,18165686000.0,AMERICAN EXPRESS NATIONAL BANK
233031,18047000.0,18047000000.0,REGIONS BANK
2489805,18034000.0,18034000000.0,"MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION"
413208,16454465.0,16454465000.0,"HSBC BANK USA, NATIONAL ASSOCIATION"
3284070,15059000.0,15059000000.0,ALLY BANK
1216022,14743000.0,14743000000.0,SYNCHRONY BANK
722777,13646075.0,13646075000.0,"SANTANDER BANK, NATIONAL ASSOCIATION"
63069,12044659.0,12044659000.0,CITY NATIONAL BANK
210434,11258336.0,11258336000.0,"NORTHERN TRUST COMPANY, THE"
1842065,10928925.0,10928925000.0,CIBC BANK USA
761806,9859502.0,9859502000.0,"WEBSTER BANK, NATIONAL ASSOCIATION"
214807,9666000.0,9666000000.0,DEUTSCHE BANK TRUST COMPANY AMERICAS
1929247,9585598.0,9585598000.0,"SOUTHSTATE BANK, N.A."
3212149,9367765.0,9367765000.0,UBS BANK USA
485559,9317818.0,9317818000.0,FIRST HORIZON BANK
694904,8609465.0,8609465000.0,"FLAGSTAR BANK, NATIONAL ASSOCIATION"
143662,8092635.0,8092635000.0,COLUMBIA BANK
208244,8076852.0,8076852000.0,OLD NATIONAL BANK
229801,8063357.0,8063357000.0,VALLEY NATIONAL BANK
197478,8028345.0,8028345000.0,EAST WEST BANK
3138146,7662140.0,7662140000.0,WESTERN ALLIANCE BANK
664756,7422066.0,7422066000.0,PROSPERITY BANK
936855,7284913.0,7284913000.0,"UMB BANK, NATIONAL ASSOCIATION"
2925666,6936719.0,6936719000.0,PINNACLE BANK
276579,6864795.0,6864795000.0,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION"
