rssd_id,total_equity_capital,total_equity_capital_usd,bank_name
852218,335931000.0,335931000000.0,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
480228,241710000.0,241710000000.0,"BANK OF AMERICA, NATIONAL ASSOCIATION"
451965,173016000.0,173016000000.0,"WELLS FARGO BANK, NATIONAL ASSOCIATION"
476810,171401000.0,171401000000.0,"CITIBANK, N.A."
112837,97280000.0,97280000000.0,"CAPITAL ONE, NATIONAL ASSOCIATION"
504713,67968276.0,67968276000.0,U.S. BANK NATIONAL ASSOCIATION
2182786,63958000.0,63958000000.0,GOLDMAN SACHS BANK USA
852320,63082000.0,63082000000.0,TRUIST BANK
817824,59440316.0,59440316000.0,"PNC BANK, NATIONAL ASSOCIATION"
497404,50028687.0,50028687000.0,"TD BANK, NATIONAL ASSOCIATION"
1456501,41955000.0,41955000000.0,"MORGAN STANLEY BANK, N.A."
75633,37611001.0,37611001000.0,BMO BANK NATIONAL ASSOCIATION
723112,37413000.0,37413000000.0,"FIFTH THIRD BANK, NATIONAL ASSOCIATION"
12311,33143721.0,33143721000.0,"HUNTINGTON NATIONAL BANK, THE"
541101,29100000.0,29100000000.0,"BANK OF NEW YORK MELLON, THE"
35301,28711000.0,28711000000.0,STATE STREET BANK AND TRUST COMPANY
501105,28171000.0,28171000000.0,MANUFACTURERS AND TRADERS TRUST COMPANY
3303298,26651224.0,26651224000.0,"CITIZENS BANK, NATIONAL ASSOCIATION"
491224,23476000.0,23476000000.0,FIRST-CITIZENS BANK & TRUST COMPANY
1394676,19007749.0,19007749000.0,AMERICAN EXPRESS NATIONAL BANK
280110,18841264.0,18841264000.0,KEYBANK NATIONAL ASSOCIATION
2489805,18425000.0,18425000000.0,"MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION"
3150447,18260000.0,18260000000.0,"CHARLES SCHWAB BANK, SSB"
233031,18064000.0,18064000000.0,REGIONS BANK
413208,16439241.0,16439241000.0,"HSBC BANK USA, NATIONAL ASSOCIATION"
3284070,15378000.0,15378000000.0,ALLY BANK
1216022,14688000.0,14688000000.0,SYNCHRONY BANK
2925666,14486990.0,14486990000.0,PINNACLE BANK
722777,13611611.0,13611611000.0,"SANTANDER BANK, NATIONAL ASSOCIATION"
63069,11687991.0,11687991000.0,CITY NATIONAL BANK
210434,11546963.0,11546963000.0,"NORTHERN TRUST COMPANY, THE"
1842065,11331822.0,11331822000.0,CIBC BANK USA
214807,9862000.0,9862000000.0,DEUTSCHE BANK TRUST COMPANY AMERICAS
