"IDRSSD"	RCON8725	RCONA126	RCONC391	RCONFT00	RCONFT01	RCONFT02	RCONFT03	RCONFT04	RCONFT05	RCONFT06	RCONFT07	RCONFT08	RCONFT09	RCONFT10	RCONFT11	RCONFT12	RCONFT13	RCONFT14	RCONFT15	RCONFT16	RCONHK18	RCONHK19	RIADC388	RIADC389	RIADC390	RIADF551	RIADF553	
	TOTL INT RATE CONTRCS-MKD TO MARKET	TOTAL INT RATE CONTRACTS TRADING	OTSTDNG CRED CD FEES & FIN CHGS	DOES THE INSTITUTION HAVE ANY DERIVA	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	FOR THE TWO CALENDAR QUARTERS PRECED	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	DOES THE INSTITUTION USE THE FAIR VA	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION SERVICE ANY CLO	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY CONSOL	TOTAL ASSETS OF CONSOLIDATED VARIABL	TOTAL LIABILITIES OF CONSOLIDATED VA	DOES THE INSTITUTION, TOGETHER WITH	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	UNCOLLBLE CRED CRD FEE&FIN CHGS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW CR LN&LSE LOSS CC/FIN CHGS	NET GAINS(LOSS) ERN RPT AT FV	NET GN LS ERN ON LIABILITY RPT AT FV	
33147	0	30128		true	0	0	false			false	false		false		true	31932	false			false								
33259				false			false			false	false		false		false		false			false								
33370	0	0																										
33839				false			false			false	false		true	534	false		false			false								
34537	2847322	0						58992	17095																	299	0	
34555	0	0																										
34742				false			true	15015	5511	false	false		true	10193	false		false			false								
35057	1294	0						2348	1493																			
35301								0	0																			
35646				false			false			false	false		false		false		false			false								
35879	25000	0		true	0	0	false			false	false		false		true	89164	false			false								
36933				false			false			false	false		false		false		false			false								
37051				false			false			false	false		false		false		false			false								
37341				false			false			false	false		false		false		false			false								
37435	3974	0		true	0	0	true	13771	890	false	false		true	13771	true	410232	false			false								
37640	250300	0						52020	15451																	-46	0	
37659				false			false			false	false		false		false		false			false								
37949				false			false			false	false		false		false		false			false								
38740				false			false			false	false		false		false		false			false								
39327				false			false			false	false		false		false		false			false								
40033				false			false			false	false		false		false		false			false								
40855				false			false			false	false		true	12939	false		false			false								
41553				false			false			false	false		false		false		false			false								
41629				false			false			false	false		false		false		false			false								
41825	17628	0						9383	3242																			
42037				false			false			false	false		false		false		false			false								
42354				false			false			false	false		false		false		false			false								
42372				false			false			false	false		false		false		false			false								
42420	2337885	0						71210	8950																			
42448	5627	0		true	0	0	false			false	false		false		false		false			false								
42457				false			false			false	false		false		false		false			false								
43052				false			false			false	false		false		true	24956	false			false								
43351				false			false			false	false		false		false		false			false								
43856				false			false			false	false		true	25885	false		false			false								
43959				false			false			false	false		false		false		false			false								
44040				false			false			false	false		false		false		false			false								
44433	575675	0																										
44741				false			false			false	false		false		true	111847	false			false								
44750				false			false			false	false		false		false		false			false								
44929	0	0																										
45056				false			false			false	false		false		false		false			false								
45458				false			false			false	false		true	18187	true	18187	false			false								
45551				false			false			false	false		true	20461	false		false			false								
45560	4410	0						53045	3806																			
