"IDRSSD"	RCFA2170	RCFA3128	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAJJ30	RCFAJJ31	RCFAJJ32	RCFAKW00	RCFAKW03	RCFAKX77	RCFAKX78	RCFAKX79	RCFAKX80	RCFAKX81	RCFAKX82	RCFAKX83	RCFALB58	RCFALB59	RCFALB60	RCFALB61	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP852	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ258	RCFAS540	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP851	RCFWP852	RCFWP853	RCFWP854	RCFWP855	RCFWP856	RCFWP857	RCFWP858	RCFWP859	RCFWP870	RCOA2170	RCOA3128	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAJJ30	RCOAJJ31	RCOAJJ32	RCOAKW00	RCOAKW03	RCOAKX77	RCOAKX78	RCOAKX79	RCOAKX80	RCOAKX81	RCOAKX82	RCOAKX83	RCOALB58	RCOALB59	RCOALB60	RCOALB61	RCOALE74	RCOANC99	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP852	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ258	RCOAS540	RCOWH312	
1669																																																																																				450527	0				12.2744%			55659		453455	-2590	0						0	0	0	0	54059	453455	0	0.0000%	21944	0	173	22117	4.9091%	0	0	0	0	1		1600		1	0	53069	0	0	0	-2590	0	0	0		0	55659	0	0	55659	0	0	0	0	0	0						0	0	0		
1856																																																																																				43818	0				14.5967%			6424		44010	-101	0						0	0	0	0	290	44108	0	0.0000%	2447	0	0	2447	5.5845%	0	0	0	0	1		6232		1	0	6421	98	0	0	-101	0	0	0		0	6424	0	0	6424	0	0	0	0	0	0						98	0	0		
2161																																																																																				392569	0				10.4867%			40274		384047	-8330	0						0	0	0	0	18750	384047	0	0.0000%	9741	0	173	9914	2.5254%	0	0	0	0	1		21524		1	0	31944	0	0	0	-8240	-90	0	0		0	40274	0	0	40274	0	0	0	0	0	0						0	0	0		
2732																																																																																				729383	0				16.6901%			122367		733173	-31	0						0	0	0	0	117690	734285	0	0.0000%	76327	0	2017	78344	10.7411%	0	0	0	0	1		5789		1	0	123448	0	1112	0	-31	0	0	0		0	122367	0	0	122367	0	0	0	0	0	0						1112	0	3352		
2750																																																																																						9676	552	552	13.0216%	17.2576%	16.2731%	9124	56068	70068	-796	0			9.2576%			0				1015	70068								0	0	0		0		8109	16.2731%	1	0	8328	0	0	0	-796	0	0	0		0	9124	0	0	9124	0	0	0	0	0	0	0	0	0	552	0	0	0			
3252																																																																																						52890	1789	1789	13.6473%	37.3823%	36.1179%	51101	141484	374440	-1520	0			29.3823%			0				50601	374440								0	0	0		0		500	36.1179%	1	0	49581	0	0	0	-1520	0	0	0		0	51101	0	0	51101	0	0	0	0	0	0	0	0	0	1789	0	0	0			
3720																																																																																				455614	0				11.3174%			50972		450388	-4312	0						0	0	0	0	38552	450388	0	0.0000%	18888	0	178	19066	4.1847%	0	0	0	0	1		12420		1	0	46660	0	0	0	-4312	0	0	0		0	50972	0	0	50972	0	0	0	0	0	0						0	0	0		
3971																																																																																						146672	10166	10166	13.2474%	18.1026%	16.8479%	136506	810228	1030434	-8673	0			10.1026%			0				24706	1037621								0	0	0		0		118987	16.8479%	1	0	135020	5263	1189	735	-8673	0	0	0		0	136506	0	0	136506	0	0	0	0	0	0	0	0	0	10166	0	7187	0			
4231																																																																																				172134	0				15.6145%			26537		169951	-2835	0						0	0	0	0	13940	169954	0	0.0000%	6419	0	110	6529	3.7930%	0	0	0	0	1		12600		1	0	23705	0	0	3	-2835	0	0	0		0	26537	0	0	26537	0	0	0	0	0	0						3	0	1522		
5069																																																																																						244572	5741	5741	47.9700%	53.9145%	52.6490%	238831	453629	497876	78	0			45.9145%			0				230202	497876								0	0	0		0		8629	52.6490%	1	0	238909	0	0	0	78	0	0	0		0	238831	0	0	238831	0	0	0	0	0	0	0	0	0	5741	0	0	0			
5135																																																																																				664142	0				19.1265%			127118		664616	-144	0						0	0	0	0	103118	665658	0	0.0000%	86943	0	2316	89259	13.4397%	0	0	0	0	1		25042		1	0	128016	1042	0	0	-144	0	0	0		0	127118	0	0	127118	0	0	0	0	0	0						1042	0	0		
5210																																																																																						386804	24311	24311	11.3659%	15.6257%	14.6436%	362493	2475435	3189302	-23459	-1412			7.6257%			0				234026	3256058								0	0	0		0		196635	14.6436%	1	0	407202	56065	12103	0	-22143	96	-1412	0		0	362493	0	0	362493	0	0	0	0	0	0	0	0	0	24311	0	68168	0			
5461																																																																																						96278	6909	6909	11.4082%	17.4222%	16.1719%	89369	552618	783377	-13675	0			9.4222%			0				83094	783402								0	0	0		0		6300	16.1719%	1	0	75719	0	25	0	-530	0	0	-13145		0	89369	0	0	89369	0	0	0	0	0	0	0	0	0	6909	0	25	0			
5751																																																																																				329115	0				12.0282%			40635		337831	-5826	0						0	0	0	0	32127	338675	0	0.0000%	33716	0	130	33846	10.2839%	0	0	0	0	1		9352		1	0	35653	844	0	0	-5826	0	0	0		0	40635	0	0	40635	0	0	0	0	0	0						844	0	96		
6039																																																																																				569564	0				10.3139%			58322		565471	-183	0						0	0	0	0	27285	565471	0	0.0000%	36284	0	786	37070	6.5085%	0	0	0	0	1		31037		1	0	58139	0	0	0	-183	0	0	0		0	58322	0	0	58322	0	0	0	0	0	0						0	0	21903		
6329																																																																																						231217	22809	22809	9.3657%	12.7303%	11.4745%	208408	1816272	2225221	-12114	0			4.7303%			0				166195	2230008								0	0	0		0		47000	11.4745%	1	0	201081	0	0	4787	-12114	0	0	0		0	208408	0	0	208408	0	0	0	0	0	0	0	0	0	22809	0	4787	0			
7009																																																																																						130556	0	0	6.8523%	55.2967%	55.2967%	130556	236101	1905276	-448	0			47.2967%			0				129504	1905276								0	0	0		0		1052	55.2967%	1	0	130108	0	0	0	-448	0	0	0		0	130556	0	0	130556	0	0	0	0	0	0	0	0	0	0	0	0	0			
7045																																																																																						32678	1187	1187	9.5016%	21.8564%	21.0625%	31491	149512	331427	-8028	0			13.8564%			0				29066	331427								0	0	0		0		2425	21.0625%	1	0	23463	0	0	0	-8028	0	0	0		0	31491	0	0	31491	0	0	0	0	0	0	0	0	0	1187	0	0	0			
7072																																																																																						46243	3660	3660	9.1866%	14.7361%	13.5698%	42583	313808	463535	-2444	0			6.7361%			0				44431	469443								0	0	0		0		4060	13.5698%	1	0	46047	5478	430	0	-2500	0	56	0		0	42583	0	0	42583	0	0	0	0	0	0	0	0	0	3660	0	5908	0			
7456																																																																																						14964	1338	1338	8.9043%	12.7238%	11.5861%	13626	117606	153028	-1089	0			4.7238%			0				6626	153028								0	0	0		0		7000	11.5861%	1	0	12537	0	0	0	-1089	0	0	0		0	13626	0	0	13626	0	0	0	0	0	0	0	0	0	1338	0	0	0			
7634																																																																																				89515	0				12.9792%			11894		91639	-1088	0						0	0	0	0	3634	91639	0	0.0000%	988	0	0	988	1.1037%	0	0	0	0	1		8260		1	0	10806	0	0	0	-1088	0	0	0		0	11894	0	0	11894	0	0	0	0	0	0						0	0	985		
8462																																																																																				204770	0				16.4203%			33632		204820	-3686	0						0	0	0	0	32932	204820	0	0.0000%	1578	0	219	1797	0.8776%	0	0	0	0	1		700		1	0	29946	0	0	0	-3686	0	0	0		0	33632	0	0	33632	0	0	0	0	0	0						0	0	9364		
8631																																																																																				82171	0				9.6495%			7673		79517	-600	0						0	0	0	0	6373	79517	0	0.0000%	3748	0	135	3883	4.7255%	0	0	0	0	1		1300		1	0	7073	0	0	0	-600	0	0	0		0	7673	0	0	7673	0	0	0	0	0	0						0	0	0		
9357																																																																																				569609	0				14.3579%			73916		514812	-126	0						0	0	0	0	58043	555599	0	0.0000%	19258	0	1568	20826	3.6562%	0	0	0	0	1		56660		1	0	114577	28667	12120	0	-126	0	0	0		0	73916	0	0	73916	0	0	0	0	0	0						40787	0	325993		
9553																																																																																						29099	1750	1750	11.4402%	17.3254%	16.2834%	27349	167956	239061	-3521	0			9.3254%			0				25249	239061								0	0	0		0		2100	16.2834%	1	0	23828	0	0	0	-3521	0	0	0		0	27349	0	0	27349	0	0	0	0	0	0	0	0	0	1750	0	0	0			
9807																																																																																						378334	30286	30286	12.1240%	15.6384%	14.3865%	348048	2419260	2870734	-2282	0			7.6384%			0				215776	2870734								0	0	0		0		132272	14.3865%	1	0	345766	0	0	0	-2282	0	0	0		0	348048	0	0	348048	0	0	0	0	0	0	0	0	0	30286	0	0	0			
9955																																																																																				233583	0				14.2996%			34170		238957	-1369	0						0	0	0	0	31037	238957	0	0.0000%	5237	0	8	5245	2.2455%	0	0	0	0	1		3133		1	0	32801	0	0	0	-1369	0	0	0		0	34170	0	0	34170	0	0	0	0	0	0						0	0	14980		
10250																																																																																						70644	5149	5149	9.0424%	14.8965%	13.8108%	65495	474232	724313	-19176	0			6.8965%			0				22995	724313								0	0	0		0		42500	13.8108%	1	0	46319	0	0	0	-19176	0	0	0		0	65495	0	0	65495	0	0	0	0	0	0	0	0	0	5149	0	0	0			
10849																																																																																				325537	0				10.8324%			36191		334099	-3588	0						0	0	0	0	21494	334793	0	0.0000%	28872	0	0	28872	8.8690%	0	0	0	0	1		15391		1	0	33297	694	0	0	-3588	0	0	0		0	36191	0	0	36191	0	0	0	0	0	0						694	0	0		
11145																																																																																						61577	3299	3299	12.2655%	20.2794%	19.1929%	58278	303643	475138	-8753	0			12.2794%			0				32867	475727								0	0	0		0		26000	19.1929%	1	0	50114	450	139	0	-8753	0	0	0		0	58278	0	0	58278	0	0	0	0	0	0	0	0	0	3299	0	589	0			
11640																																																																																				392809	0				12.3523%			48653		393879	-9260	0						0	0	0	0	3908	393879	0	0.0000%	72242	0	202	72444	18.4426%	0	0	0	0	1		44745		1	0	39393	0	0	0	-9260	0	0	0		0	48653	0	0	48653	0	0	0	0	0	0						0	0	0		
11837																																																																																						19508	1349	1349	9.8120%	18.0886%	16.8377%	18159	107847	185069	-3323	0			10.0886%			0				6159	185069								0	0	0		0		12000	16.8377%	1	0	14836	0	0	0	-3323	0	0	0		0	18159	0	0	18159	0	0	0	0	0	0	0	0	0	1349	0	0	0			
12030																																																																																						119460	6314	6314	15.9583%	24.1228%	22.8478%	113146	495216	709012	-43	0			16.1228%			0				112546	709012								0	0	0		0		600	22.8478%	1	0	113103	0	0	0	-43	0	0	0		0	113146	0	0	113146	0	0	0	0	0	0	0	0	0	6314	0	0	0			
12142																																																																																				345735	0				10.9912%			37072		337288	-13383	0						0	0	0	0	10272	337288	0	0.0000%	4122	0	259	4381	1.2672%	0	0	0	0	1		26800		1	0	23689	0	0	0	-8422	0	-226	-4735		0	37072	0	0	37072	0	0	0	0	0	0						0	0	25618		
12311			29147082	2587984	3799984	10.2357%	14.0924%	12.2552%	25347098	206827694	247635238	-2040426	0			6.0924%						5772474	257896617								0	0	0		29411673	12.0478%	0	33143721	9138106	777597	345676	-1771449	-48901	-173239	-42227		0	24918158	0	0	24918158	0	0	428940	428940	0	428940	1212000	0	0	3799984	0	10261379	0																																						0																	0				1																															
12647																																																																																				212581	0				12.4400%			26606		213875	0	0						0	0	0	0	8639	213875	0	0.0000%	22380	0	208	22588	10.6256%	0	0	0	0	1		17967		1	0	26606	0	0	0	0	0	0	0		0	26606	0	0	26606	0	0	0	0	0	0						0	0	0		
12946																																																																																						344070	32845	32845	9.8751%	13.1132%	11.8614%	311225	2623842	3151627	-60893	0			5.1132%			0				247356	3182942								0	0	0		0		95183	11.8614%	1	0	281646	23845	7469	0	-60893	0	0	0		0	311225	0	0	311225	0	0	0	0	0	0	0	0	0	32845	0	31315	0			
13103																																																																																						483258	27498	27498	14.4329%	19.1684%	18.0777%	455760	2521118	3157793	-7158	-8835			11.1684%			0				438311	3166028								0	0	0		0		34519	18.0777%	1	0	465672	14250	2820	0	-15993	0	8835	0		0	455760	0	0	455760	0	0	0	0	0	0	0	0	0	27498	0	17070	0			
13251																																																																																						10042	781	781	11.9030%	15.6327%	14.4169%	9261	64237	77804	-139	0			7.6327%			0				5261	77804								0	0	0		0		4000	14.4169%	1	0	9122	0	0	0	-139	0	0	0		0	9261	0	0	9261	0	0	0	0	0	0	0	0	0	781	0	0	0			
13457																																																																																				154033	0				11.4231%			17382		152166	-11	0						0	0	0	0	337	152671	0	0.0000%	4216	0	740	4956	3.2175%	0	0	0	0	1		17550		1	0	17876	0	505	0	-11	0	0	0		0	17382	0	0	17382	0	0	0	0	0	0						505	0	13892		
14155																																																																																				473001	0				10.7262%			50360		469505	-17	0						0	0	0	0	50024	469505	0	0.0000%	3891	0	824	4715	0.9968%	0	0	0	0	1		336		1	0	50343	0	0	0	-17	0	0	0		0	50360	0	0	50360	0	0	0	0	0	0						0	0	23410		
14650																																																																																				178502	0				10.8220%			17665		163232	0	0						0	0	0	0	13481	163232	0	0.0000%	22789	0	5000	27789	15.5679%	0	0	0	0	1		4184		1	0	17665	0	0	0	0	0	0	0		0	17665	0	0	17665	0	0	0	0	0	0						0	0	621		
14753																																																																																				57757	0				11.8220%			7419		62756	-349	0						0	0	0	0	5842	62756	0	0.0000%	8131	0	0	8131	14.0779%	0	0	0	0	1		1577		1	0	7070	0	0	0	-349	0	0	0		0	7419	0	0	7419	0	0	0	0	0	0						0	0	0		
14865																																																																																				960329	0				10.9973%			104397		949293	-1162	0						0	500	0	0	92768	949926	0	0.0000%	33147	0	2981	36128	3.7620%	0	0	0	0	1		12262		1	0	103868	0	446	187	-1162	0	0	0		0	104397	0	0	104397	0	0	0	0	0	0						633	0	195874		
14977																																																																																				68168	0				17.2379%			11739		68100	-6	0						0	0	0	0	11762	68117	0	0.0000%	8621	0	0	8621	12.6467%	0	0	0	0	1		0		1	0	11756	0	17	0	0	0	0	0		0	11739	0	0	11739	0	0	0	0	0	0						17	0	0		
16551																																																																																				477816	0				10.6253%			49611		466915	-2498	0						0	0	0	0	21544	469348	0	0.0000%	45115	0	124	45239	9.4679%	0	0	0	0	1		30500		1	0	49546	2433	0	0	-2498	0	0	0		0	49611	0	0	49611	0	0	0	0	0	0						2433	0	0		
17110																																																																																				177770	0				23.0198%			40272		174945	0	0						0	0	0	0	32986	174945	0	0.0000%	0	0	2370	2370	1.3332%	0	0	0	0	1		7286		0	0	40272	0	0	0					0	0	40272	0	0	40272	0	0	0	0	0	0						0	0	158744		
17147																																																																																						2263139	220650	220650	10.3704%	12.8281%	11.5774%	2042489	17642021	19695335	-146974	0			4.8281%			0				891883	20511496								0	0	0		0		1966767	11.5774%	1	0	2711676	779819	32055	4287	-150628	0	3654	0		0	2042489	0	0	2042489	0	0	0	0	0	0	0	0	0	220650	0	816161	0			
17259																																																																																						6328	632	632	7.9716%	12.6086%	11.3493%	5696	50188	71454	-777	0			4.6086%			0				4158	71454								0	0	0		0		1538	11.3493%	1	0	4919	0	0	0	-777	0	0	0		0	5696	0	0	5696	0	0	0	0	0	0	0	0	0	632	0	0	0			
17950																																																																																						86698	5197	5197	10.0189%	20.8765%	19.6251%	81501	415289	813474	-17241	0			12.8765%			0				51517	817052								0	0	0		0		33562	19.6251%	1	0	67838	3035	543	0	-17241	0	0	0		0	81501	0	0	81501	0	0	0	0	0	0	0	0	0	5197	0	3578	0			
