"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCFDLB56	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	RCONLB56	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
2736714														14972		6821	0					55	7599	497							
2737980														54005		11066	4110		4409			14050	24425	354	3413			DEFERRED LRA INCOME			
2743244														26879		8930	0					6025	11282	642	4995						
2745426														11076		6540	0	120				1511	2375	650	4029		2387				
2745529														1009		284	0					0	725	0							
2746245														1211		930	0					206	18	57							
2747279														620		118	0					123	299	80							
2747466														1395		392	0					545	412	46							
2747587														20574		15043	0					140	3935	1456							
2748502														14402		9778	0					975	3319	330							
2753917														3673		3346	0					33	263	31							
2754222														1382		637	0					498	214	33							
2756730														2031		644	0					1068	319	0							
2756909														8098		7275	0					0	780	43							
2757205														44463		37500	0					1240	4617	1106			25721				
2758613														22943		5151	0	3789				467	15034	2291							
2759629														3587		1733	0					1339	437	78							
2764212														23039		9891	0					3647	8739	762	6282						
2769570														3874		1551	0					421	1901	1							
2771694														20500		14155	0					884	4743	718							
2774707														149		0	31					9	109	0							
2775151														1414		186	0					74	704	450							
2775179														2692		435	0					278	1708	271							
2775692														782		0	124					119	468	71							
2785477														16086		12202	0					1500	2273	111							
2785646														16372		5728	0					5361	4083	1200							
2787770														13996		11094	0					1125	1158	619	6385		3201				
2791085														3754		1402	0					401	1951	0							
2793593														4502		1452	0					1772	944	334			1448				
2794732														6197		1586	723					2844	967	77							
2796277														2084		832	0		830			44	1208	0				Right of use lease liabilities			
2797162														6170		313	0					332	5349	176		23					
2797210														955		0	0					0	955	0							
2797359														10387		7193	0					144	2676	374							
2797724														354752		210297	0					23366	109891	11198			56796				
2805535														3661		240	0					947	2409	65							
2805928														1477		861	0					132	439	45	771						
2806635														7760		4367	0					1185	758	1450							
2806840														2664		1779	0					742	143	0	1603	137					
2806877														35661		25182	0		2417			1031	9448	0		851	12553	Mortgage Recourse Reserve			
2807173														804		102	74					191	394	43							
2808602														52253		24122	0		9426			8363	18183	1585			6709	LIHTC Remaining Commitment			
2809373														3553		2057	489					0	1007	0							
2811086														192		0	0					111	66	15							
2815879														1596		24	219					598	748	7							
2819167														23708		17067	0					1235	5386	20							
2819242														4312		938	0					2034	965	375							
2820604														10704		6212	0					2512	1580	400							
2823221														2714		0	0					1550	1099	65							
2826017														83362		76156	0					0	7206	0			53776				
2833882														7079		3794	0					1053	2102	130							
2835103														3969		1748	0					1640	478	103							
2836306														693		210	0					120	287	76							
2838207														13455		6384	0					4259	2488	324							
2839790														14319		8751	0					711	4129	728							
2845782														934		0	5					0	929	0							
2847085														619		0	0					79	540	0							
2847142														21354		9646	0					756	10246	706							
2849285														5219		2058	0					2200	806	155							
2849463														10737		2172	0					3773	4059	733							
2849801														53171		37716	0					8879	6576	0	7904		27626				
2850722														440295		317785	0		315089			80427	42083	0				Payable to affiliate			
2855866														4276		102	0					2471	1285	418							
2857600														13859		12149	293					1086	232	99							
2858492														2046		0	0					872	998	176							
2858960														102203		42732	0	4911				553	57366	1552	2975		19350				
2860039														3650		2687	0					83	754	126							
2860271														5551		3254	0					1545	752	0							
2861317														3552		1660	0					603	989	300							
2867337														39551		20926	0			7250		2241	15612	772			11547		Due to-from bank-bancorp		
2869162														7632		1077	0					1991	2977	1587							
2871099														7346		4561	0					746	1992	47							
2871558														14459		14381	0					75	0	3							
2873598														5403		2854	0					142	2294	113							
2877345														9506		2646	0		1013			4699	1774	387				FHN Swaps held for trading			
2877484														818		805	0					13	0	0			714				
2877831														3808		3094	0					697	0	17							
2880019														20587		9712	0					2211	8091	573							
2881445														14981		1594	0					0	13387	0							
2882983														2032		1113	0					520	353	46							
2889227														2820		1887	0					378	435	120							
2891622														147330		119362	2900	28147				1900	22493	675	16354	33924	14282				
2897633														1569		593	0					120	856	0							
2901558														241		25	51					18	147	0							
2903123														8812		5093	0					263	3091	365	2167		2244				
2905761														648		383	0					74	161	30							
2907019														3945		1604	0					1426	915	0							
2907439														2560		2168	0		1334			327	0	65				Leased Property Payable			
2912750														1163		755	0					0	408	0							
2913702														1820		167	0		141			317	1244	92				Deferred Revenue	Loan Participation Payment Payable		
2914268														1180		371	0					27	782	0							
2914727														2934		11	0					1139	1009	775							
2915461														12148		7823	0					687	3547	91							
2916534														5716		1596	0					1650	2453	17							
2916963														19493	0	6929	3843	0	6928	0	0	0	8721	0	0	0	0	Deferred fee income			
2917184														847		2	0					290	457	98							
2917317														406531		94245	42167					1837	250507	17775		52034					
2919898														6137		1611	0					1225	3047	254			194				
2920287														419		45	0					59	266	49							
2921622														262		0	0					133	129	0							
2921659														66883		56086	0					0	10797	0							
2925620														1965		898	0					100	906	61							
2925666	1843979	0	1307371	0	0	519915	0	0	356408	72599	0	0	624787									107601						Commitments to Fund Tax Credit Partnerships			
2929392														5651		2714	0					390	2357	190							
2938198														37358		17501	0		4857			3914	9000	6943			9389	Commitments to Fund Low Income Housing Tax Credit			
2938787														7992		4506	0	159				0	3486	0			4347				
2939001														520		124	0					36	360	0							
2939391														2470		1712	0					312	221	225							
2941068														101108		27665	0					13522	52221	7700	22490						
2943615														4637		3269	0					477	891	0							
2947556														25770		11144	0					0	14626	0							
2948058														13860		10871	0					683	1370	936							
2948423														8669		7026	0					347	1271	25							
2949970														2437		517	0					463	1457	0							
2953418														8599		2703	0					2445	3201	250							
2954059														20168		12732	0					1962	5064	410			11365				
2954497														7492		5982	0					282	881	347							
2958972														9199		4462	0					461	4276	0							
2960555														1175		24	0					277	874	0							
2960788														224		100	0					0	124	0							
2963266														34110		19400	0	12299				2922	8624	3164			7100				
2963275														1099		713	0					183	153	50							
2963864														4306		2691	0					703	912	0							
2970657														12267		6121	1549		5991			1553	1479	1565				Commitments to Fund Low Income Housing Tax Credit			
2973041														720		678	0					0	42	0							
2973386														20066		20049	0					17	0	0							
2980209														1272000	0	954000	0	295000	404000	0	0	12000	305000	1000	0	0	0	Rewards			
2989006														2044		736	0					489	684	135							
2992547														33392		1167	0					0	32225	0							
2997216														2361		1920	0					87	171	183							
2997748														30719		1100	0					28	29533	58							
2998576														93672		34651	31720					5834	21467	0							
3005097														498		254	116					120	0	8							
3010363														886		363	0					67	109	347							
3015939														6650		4779	0					982	736	153							
3016347														65060		52608	0		13260			2680	7682	2090			37366	Deferred Comp Liability			
3017081														147310		24942	0					233	122135	0							
3019982														10692		8873	0					536	1146	137							
3020447														1426		526	0					592	238	70							
3022610														4757		2668	0					232	1741	116							
3027763														2437		11	0					2101	266	59							
3029253														3411		0	0					2	3409	0							
3029589														187170		181289	0	5864				1413	2272	2196	40961	134463					
3034257														9222	2944	6378	0	2987				2212	0	632							
3039636														14086		9817	0					318	3709	242							
3040418														20499		13320	0		2613			1374	5805	0				UNPROCESSED CARDILE CASH COLLATERAL			
3041358														318		50	0					216	52	0							
3045383														158719		23818	0					0	134901	0							
3049635														105		0	0					105	0	0							
3052813														12401		9714	0					464	2051	172	6155			0			
3066025	40442	0	1233	0	0	1233	0	0	39209	0	0	0	0									0						Deferred revenue			
3067929														507		5	0					221	183	98							
3068579														23632		13955	0					7635	1909	133	8833		4084				
3070545														3499		83	0					787	2629	0							
3076220														57217		12552	0	8860				5232	20356	19077							
3076248														160074		115236	0	102438				4385	31863	8590			9653				
3076453														39760		19292	0					284	18079	2105							
3076604														4571		93	0					943	3321	214							
3089752														1451		780	188					0	483	0							
3090833														1842		668	0					598	529	47							
3103591														649		249	0					92	266	42	176						
3109043														30658		17231	0		5329			8228	4784	415				Swap Counterparty Collateral			
3109146														61544		32681	0		15209			12555	14221	2087				Mark to Market Adjustment on Customer Derivatives			
3110197														47607		33007	0					9567	3816	1217							
3116519														3885		236	0					2658	982	9							
3120646														3714		2115	0					1402	197	0							
3120897														989		466	0					244	279	0			466				
3122994														3857		0	380					1018	2263	196							
3125315														1178		523	0					234	396	25							
3125557														1237		13	0					544	612	68							
3128923														2468		1095	35					671	393	274							
3134399														978		527	0					238	101	112							
3134698														3057		2107	0					766	150	34							
3138146														1353506	0	823947	0	0	229004	267916	0	93919	382332	53308	0	0	0	Unfunded Investment in Low Income Housing Tax Credits	Broker Payable for Unsettled Securities		
3139321														1260		900	0					298	57	5							
3140822														5336		277	2322					755	1847	135							
3141726														6643		1052	0					711	4189	691			868				
3146150														20794		14348	0					1972	3516	958							
3148613														2728		2081	0					148	474	25							
3150205														3120		1175	0					652	1292	1							
3150447	1743000	0	1442000	0	0	1134000	0	0	260000	2000	0	0	0									39000						Unfunded LIHTC commitments			
3153297														11859		6578	0					3333	1358	590							
3158546														30411		26721	0					918	2148	624							
3160978														1753		297	0					251	1205	0							
3165357														15988		10690	0					1138	3572	588							
3166699														14048		12156	0					21	1525	346							
3174920														5064		1689	0					2168	924	283							
3180136														93		0	0					0	93	0							
3184228														10573		4072	0					1564	4237	700							
3185579														3151		2380	0					476	295	0							
3185896														4179		1191	0					480	2228	280							
3187630														155602		111468	0		50330	44605		16862	25001	2271				Deferred credit	Intercompany payable		
3189063														29681		14208	0					1918	12729	826							
3194692														10824		5399	0					1724	3050	651	3158						
3199811														5729		4077	0					766	609	277							
3202702														1678000		1581000	0		1415000			19000	45000	33000				Due to healthcare providers			
3212149	640369	0	186064	0	0	122727	0	0	384454	2404	0	0	0									67447						Intercompany Payable			
3212402														61509		26621	0					22327	11169	1392			18301				
3213333														2282		0	0					1246	1036	0							
3214059														14780		6845	0					190	5383	2362			5665				
3216017														23362		10676	1291		4707			1831	7951	1613			5111	Commitments to Fund Low Income Housing Tax Credit			
3216316														6682		4814	0					415	1427	26							
3217331														2582		283	0					797	1495	7							
3217957														7690		2579	0					756	4355	0							
3219269														5250		852	0	45				0	4398	0	200						
3220863														2963		533	0					722	1708	0							
3223305														2141		749	0					326	868	198							
3223408														2424		39	0	14	25			834	1410	141				Leases Right to Use			
3223417														3559		2245	0					1042	151	121			2245				
3224302														4973		2767	0					685	1210	311							
3224375														10133		4998	0					719	3794	622							
3224478														940		254	0	206				341	186	159	44						
3224580														436875		373970	0			132298		9340	53565	0					Rewards Program Liability		
3228908														33745		16710	0					3730	13305	0							
3229875														8919		1185	2228	1185				0	5506	0							
3232204														145506		116776	0		30639			4958	22583	1189			63227	Low Income Housing Tax Credit Payables			
3232370														1279		0	0					311	850	118							
3235410														24375		15392	0					768	5478	2737	5711		8364				
3243282														12017		6287	0					71	5551	108							
3247589														4486		1025	0					201	3107	153							
3248849														23388		19517	0					1917	1749	205	554	10100	5806				
3253834														775		106	0					388	281	0							
3254297														210		0	0					134	76	0							
3267738														14386		10288	0					1507	1546	1045							
3268173														9		9	0	1				0	0	0							
3268249														504		223	0					97	184	0							
3271799														35593		24544	0					6270	3239	1540							
3271986														4502		284	0					409	3523	286							
3272956														5302		464	0					1848	2815	175							
3274709														28064		12807	0		6150			8196	2847	4214			6425	COLLATERAL HELD FOR DERIVATIVE INSTRUMENTS			
3277241														3005		1084	0					260	1565	96							
3280625														6494		1520	0					1401	3344	229							
3281510														15292		6726	0					2051	6180	335							
3282012														1622		145	0					736	598	143							
3284070	2475000	0	1429000	3000	0	732000	0	0	411000	4000	0	0	0									628000						LIHTC Commitments			
3284397														60966		4687	2158					15124	36258	2739			2518				
3284445														16619		10306	0					1138	4770	405							
3284490														11965		4248	0					3294	4329	94	1077		3093				
3285246														292		11	0					153	128	0							
3285778														714		123	0					105	436	50							
3286999														578		67	0					250	256	5							
3287660														226945		79909	11045	44331				114553	21222	216			21021				
3288452														13262		7018	0					2178	3966	100							
3290240														8548		2465	0	837	1140			1237	4217	629		309		SWAP COUNTER PARTY CASH COLLATERAL			
3293540														3600		430	0					283	2786	101							
