"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJA29	RCFDJF76	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJA29	RCONJF76	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONLG26	RCONLG27	RCONLG28	RCONLL57	RCONLL59	RCONLL60	RCONMM07	RCONMQ52	RCONN523	RCONN524	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
353546																														659	0	0	659	0	1903		0	0	0	0	0	2201	1	0			0	0	0	700	1203	0	0	0	0	0	0	0				0						0	0	0	0	0	0						New Holland Banking Center		Hopedale Community Banking center		Lincoln Banking Center											www.tremontbank.com	
353555																														46063	25	0	33871	7932	0		0	0	0	0	25	10887	1	22665	true	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true		4260	0					0	0	0	0	0	0					www.lubbocknational.com	Lubbock National Bank		ANB													www.anb.com	
353957																														0	0	0	0	0	0		0	0	0	0	0	361	0	0			0	0	0	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																					https://www.ffnbank.com	
354253																														0	0	0	0	0	0		0	0	0	0	0	5	0	0			0	0	0	0	0	0	0	0	0	0	0	0			0	0						0	0	0	0	0	0																					http://www.mysunrisebank.com	
354310																														183093	24073	50000	175510	5623	175000		0	0	4128	0	19945	130	0	10527	true	0	0	50000	90000	35000	0	0	0	0	0	0	0	0	true	true	2898	1960	0					1	201	0	0	0	0																					http://www.univest.net	
354552																														13683	0	0	11739	1625	0		0	0	0	0	0	4052	1	1621			0	0	0	0	0	0	0	0	0	0	0	0			0	319						0	0	0	0	0	0					www.communitynationalbank.net		www.cnbcustody.com														www.bankoncnb.com	
354851																														0	0	0	0	0	1000		0	0	0	0	0	2436	2	0			0	0	0	1000	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																					www.stateexchangebank.com	
355120																														0	0	0	0	0	0		0	0	0	0	0	2208	2	0			0	0	0	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																					www.carolinabank.net	
355559																														6440	0	0	1772	4668	13000		0	0	0	0	0	22333	5	4668			0	0	11000	2000	0	0	0	0	0	0	0	0			0	0						0	0	0	0	0	0																					www.rangebank.com	
355858																														54020	673	5000	46925	0	14807		0	0	673	0	0	29933	2	0	false	0	0	5000	9807	0	0	0	0	0	0	0	0	0	true	true		7095	0					0	0	0	0	0	0						First Advantage Bank branch of First National Bank		First Wyoming Bank and Trust branch of First National Bank		Farmers & Merchants branch of First National Bank											www.firstnationalbanks.com	
