"IDRSSD"	RCONC970	RCONC971	RCONC972	RCONC973	RCONC974	RCONC975	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ459	RCONPV10	RCONPV11	RCONPV12	RCONPV13	RCONPV14	RCONPV15	RCONPV16	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	CR DRIVTS:NTNL AMTS-TOT RETRN SWAPS-	CR DRIVTS:NTNL AMTS-TOT RETRN SWAPS-	CRD DERIVTS:NOTL AMTS-CRD OPTIONS-GU	CRD DERIVTS:NOTL AMTS-CRDIT OPTIONS-	CRD DERIVTS:NOTL AMTS-OT CR DERIVTS-	CRD DERIVTS:NOTL AMTS-OT CR DERIVTS-	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open 	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT ALL OTHR	Loans to depository financial instit	Loans to nondepository financial ins	Loans to mortgage credit intermediar	Loans to business credit intermediar	Loans to private equity fund	Loans to consumer credit intermediar	Other loans to nondepository financi	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
14977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																425	8196	0	0													
16551								8776	9709																																	9866	571	0	0													
17110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																12419	148695	0	0													
17147	0	0	0	0	0	0	0	150327	832986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				3078908	397290	0	418318	65154	27256	225988	99921	0								
17259								207	491																																	426	330	0	0													
17950								2965	4102																																	14428	37108	0	0													
17978								13054	20																																	0	28	0	0									Commit's to Originate Single Family Mortgages				
18050								3287	24755																																	7488	55356	0	0						Bastrop County Letter of Credit 10031273	Bastrop County Letter of Credit 10031270	Smithville Hospital Authority Letter of Credit 10031275					
18827								13932	196633																																	71783	19575	0	2550													
18836								4322	4840																																	1109	6057	0	0													
18854	0	0	0	0	0	0	750	38533	102943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																176625	18922	0	0													
19356								612	3895																																	4388	1416	0	0													
19936								3790	10323																																	15250	19563	0	0													
19972								1910	0																																	0	0	0	0													
20053								2808	0																																	8757	12295	0	0													
20633								2284	8702																																	167	1747	0	0													
20857								4242	4126																																	24118	108659	0	0													
21256								0	0																																	1	15	0	0													
21359								168	32																																	1285	4705	0	0													
21658	0	0	0	0	0	0	0	1104	5754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																8629	1730	0	0													
22048								5061	9010																																	5910	8353	0	0													
22543								8611	10681																																	14043	2124	0	0													
22552								300	504																																	7983	8594	0	0													
22730								657	4579																																	5073	2877	0	0													
23456								5870	3467																																	4535	4701	0	0													
23504	0	0	0	0	181020	0	1249745	0	175592	0	0	181020	0	0	0	0	0	61383	119637	0	0	0	0	0	0	0	55606	0	57630	0	0	0	0	0	0	0	57630	0				728135	81937	0	522378	128501	248822	145055	0	0								
23643								3464	3455																																	4528	2706	0	0													
23755								4038	3884																																	5169	565	0	0													
24378								876	508																																	20	25	0	0													
24659								0	561																																	654	2958	0	0													
24949								1732	20006																																	5713	5798	0	0													
25357								3611	9819																																	406	30002	0	0													
25647	0	0	0	0	0	0	0	0	5051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																3442	0	0	1339													
26765								55646	321724																																	393954	79468	0	5621													
27070								164	26729																																	21540	17574	0	0													
27614								5006	2951																																	6279	10926	0	0													
27847								7744	19466																																	5043	1888	0	0													
28013	0	0	0	0	0	0	0	778	50463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																125512	225	0	0													
28152	0	0	0	0	0	0	0	2115	3474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																15110	13558	0	0													
28675	0	0	0	0	0	0	0	2302	1405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																6332	5685	0	0													
28732								5966	1728																																	5087	2919	0	0													
29476								132	6388																																	8952	0	0	0													
29636								22052	103643																																	22776	2847	0	0													
29878								648	43894																																	0	7248	0	0													
30052								914	3180																																	1132	0	0	0													
31134	0	0	0	0	0	0	0	1216	912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																10880	6839	0	0													
31255	0	0	0	0	0	0	212369	31894	58666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																31267	3314	0	5914													
31657								1076	341																																	726	2488	0	0													
31826	0	0	0	0	0	0	0	1368	596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	46736	0	0													
31835								0	1552																																	710	29387	0	0													
32234								69	15																																	15328	4361	0	0													
32766								4172	199																																	4555	1355	0	0													
32971								2985	9971																																	4200	4468	0	0													
33147								10441	33278																																	36177	70369	0	0													
33259								14849	70296																																	41092	20576	0	0													
33370	0	0	0	0	0	0	0	437	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	321	0	0													
33839								0	0																																	795	1289	0	0													
34537	0	0	0	0	35551	29584	0	861877	133679	0	0	35551	0	29584	0	0	0	0	25500	10051	0	0	0	0	14917	14667	17628	8156	0	0	0	0	0	0	0	0	0	0				646579	908474	0	31755	532	9359	0	1400	20464								
34555	0	0	0	0	0	0	0	3315	23914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																3611	10464	0	0													
34742								79595	9511																																	14998	10807	0	0													
35057	0	0	0	0	0	0	7500	1919	1169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																2576	13383	0	0													
35301																																																										
35646								1230	0																																	8477	27	0	0													
35879								12586	95																																	100	5436	0	0													
36933								15351	10999																																	2739	7177	0	0													
37051								6	1297																																	2102	4604	0	0													
37341								0	0																																	1011	1570	0	0													
37435								45246	89109																																	12634	10994	0	0													
37640	0	0	0	0	0	0	0	35364	469767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																361339	338114	0	0													
37659								0	0																																	2548	766	0	0													
37949								0	0																																	0	30558	0	0													
38740								6816	12384																																	8135	1819	0	0													
39327								19086	38674																																	28475	24956	0	0													
40033								1	1000																																	0	8	0	0													
