"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
33259																				1773	4083	28063		898				4232					0	17077	0	0				
33370																				273	285	566		0				8					0	0	0	0				
33839																				90	0	405		69				246					0	0	0	0				
34537																				137904	54718	682085		86829				69460	26587				0	311460	0	21714				
34555																				4060	0	16750	487	686				4168		143	2		0	7836	0	0				
34742																				3015	1395	22162		2555				3451					0	11746	0	0				
35057																				702	0	8893	372	3213	1831			1810					0	2364	0	804	SBA Portion of Foreclosed Loan			
35301	0	569000	568000	70095000	0	63864000	34142000	16442000	0	1098000	0	0	0	0	0	705000	3291000	0		568000																	Receivables for cash collateral posted	Receivables for non cash collateral		
35646																				619	311	5022		99				542					0	3451	0	0				
35879																				2789	1804	13823		423				782					0	8025	0	0				
36933																				1034	2511	10616		631				2380					0	4060	0	0				
37051																				680	0	2156		235				976					0	265	0	0				
37341																				686	0	2666		153				541					0	1286	0	0				
37435																				1632	9168	27952		9711				7441					0	0	0	0				
37640																				17509	48121	249579		38605	13271			37532					0	68514	0	39298	Investments in Affordable Housing			
37659																				56	0	2454		663				555					0	1180	0	0				
37949																				616	0	10103		210				1886					0	7391	0	0				
38740																				3438	3143	15754		436				1498					0	7239	0	0				
39327																				711	1519	35350		3130				2685					0	26545	760	0				
40033																				472	0	4361		909				195					0	971	0	1814				
40855																				1117	0	2575		121				1337					0	0	0	0				
41553																				481	0	3430		25				852					0	2072	0	0				
41629																				1979	489	5762		1418				1353					0	523	0	0				
41825																				2709	4255	20598	1740	2209				3566					0	5756	0	2103	Other Assets	Health Insurance Reserve		
42037																				65	915	4127		179				493					0	2190	0	285				
42354																				1737	1673	10621		790				1861					0	4560	0	0				
42372																				809	2531	14097		2013				1531					0	6770	443	0				
42420																				28945	40724	435175		87133	36786			43457					0	157195	67906	9815	Limited Partnership Investments			
42448																				10646	4314	58908		5084				16364					0	22500	0	0				
42457																				305	153	1230		146				626					0	0	0	0				
43052																				2737	114	8356		320				459					0	4726	0	0				
43351																				657	301	8294		652				4189					0	0	1258	1237				
43856																				1450	262	4004		365				263					0	1664	0	0				
43959																				1463	3009	11642		240				722					0	6208	0	0				
